country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
North Macedonia,3/17/20,26,0,8,0,1
North Macedonia,3/18/20,35,0,9,0,2
North Macedonia,3/19/20,48,0,13,0,3
North Macedonia,3/20/20,67,0,19,0,4
North Macedonia,3/21/20,85,0,18,0,5
North Macedonia,3/22/20,115,1,30,1,6
North Macedonia,3/23/20,136,2,21,1,7
North Macedonia,3/24/20,148,2,12,0,8
North Macedonia,3/25/20,177,3,29,1,9
North Macedonia,3/26/20,201,3,24,0,10
North Macedonia,3/27/20,219,3,18,0,11
North Macedonia,3/28/20,241,4,22,1,12
North Macedonia,3/29/20,259,6,18,2,13
North Macedonia,3/30/20,285,7,26,1,14
North Macedonia,3/31/20,329,9,44,2,15
North Macedonia,4/1/20,354,11,25,2,16
North Macedonia,4/2/20,384,11,30,0,17
North Macedonia,4/3/20,430,12,46,1,18
North Macedonia,4/4/20,483,17,53,5,19
North Macedonia,4/5/20,555,18,72,1,20
North Macedonia,4/6/20,570,23,15,5,21
North Macedonia,4/7/20,599,26,29,3,22
North Macedonia,4/8/20,617,29,18,3,23
North Macedonia,4/9/20,663,30,46,1,24
North Macedonia,4/10/20,711,32,48,2,25
North Macedonia,4/11/20,760,34,49,2,26
North Macedonia,4/12/20,828,34,68,0,27
North Macedonia,4/13/20,854,38,26,4,28
North Macedonia,4/14/20,908,44,54,6,29
North Macedonia,4/15/20,974,45,66,1,30
North Macedonia,4/16/20,1081,46,107,1,31
North Macedonia,4/17/20,1117,49,36,3,32
North Macedonia,4/18/20,1170,49,53,0,33
North Macedonia,4/19/20,1207,51,37,2,34
North Macedonia,4/20/20,1225,54,18,3,35
North Macedonia,4/21/20,1231,55,6,1,36
North Macedonia,4/22/20,1259,56,28,1,37
North Macedonia,4/23/20,1300,56,41,0,38
North Macedonia,4/24/20,1326,57,26,1,39
North Macedonia,4/25/20,1367,59,41,2,40
North Macedonia,4/26/20,1386,61,19,2,41
North Macedonia,4/27/20,1399,65,13,4,42
North Macedonia,4/28/20,1421,71,22,6,43
North Macedonia,4/29/20,1442,73,21,2,44
North Macedonia,4/30/20,1465,77,23,4,45
North Macedonia,5/1/20,1494,81,29,4,46
North Macedonia,5/2/20,1506,82,12,1,47
North Macedonia,5/3/20,1511,84,5,2,48
North Macedonia,5/4/20,1518,85,7,1,49
North Macedonia,5/5/20,1526,86,8,1,50
North Macedonia,5/6/20,1539,88,13,2,51
North Macedonia,5/7/20,1572,89,33,1,52
North Macedonia,5/8/20,1586,90,14,1,53
North Macedonia,5/9/20,1622,91,36,1,54
North Macedonia,5/10/20,1642,91,20,0,55
North Macedonia,5/11/20,1664,91,22,0,56
North Macedonia,5/12/20,1674,92,10,1,57
North Macedonia,5/13/20,1694,95,20,3,58
North Macedonia,5/14/20,1723,95,29,0,59
North Macedonia,5/15/20,1740,97,17,2,60
North Macedonia,5/16/20,1762,98,22,1,61
North Macedonia,5/17/20,1792,101,30,3,62
North Macedonia,5/18/20,1817,104,25,3,63
North Macedonia,5/19/20,1839,106,22,2,64
North Macedonia,5/20/20,1858,110,19,4,65
North Macedonia,5/21/20,1898,111,40,1,66
North Macedonia,5/22/20,1921,112,23,1,67
North Macedonia,5/23/20,1941,113,20,1,68
North Macedonia,5/24/20,1978,113,37,0,69
North Macedonia,5/25/20,1999,113,21,0,70
North Macedonia,5/26/20,2014,116,15,3,71
North Macedonia,5/27/20,2039,119,25,3,72
North Macedonia,5/28/20,2077,121,38,2,73
North Macedonia,5/29/20,2129,126,52,5,74
North Macedonia,5/30/20,2164,131,35,5,75
