country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Madagascar,3/26/20,23,0,4,0,1
Madagascar,3/27/20,26,0,3,0,2
Madagascar,3/28/20,26,0,0,0,3
Madagascar,3/29/20,39,0,13,0,4
Madagascar,3/30/20,43,0,4,0,5
Madagascar,3/31/20,57,0,14,0,6
Madagascar,4/1/20,57,0,0,0,7
Madagascar,4/2/20,59,0,2,0,8
Madagascar,4/3/20,70,0,11,0,9
Madagascar,4/4/20,70,0,0,0,10
Madagascar,4/5/20,72,0,2,0,11
Madagascar,4/6/20,82,0,10,0,12
Madagascar,4/7/20,88,0,6,0,13
Madagascar,4/8/20,93,0,5,0,14
Madagascar,4/9/20,93,0,0,0,15
Madagascar,4/10/20,93,0,0,0,16
Madagascar,4/11/20,102,0,9,0,17
Madagascar,4/12/20,106,0,4,0,18
Madagascar,4/13/20,106,0,0,0,19
Madagascar,4/14/20,108,0,2,0,20
Madagascar,4/15/20,110,0,2,0,21
Madagascar,4/16/20,111,0,1,0,22
Madagascar,4/17/20,117,0,6,0,23
Madagascar,4/18/20,120,0,3,0,24
Madagascar,4/19/20,121,0,1,0,25
Madagascar,4/20/20,121,0,0,0,26
Madagascar,4/21/20,121,0,0,0,27
Madagascar,4/22/20,121,0,0,0,28
Madagascar,4/23/20,121,0,0,0,29
Madagascar,4/24/20,122,0,1,0,30
Madagascar,4/25/20,123,0,1,0,31
Madagascar,4/26/20,124,0,1,0,32
Madagascar,4/27/20,128,0,4,0,33
Madagascar,4/28/20,128,0,0,0,34
Madagascar,4/29/20,128,0,0,0,35
Madagascar,4/30/20,128,0,0,0,36
Madagascar,5/1/20,132,0,4,0,37
Madagascar,5/2/20,135,0,3,0,38
Madagascar,5/3/20,149,0,14,0,39
Madagascar,5/4/20,149,0,0,0,40
Madagascar,5/5/20,151,0,2,0,41
Madagascar,5/6/20,158,0,7,0,42
Madagascar,5/7/20,193,0,35,0,43
Madagascar,5/8/20,193,0,0,0,44
Madagascar,5/9/20,193,0,0,0,45
Madagascar,5/10/20,193,0,0,0,46
Madagascar,5/11/20,186,0,-7,0,47
Madagascar,5/12/20,186,0,0,0,48
Madagascar,5/13/20,212,0,26,0,49
Madagascar,5/14/20,230,0,18,0,50
Madagascar,5/15/20,238,0,8,0,51
Madagascar,5/16/20,283,0,45,0,52
Madagascar,5/17/20,304,1,21,1,53
Madagascar,5/18/20,322,1,18,0,54
Madagascar,5/19/20,326,2,4,1,55
Madagascar,5/20/20,371,2,45,0,56
Madagascar,5/21/20,405,2,34,0,57
Madagascar,5/22/20,448,2,43,0,58
Madagascar,5/23/20,488,2,40,0,59
Madagascar,5/24/20,527,2,39,0,60
Madagascar,5/25/20,542,2,15,0,61
Madagascar,5/26/20,586,2,44,0,62
Madagascar,5/27/20,612,2,26,0,63
Madagascar,5/28/20,656,2,44,0,64
Madagascar,5/29/20,698,5,42,3,65
Madagascar,5/30/20,758,6,60,1,66
Madagascar,5/31/20,771,6,13,0,67
Madagascar,6/1/20,826,6,55,0,68
