country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Croatia,3/13/20,32,0,13,0,1
Croatia,3/14/20,38,0,6,0,2
Croatia,3/15/20,49,0,11,0,3
Croatia,3/16/20,57,0,8,0,4
Croatia,3/17/20,65,0,8,0,5
Croatia,3/18/20,81,0,16,0,6
Croatia,3/19/20,105,1,24,1,7
Croatia,3/20/20,128,1,23,0,8
Croatia,3/21/20,206,1,78,0,9
Croatia,3/22/20,254,1,48,0,10
Croatia,3/23/20,315,1,61,0,11
Croatia,3/24/20,382,1,67,0,12
Croatia,3/25/20,442,1,60,0,13
Croatia,3/26/20,495,3,53,2,14
Croatia,3/27/20,586,3,91,0,15
Croatia,3/28/20,657,5,71,2,16
Croatia,3/29/20,713,6,56,1,17
Croatia,3/30/20,790,6,77,0,18
Croatia,3/31/20,867,6,77,0,19
Croatia,4/1/20,963,6,96,0,20
Croatia,4/2/20,1011,7,48,1,21
Croatia,4/3/20,1079,8,68,1,22
Croatia,4/4/20,1126,12,47,4,23
Croatia,4/5/20,1182,15,56,3,24
Croatia,4/6/20,1222,16,40,1,25
Croatia,4/7/20,1282,18,60,2,26
Croatia,4/8/20,1343,19,61,1,27
Croatia,4/9/20,1407,20,64,1,28
Croatia,4/10/20,1495,21,88,1,29
Croatia,4/11/20,1534,21,39,0,30
Croatia,4/12/20,1600,23,66,2,31
Croatia,4/13/20,1650,25,50,2,32
Croatia,4/14/20,1704,31,54,6,33
Croatia,4/15/20,1741,33,37,2,34
Croatia,4/16/20,1791,35,50,2,35
Croatia,4/17/20,1814,36,23,1,36
Croatia,4/18/20,1832,39,18,3,37
Croatia,4/19/20,1871,47,39,8,38
Croatia,4/20/20,1881,47,10,0,39
Croatia,4/21/20,1908,48,27,1,40
Croatia,4/22/20,1950,48,42,0,41
Croatia,4/23/20,1981,50,31,2,42
Croatia,4/24/20,2009,51,28,1,43
Croatia,4/25/20,2016,54,7,3,44
Croatia,4/26/20,2030,55,14,1,45
Croatia,4/27/20,2039,59,9,4,46
Croatia,4/28/20,2047,63,8,4,47
Croatia,4/29/20,2062,67,15,4,48
Croatia,4/30/20,2076,69,14,2,49
Croatia,5/1/20,2085,75,9,6,50
Croatia,5/2/20,2088,77,3,2,51
Croatia,5/3/20,2096,79,8,2,52
Croatia,5/4/20,2101,80,5,1,53
Croatia,5/5/20,2112,83,11,3,54
Croatia,5/6/20,2119,85,7,2,55
Croatia,5/7/20,2125,86,6,1,56
Croatia,5/8/20,2161,86,36,0,57
Croatia,5/9/20,2176,87,15,1,58
Croatia,5/10/20,2187,90,11,3,59
Croatia,5/11/20,2196,91,9,1,60
Croatia,5/12/20,2207,91,11,0,61
Croatia,5/13/20,2213,94,6,3,62
Croatia,5/14/20,2221,94,8,0,63
Croatia,5/15/20,2222,95,1,1,64
Croatia,5/16/20,2224,95,2,0,65
Croatia,5/17/20,2226,95,2,0,66
Croatia,5/18/20,2228,95,2,0,67
Croatia,5/19/20,2232,96,4,1,68
Croatia,5/20/20,2234,96,2,0,69
Croatia,5/21/20,2237,97,3,1,70
Croatia,5/22/20,2243,99,6,2,71
Croatia,5/23/20,2243,99,0,0,72
Croatia,5/24/20,2244,99,1,0,73
Croatia,5/25/20,2244,100,0,1,74
Croatia,5/26/20,2244,101,0,1,75
Croatia,5/27/20,2244,101,0,0,76
Croatia,5/28/20,2245,102,1,1,77
Croatia,5/29/20,2245,103,0,1,78
Croatia,5/30/20,2246,103,1,0,79
Croatia,5/31/20,2246,103,0,0,80
Croatia,6/1/20,2246,103,0,0,81
Croatia,6/2/20,2246,103,0,0,82
Croatia,6/3/20,2246,103,0,0,83
Croatia,6/4/20,2247,103,1,0,84
Croatia,6/5/20,2247,103,0,0,85
Croatia,6/6/20,2247,104,0,1,86
Croatia,6/7/20,2247,104,0,0,87
Croatia,6/8/20,2247,104,0,0,88
