country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Nicaragua,5/12/20,25,8,9,3,1
Nicaragua,5/13/20,25,8,0,0,2
Nicaragua,5/14/20,25,8,0,0,3
Nicaragua,5/15/20,25,8,0,0,4
Nicaragua,5/16/20,25,8,0,0,5
Nicaragua,5/17/20,25,8,0,0,6
Nicaragua,5/18/20,25,8,0,0,7
Nicaragua,5/19/20,254,17,229,9,8
Nicaragua,5/20/20,254,17,0,0,9
Nicaragua,5/21/20,279,17,25,0,10
Nicaragua,5/22/20,279,17,0,0,11
Nicaragua,5/23/20,279,17,0,0,12
Nicaragua,5/24/20,279,17,0,0,13
Nicaragua,5/25/20,279,17,0,0,14
Nicaragua,5/26/20,759,35,480,18,15
Nicaragua,5/27/20,759,35,0,0,16
Nicaragua,5/28/20,759,35,0,0,17
Nicaragua,5/29/20,759,35,0,0,18
Nicaragua,5/30/20,759,35,0,0,19
Nicaragua,5/31/20,759,35,0,0,20
Nicaragua,6/1/20,759,35,0,0,21
Nicaragua,6/2/20,1118,46,359,11,22
Nicaragua,6/3/20,1118,46,0,0,23
Nicaragua,6/4/20,1118,46,0,0,24
Nicaragua,6/5/20,1118,46,0,0,25
Nicaragua,6/6/20,1118,46,0,0,26
Nicaragua,6/7/20,1118,46,0,0,27
Nicaragua,6/8/20,1118,46,0,0,28
