country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Slovenia,3/10/20,31,0,15,0,1
Slovenia,3/11/20,57,0,26,0,2
Slovenia,3/12/20,89,0,32,0,3
Slovenia,3/13/20,141,0,52,0,4
Slovenia,3/14/20,181,1,40,1,5
Slovenia,3/15/20,219,1,38,0,6
Slovenia,3/16/20,253,1,34,0,7
Slovenia,3/17/20,275,1,22,0,8
Slovenia,3/18/20,275,1,0,0,9
Slovenia,3/19/20,286,1,11,0,10
Slovenia,3/20/20,341,1,55,0,11
Slovenia,3/21/20,383,1,42,0,12
Slovenia,3/22/20,414,2,31,1,13
Slovenia,3/23/20,442,3,28,1,14
Slovenia,3/24/20,480,4,38,1,15
Slovenia,3/25/20,528,5,48,1,16
Slovenia,3/26/20,562,6,34,1,17
Slovenia,3/27/20,632,9,70,3,18
Slovenia,3/28/20,684,9,52,0,19
Slovenia,3/29/20,730,11,46,2,20
Slovenia,3/30/20,756,11,26,0,21
Slovenia,3/31/20,802,15,46,4,22
Slovenia,4/1/20,841,15,39,0,23
Slovenia,4/2/20,897,17,56,2,24
Slovenia,4/3/20,934,20,37,3,25
Slovenia,4/4/20,977,22,43,2,26
Slovenia,4/5/20,997,28,20,6,27
Slovenia,4/6/20,1021,30,24,2,28
Slovenia,4/7/20,1059,36,38,6,29
Slovenia,4/8/20,1091,40,32,4,30
Slovenia,4/9/20,1124,43,33,3,31
Slovenia,4/10/20,1160,45,36,2,32
Slovenia,4/11/20,1188,50,28,5,33
Slovenia,4/12/20,1205,53,17,3,34
Slovenia,4/13/20,1212,55,7,2,35
Slovenia,4/14/20,1220,56,8,1,36
Slovenia,4/15/20,1248,61,28,5,37
Slovenia,4/16/20,1268,61,20,0,38
Slovenia,4/17/20,1304,66,36,5,39
Slovenia,4/18/20,1317,70,13,4,40
Slovenia,4/19/20,1330,74,13,4,41
Slovenia,4/20/20,1335,77,5,3,42
Slovenia,4/21/20,1344,77,9,0,43
Slovenia,4/22/20,1353,79,9,2,44
Slovenia,4/23/20,1366,79,13,0,45
Slovenia,4/24/20,1373,80,7,1,46
Slovenia,4/25/20,1388,81,15,1,47
Slovenia,4/26/20,1396,82,8,1,48
Slovenia,4/27/20,1402,83,6,1,49
Slovenia,4/28/20,1408,86,6,3,50
Slovenia,4/29/20,1418,89,10,3,51
Slovenia,4/30/20,1429,91,11,2,52
Slovenia,5/1/20,1434,92,5,1,53
Slovenia,5/2/20,1439,94,5,2,54
Slovenia,5/3/20,1439,96,0,2,55
Slovenia,5/4/20,1439,97,0,1,56
Slovenia,5/5/20,1445,98,6,1,57
Slovenia,5/6/20,1448,99,3,1,58
Slovenia,5/7/20,1449,99,1,0,59
Slovenia,5/8/20,1450,100,1,1,60
Slovenia,5/9/20,1454,101,4,1,61
Slovenia,5/10/20,1457,102,3,1,62
Slovenia,5/11/20,1460,102,3,0,63
Slovenia,5/12/20,1461,102,1,0,64
Slovenia,5/13/20,1463,103,2,1,65
Slovenia,5/14/20,1464,103,1,0,66
Slovenia,5/15/20,1465,103,1,0,67
Slovenia,5/16/20,1465,103,0,0,68
Slovenia,5/17/20,1466,104,1,1,69
Slovenia,5/18/20,1466,104,0,0,70
Slovenia,5/19/20,1467,104,1,0,71
Slovenia,5/20/20,1468,105,1,1,72
Slovenia,5/21/20,1468,106,0,1,73
Slovenia,5/22/20,1468,106,0,0,74
Slovenia,5/23/20,1468,106,0,0,75
Slovenia,5/24/20,1468,107,0,1,76
Slovenia,5/25/20,1469,107,1,0,77
Slovenia,5/26/20,1469,108,0,1,78
Slovenia,5/27/20,1471,108,2,0,79
Slovenia,5/28/20,1473,108,2,0,80
Slovenia,5/29/20,1473,108,0,0,81
Slovenia,5/30/20,1473,108,0,0,82
Slovenia,5/31/20,1473,108,0,0,83
Slovenia,6/1/20,1473,109,0,1,84
Slovenia,6/2/20,1475,109,2,0,85
Slovenia,6/3/20,1477,109,2,0,86
Slovenia,6/4/20,1477,109,0,0,87
Slovenia,6/5/20,1479,109,2,0,88
Slovenia,6/6/20,1484,109,5,0,89
Slovenia,6/7/20,1485,109,1,0,90
Slovenia,6/8/20,1485,109,0,0,91
Slovenia,6/9/20,1486,109,1,0,92
Slovenia,6/10/20,1488,109,2,0,93
Slovenia,6/11/20,1488,109,0,0,94
Slovenia,6/12/20,1490,109,2,0,95
Slovenia,6/13/20,1492,109,2,0,96
Slovenia,6/14/20,1495,109,3,0,97
Slovenia,6/15/20,1496,109,1,0,98
Slovenia,6/16/20,1499,109,3,0,99
Slovenia,6/17/20,1503,109,4,0,100
Slovenia,6/18/20,1511,109,8,0,101
Slovenia,6/19/20,1513,109,2,0,102
Slovenia,6/20/20,1519,109,6,0,103
Slovenia,6/21/20,1520,109,1,0,104
Slovenia,6/22/20,1521,109,1,0,105
