country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Namibia,5/23/20,20,0,1,0,1
Namibia,5/24/20,21,0,1,0,2
Namibia,5/25/20,21,0,0,0,3
Namibia,5/26/20,21,0,0,0,4
Namibia,5/27/20,22,0,1,0,5
Namibia,5/28/20,22,0,0,0,6
Namibia,5/29/20,23,0,1,0,7
Namibia,5/30/20,23,0,0,0,8
Namibia,5/31/20,24,0,1,0,9
Namibia,6/1/20,25,0,1,0,10
Namibia,6/2/20,25,0,0,0,11
Namibia,6/3/20,25,0,0,0,12
Namibia,6/4/20,25,0,0,0,13
Namibia,6/5/20,25,0,0,0,14
Namibia,6/6/20,29,0,4,0,15
Namibia,6/7/20,29,0,0,0,16
Namibia,6/8/20,31,0,2,0,17
Namibia,6/9/20,31,0,0,0,18
Namibia,6/10/20,31,0,0,0,19
Namibia,6/11/20,31,0,0,0,20
Namibia,6/12/20,31,0,0,0,21
Namibia,6/13/20,32,0,1,0,22
Namibia,6/14/20,32,0,0,0,23
Namibia,6/15/20,32,0,0,0,24
Namibia,6/16/20,34,0,2,0,25
Namibia,6/17/20,36,0,2,0,26
Namibia,6/18/20,39,0,3,0,27
Namibia,6/19/20,45,0,6,0,28
Namibia,6/20/20,46,0,1,0,29
Namibia,6/21/20,55,0,9,0,30
Namibia,6/22/20,63,0,8,0,31
Namibia,6/23/20,72,0,9,0,32
Namibia,6/24/20,76,0,4,0,33
