country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Poland,3/10/20,22,0,6,0,1
Poland,3/11/20,31,0,9,0,2
Poland,3/12/20,49,1,18,1,3
Poland,3/13/20,68,2,19,1,4
Poland,3/14/20,103,3,35,1,5
Poland,3/15/20,119,3,16,0,6
Poland,3/16/20,177,4,58,1,7
Poland,3/17/20,238,5,61,1,8
Poland,3/18/20,251,5,13,0,9
Poland,3/19/20,355,5,104,0,10
Poland,3/20/20,425,5,70,0,11
Poland,3/21/20,536,5,111,0,12
Poland,3/22/20,634,7,98,2,13
Poland,3/23/20,749,8,115,1,14
Poland,3/24/20,901,10,152,2,15
Poland,3/25/20,1051,14,150,4,16
Poland,3/26/20,1221,16,170,2,17
Poland,3/27/20,1389,16,168,0,18
Poland,3/28/20,1638,18,249,2,19
Poland,3/29/20,1862,22,224,4,20
Poland,3/30/20,2055,31,193,9,21
Poland,3/31/20,2311,33,256,2,22
Poland,4/1/20,2554,43,243,10,23
Poland,4/2/20,2946,57,392,14,24
Poland,4/3/20,3383,71,437,14,25
Poland,4/4/20,3627,79,244,8,26
Poland,4/5/20,4102,94,475,15,27
Poland,4/6/20,4413,107,311,13,28
Poland,4/7/20,4848,129,435,22,29
Poland,4/8/20,5205,159,357,30,30
Poland,4/9/20,5575,174,370,15,31
Poland,4/10/20,5955,181,380,7,32
Poland,4/11/20,6356,208,401,27,33
Poland,4/12/20,6674,232,318,24,34
Poland,4/13/20,6934,245,260,13,35
Poland,4/14/20,7202,263,268,18,36
Poland,4/15/20,7582,286,380,23,37
Poland,4/16/20,7918,314,336,28,38
Poland,4/17/20,8379,332,461,18,39
Poland,4/18/20,8742,347,363,15,40
Poland,4/19/20,9287,360,545,13,41
Poland,4/20/20,9593,380,306,20,42
Poland,4/21/20,9856,401,263,21,43
Poland,4/22/20,10169,426,313,25,44
Poland,4/23/20,10511,454,342,28,45
Poland,4/24/20,10892,494,381,40,46
Poland,4/25/20,11273,524,381,30,47
Poland,4/26/20,11617,535,344,11,48
Poland,4/27/20,11902,562,285,27,49
Poland,4/28/20,12218,596,316,34,50
Poland,4/29/20,12640,624,422,28,51
Poland,4/30/20,12877,644,237,20,52
Poland,5/1/20,13105,651,228,7,53
Poland,5/2/20,13375,664,270,13,54
Poland,5/3/20,13693,678,318,14,55
Poland,5/4/20,14006,698,313,20,56
Poland,5/5/20,14431,716,425,18,57
Poland,5/6/20,14740,733,309,17,58
Poland,5/7/20,15047,755,307,22,59
Poland,5/8/20,15366,776,319,21,60
Poland,5/9/20,15651,785,285,9,61
Poland,5/10/20,15996,800,345,15,62
Poland,5/11/20,16326,811,330,11,63
Poland,5/12/20,16921,839,595,28,64
Poland,5/13/20,17204,861,283,22,65
Poland,5/14/20,17615,883,411,22,66
Poland,5/15/20,18016,907,401,24,67
Poland,5/16/20,18257,915,241,8,68
Poland,5/17/20,18529,925,272,10,69
Poland,5/18/20,18885,936,356,11,70
Poland,5/19/20,19268,948,383,12,71
Poland,5/20/20,19739,962,471,14,72
Poland,5/21/20,20143,972,404,10,73
Poland,5/22/20,20619,982,476,10,74
Poland,5/23/20,20931,993,312,11,75
Poland,5/24/20,21326,996,395,3,76
Poland,5/25/20,21631,1007,305,11,77
Poland,5/26/20,22074,1024,443,17,78
Poland,5/27/20,22473,1028,399,4,79
Poland,5/28/20,22825,1038,352,10,80
Poland,5/29/20,23155,1051,330,13,81
Poland,5/30/20,23571,1061,416,10,82
Poland,5/31/20,23786,1064,215,3,83
Poland,6/1/20,24165,1074,379,10,84
Poland,6/2/20,24395,1092,230,18,85
Poland,6/3/20,24687,1115,292,23,86
Poland,6/4/20,25048,1117,361,2,87
Poland,6/5/20,25410,1137,362,20,88
Poland,6/6/20,25986,1153,576,16,89
Poland,6/7/20,26561,1157,575,4,90
Poland,6/8/20,27160,1166,599,9,91
Poland,6/9/20,27560,1183,400,17,92
Poland,6/10/20,27842,1206,282,23,93
Poland,6/11/20,28201,1215,359,9,94
Poland,6/12/20,28577,1222,376,7,95
Poland,6/13/20,29017,1237,440,15,96
Poland,6/14/20,29392,1247,375,10,97
Poland,6/15/20,29788,1256,396,9,98
Poland,6/16/20,30195,1272,407,16,99
Poland,6/17/20,30701,1286,506,14,100
Poland,6/18/20,31015,1316,314,30,101
Poland,6/19/20,31316,1334,301,18,102
Poland,6/20/20,31620,1346,304,12,103
Poland,6/21/20,31931,1356,311,10,104
Poland,6/22/20,32227,1359,296,3,105
Poland,6/23/20,32527,1375,300,16,106
Poland,6/24/20,32821,1396,294,21,107
Poland,6/25/20,33119,1412,298,16,108
