country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Suriname,5/31/20,23,1,9,0,1
Suriname,6/1/20,44,1,21,0,2
Suriname,6/2/20,54,1,10,0,3
Suriname,6/3/20,74,1,20,0,4
Suriname,6/4/20,82,1,8,0,5
Suriname,6/5/20,90,1,8,0,6
Suriname,6/6/20,100,1,10,0,7
Suriname,6/7/20,122,1,22,0,8
Suriname,6/8/20,128,2,6,1,9
Suriname,6/9/20,137,2,9,0,10
Suriname,6/10/20,144,2,7,0,11
Suriname,6/11/20,168,2,24,0,12
Suriname,6/12/20,187,3,19,1,13
Suriname,6/13/20,196,3,9,0,14
Suriname,6/14/20,208,3,12,0,15
Suriname,6/15/20,229,5,21,2,16
Suriname,6/16/20,236,6,7,1,17
Suriname,6/17/20,261,6,25,0,18
Suriname,6/18/20,277,7,16,1,19
Suriname,6/19/20,293,8,16,1,20
Suriname,6/20/20,303,8,10,0,21
Suriname,6/21/20,314,8,11,0,22
Suriname,6/22/20,319,8,5,0,23
Suriname,6/23/20,319,9,0,1,24
Suriname,6/24/20,357,10,38,1,25
Suriname,6/25/20,373,10,16,0,26
