country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Tunisia,3/16/20,20,0,2,0,1
Tunisia,3/17/20,24,0,4,0,2
Tunisia,3/18/20,29,0,5,0,3
Tunisia,3/19/20,39,1,10,1,4
Tunisia,3/20/20,54,1,15,0,5
Tunisia,3/21/20,60,1,6,0,6
Tunisia,3/22/20,75,3,15,2,7
Tunisia,3/23/20,89,3,14,0,8
Tunisia,3/24/20,114,4,25,1,9
Tunisia,3/25/20,173,5,59,1,10
Tunisia,3/26/20,197,6,24,1,11
Tunisia,3/27/20,227,6,30,0,12
Tunisia,3/28/20,278,8,51,2,13
Tunisia,3/29/20,312,8,34,0,14
Tunisia,3/30/20,312,8,0,0,15
Tunisia,3/31/20,394,10,82,2,16
Tunisia,4/1/20,423,12,29,2,17
Tunisia,4/2/20,455,14,32,2,18
Tunisia,4/3/20,495,18,40,4,19
Tunisia,4/4/20,553,18,58,0,20
Tunisia,4/5/20,574,22,21,4,21
Tunisia,4/6/20,596,22,22,0,22
Tunisia,4/7/20,623,23,27,1,23
Tunisia,4/8/20,628,24,5,1,24
Tunisia,4/9/20,643,25,15,1,25
Tunisia,4/10/20,671,25,28,0,26
Tunisia,4/11/20,685,28,14,3,27
Tunisia,4/12/20,707,31,22,3,28
Tunisia,4/13/20,726,34,19,3,29
Tunisia,4/14/20,747,34,21,0,30
Tunisia,4/15/20,780,35,33,1,31
Tunisia,4/16/20,822,37,42,2,32
Tunisia,4/17/20,864,37,42,0,33
Tunisia,4/18/20,864,37,0,0,34
Tunisia,4/19/20,879,38,15,1,35
Tunisia,4/20/20,884,38,5,0,36
Tunisia,4/21/20,884,38,0,0,37
Tunisia,4/22/20,909,38,25,0,38
Tunisia,4/23/20,918,38,9,0,39
Tunisia,4/24/20,922,38,4,0,40
Tunisia,4/25/20,939,38,17,0,41
Tunisia,4/26/20,949,38,10,0,42
Tunisia,4/27/20,967,39,18,1,43
Tunisia,4/28/20,975,40,8,1,44
Tunisia,4/29/20,980,40,5,0,45
Tunisia,4/30/20,994,41,14,1,46
Tunisia,5/1/20,998,41,4,0,47
Tunisia,5/2/20,1009,42,11,1,48
Tunisia,5/3/20,1013,42,4,0,49
Tunisia,5/4/20,1018,43,5,1,50
Tunisia,5/5/20,1022,43,4,0,51
Tunisia,5/6/20,1025,43,3,0,52
Tunisia,5/7/20,1026,44,1,1,53
Tunisia,5/8/20,1030,45,4,1,54
Tunisia,5/9/20,1032,45,2,0,55
Tunisia,5/10/20,1032,45,0,0,56
Tunisia,5/11/20,1032,45,0,0,57
Tunisia,5/12/20,1032,45,0,0,58
Tunisia,5/13/20,1032,45,0,0,59
Tunisia,5/14/20,1032,45,0,0,60
Tunisia,5/15/20,1035,45,3,0,61
Tunisia,5/16/20,1037,45,2,0,62
Tunisia,5/17/20,1037,45,0,0,63
Tunisia,5/18/20,1043,46,6,1,64
Tunisia,5/19/20,1044,47,1,1,65
Tunisia,5/20/20,1045,47,1,0,66
Tunisia,5/21/20,1046,47,1,0,67
Tunisia,5/22/20,1048,47,2,0,68
Tunisia,5/23/20,1048,48,0,1,69
Tunisia,5/24/20,1051,48,3,0,70
Tunisia,5/25/20,1051,48,0,0,71
Tunisia,5/26/20,1051,48,0,0,72
Tunisia,5/27/20,1051,48,0,0,73
Tunisia,5/28/20,1068,48,17,0,74
Tunisia,5/29/20,1071,48,3,0,75
Tunisia,5/30/20,1076,48,5,0,76
Tunisia,5/31/20,1077,48,1,0,77
Tunisia,6/1/20,1084,48,7,0,78
Tunisia,6/2/20,1086,48,2,0,79
Tunisia,6/3/20,1087,49,1,1,80
Tunisia,6/4/20,1087,49,0,0,81
Tunisia,6/5/20,1087,49,0,0,82
Tunisia,6/6/20,1087,49,0,0,83
Tunisia,6/7/20,1087,49,0,0,84
Tunisia,6/8/20,1087,49,0,0,85
Tunisia,6/9/20,1087,49,0,0,86
Tunisia,6/10/20,1087,49,0,0,87
Tunisia,6/11/20,1087,49,0,0,88
Tunisia,6/12/20,1093,49,6,0,89
Tunisia,6/13/20,1094,49,1,0,90
Tunisia,6/14/20,1096,49,2,0,91
Tunisia,6/15/20,1110,49,14,0,92
Tunisia,6/16/20,1125,49,15,0,93
Tunisia,6/17/20,1128,50,3,1,94
Tunisia,6/18/20,1132,50,4,0,95
Tunisia,6/19/20,1146,50,14,0,96
Tunisia,6/20/20,1156,50,10,0,97
Tunisia,6/21/20,1157,50,1,0,98
Tunisia,6/22/20,1159,50,2,0,99
Tunisia,6/23/20,1159,50,0,0,100
Tunisia,6/24/20,1160,50,1,0,101
Tunisia,6/25/20,1162,50,2,0,102
