country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Belarus,3/13/20,27,0,15,0,1
Belarus,3/14/20,27,0,0,0,2
Belarus,3/15/20,27,0,0,0,3
Belarus,3/16/20,36,0,9,0,4
Belarus,3/17/20,36,0,0,0,5
Belarus,3/18/20,51,0,15,0,6
Belarus,3/19/20,51,0,0,0,7
Belarus,3/20/20,69,0,18,0,8
Belarus,3/21/20,76,0,7,0,9
Belarus,3/22/20,76,0,0,0,10
Belarus,3/23/20,81,0,5,0,11
Belarus,3/24/20,81,0,0,0,12
Belarus,3/25/20,86,0,5,0,13
Belarus,3/26/20,86,0,0,0,14
Belarus,3/27/20,94,0,8,0,15
Belarus,3/28/20,94,0,0,0,16
Belarus,3/29/20,94,0,0,0,17
Belarus,3/30/20,152,0,58,0,18
Belarus,3/31/20,152,1,0,1,19
Belarus,4/1/20,163,2,11,1,20
Belarus,4/2/20,304,4,141,2,21
Belarus,4/3/20,351,4,47,0,22
Belarus,4/4/20,440,5,89,1,23
Belarus,4/5/20,562,8,122,3,24
Belarus,4/6/20,700,13,138,5,25
Belarus,4/7/20,861,13,161,0,26
Belarus,4/8/20,1066,13,205,0,27
Belarus,4/9/20,1486,16,420,3,28
Belarus,4/10/20,1981,19,495,3,29
Belarus,4/11/20,2226,23,245,4,30
Belarus,4/12/20,2578,26,352,3,31
Belarus,4/13/20,2919,29,341,3,32
Belarus,4/14/20,3281,33,362,4,33
Belarus,4/15/20,3728,36,447,3,34
Belarus,4/16/20,4204,40,476,4,35
Belarus,4/17/20,4779,42,575,2,36
Belarus,4/18/20,5297,45,518,3,37
Belarus,4/19/20,5807,47,510,2,38
Belarus,4/20/20,6264,51,457,4,39
Belarus,4/21/20,6723,55,459,4,40
Belarus,4/22/20,7281,58,558,3,41
Belarus,4/23/20,8022,60,741,2,42
Belarus,4/24/20,8773,63,751,3,43
Belarus,4/25/20,9590,67,817,4,44
Belarus,4/26/20,10463,72,873,5,45
Belarus,4/27/20,11289,75,826,3,46
Belarus,4/28/20,12208,79,919,4,47
Belarus,4/29/20,13181,84,973,5,48
Belarus,4/30/20,14027,89,846,5,49
Belarus,5/1/20,14917,93,890,4,50
Belarus,5/2/20,15828,97,911,4,51
Belarus,5/3/20,16705,99,877,2,52
Belarus,5/4/20,17489,103,784,4,53
Belarus,5/5/20,18350,107,861,4,54
Belarus,5/6/20,19255,112,905,5,55
Belarus,5/7/20,20168,116,913,4,56
Belarus,5/8/20,21101,121,933,5,57
Belarus,5/9/20,22052,126,951,5,58
Belarus,5/10/20,22973,131,921,5,59
Belarus,5/11/20,23906,135,933,4,60
Belarus,5/12/20,24873,142,967,7,61
Belarus,5/13/20,25825,146,952,4,62
Belarus,5/14/20,26772,151,947,5,63
Belarus,5/15/20,27730,156,958,5,64
Belarus,5/16/20,28681,160,951,4,65
Belarus,5/17/20,29650,165,969,5,66
Belarus,5/18/20,30572,171,922,6,67
Belarus,5/19/20,31508,175,936,4,68
Belarus,5/20/20,32426,179,918,4,69
Belarus,5/21/20,33371,185,945,6,70
Belarus,5/22/20,34303,190,932,5,71
Belarus,5/23/20,35244,194,941,4,72
Belarus,5/24/20,36198,199,954,5,73
Belarus,5/25/20,37144,204,946,5,74
Belarus,5/26/20,38059,208,915,4,75
Belarus,5/27/20,38956,214,897,6,76
Belarus,5/28/20,39858,219,902,5,77
Belarus,5/29/20,40764,224,906,5,78
Belarus,5/30/20,41658,229,894,5,79
Belarus,5/31/20,42556,235,898,6,80
Belarus,6/1/20,43403,240,847,5,81
Belarus,6/2/20,44255,243,852,3,82
Belarus,6/3/20,45116,248,861,5,83
Belarus,6/4/20,45981,253,865,5,84
Belarus,6/5/20,46868,259,887,6,85
Belarus,6/6/20,47751,263,883,4,86
Belarus,6/7/20,48630,269,879,6,87
Belarus,6/8/20,49453,276,823,7,88
Belarus,6/9/20,50265,282,812,6,89
Belarus,6/10/20,51066,288,801,6,90
Belarus,6/11/20,51816,293,750,5,91
Belarus,6/12/20,52520,298,704,5,92
Belarus,6/13/20,53241,303,721,5,93
Belarus,6/14/20,53973,308,732,5,94
Belarus,6/15/20,54680,312,707,4,95
Belarus,6/16/20,55369,318,689,6,96
Belarus,6/17/20,56032,324,663,6,97
Belarus,6/18/20,56657,331,625,7,98
Belarus,6/19/20,57333,337,676,6,99
Belarus,6/20/20,57936,343,603,6,100
Belarus,6/21/20,58505,346,569,3,101
Belarus,6/22/20,59023,351,518,5,102
Belarus,6/23/20,59487,357,464,6,103
Belarus,6/24/20,59945,362,458,5,104
Belarus,6/25/20,60382,367,437,5,105
Belarus,6/26/20,60713,373,331,6,106
Belarus,6/27/20,61095,377,382,4,107
