country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Estonia,3/13/20,79,0,63,0,1
Estonia,3/14/20,115,0,36,0,2
Estonia,3/15/20,171,0,56,0,3
Estonia,3/16/20,205,0,34,0,4
Estonia,3/17/20,225,0,20,0,5
Estonia,3/18/20,258,0,33,0,6
Estonia,3/19/20,267,0,9,0,7
Estonia,3/20/20,283,0,16,0,8
Estonia,3/21/20,306,0,23,0,9
Estonia,3/22/20,326,0,20,0,10
Estonia,3/23/20,352,0,26,0,11
Estonia,3/24/20,369,0,17,0,12
Estonia,3/25/20,404,1,35,1,13
Estonia,3/26/20,538,1,134,0,14
Estonia,3/27/20,575,1,37,0,15
Estonia,3/28/20,645,1,70,0,16
Estonia,3/29/20,679,3,34,2,17
Estonia,3/30/20,715,3,36,0,18
Estonia,3/31/20,745,4,30,1,19
Estonia,4/1/20,779,5,34,1,20
Estonia,4/2/20,858,11,79,6,21
Estonia,4/3/20,961,12,103,1,22
Estonia,4/4/20,1039,13,78,1,23
Estonia,4/5/20,1097,15,58,2,24
Estonia,4/6/20,1108,19,11,4,25
Estonia,4/7/20,1149,21,41,2,26
Estonia,4/8/20,1185,24,36,3,27
Estonia,4/9/20,1207,24,22,0,28
Estonia,4/10/20,1258,24,51,0,29
Estonia,4/11/20,1304,24,46,0,30
Estonia,4/12/20,1309,25,5,1,31
Estonia,4/13/20,1332,28,23,3,32
Estonia,4/14/20,1373,31,41,3,33
Estonia,4/15/20,1400,35,27,4,34
Estonia,4/16/20,1434,36,34,1,35
Estonia,4/17/20,1459,38,25,2,36
Estonia,4/18/20,1512,38,53,0,37
Estonia,4/19/20,1528,40,16,2,38
Estonia,4/20/20,1535,40,7,0,39
Estonia,4/21/20,1552,43,17,3,40
Estonia,4/22/20,1559,44,7,1,41
Estonia,4/23/20,1592,45,33,1,42
Estonia,4/24/20,1605,46,13,1,43
Estonia,4/25/20,1635,46,30,0,44
Estonia,4/26/20,1643,49,8,3,45
Estonia,4/27/20,1647,50,4,1,46
Estonia,4/28/20,1660,50,13,0,47
Estonia,4/29/20,1666,50,6,0,48
Estonia,4/30/20,1689,52,23,2,49
Estonia,5/1/20,1694,52,5,0,50
Estonia,5/2/20,1699,53,5,1,51
Estonia,5/3/20,1700,55,1,2,52
Estonia,5/4/20,1703,55,3,0,53
Estonia,5/5/20,1711,55,8,0,54
Estonia,5/6/20,1713,55,2,0,55
Estonia,5/7/20,1720,56,7,1,56
Estonia,5/8/20,1725,56,5,0,57
Estonia,5/9/20,1733,60,8,4,58
Estonia,5/10/20,1739,60,6,0,59
Estonia,5/11/20,1741,61,2,1,60
Estonia,5/12/20,1746,61,5,0,61
Estonia,5/13/20,1751,61,5,0,62
Estonia,5/14/20,1758,62,7,1,63
Estonia,5/15/20,1766,63,8,1,64
Estonia,5/16/20,1770,63,4,0,65
Estonia,5/17/20,1774,63,4,0,66
Estonia,5/18/20,1784,64,10,1,67
Estonia,5/19/20,1791,64,7,0,68
Estonia,5/20/20,1794,64,3,0,69
Estonia,5/21/20,1800,64,6,0,70
Estonia,5/22/20,1807,64,7,0,71
Estonia,5/23/20,1821,64,14,0,72
Estonia,5/24/20,1823,64,2,0,73
Estonia,5/25/20,1824,65,1,1,74
Estonia,5/26/20,1834,65,10,0,75
Estonia,5/27/20,1840,66,6,1,76
Estonia,5/28/20,1851,66,11,0,77
Estonia,5/29/20,1859,67,8,1,78
Estonia,5/30/20,1865,67,6,0,79
Estonia,5/31/20,1869,68,4,1,80
Estonia,6/1/20,1870,68,1,0,81
Estonia,6/2/20,1870,68,0,0,82
Estonia,6/3/20,1880,69,10,1,83
Estonia,6/4/20,1890,69,10,0,84
Estonia,6/5/20,1910,69,20,0,85
Estonia,6/6/20,1931,69,21,0,86
Estonia,6/7/20,1939,69,8,0,87
Estonia,6/8/20,1940,69,1,0,88
Estonia,6/9/20,1947,69,7,0,89
Estonia,6/10/20,1958,69,11,0,90
Estonia,6/11/20,1965,69,7,0,91
Estonia,6/12/20,1970,69,5,0,92
Estonia,6/13/20,1973,69,3,0,93
Estonia,6/14/20,1973,69,0,0,94
Estonia,6/15/20,1974,69,1,0,95
Estonia,6/16/20,1975,69,1,0,96
Estonia,6/17/20,1977,69,2,0,97
Estonia,6/18/20,1977,69,0,0,98
Estonia,6/19/20,1979,69,2,0,99
Estonia,6/20/20,1981,69,2,0,100
Estonia,6/21/20,1981,69,0,0,101
Estonia,6/22/20,1981,69,0,0,102
Estonia,6/23/20,1982,69,1,0,103
Estonia,6/24/20,1983,69,1,0,104
Estonia,6/25/20,1984,69,1,0,105
Estonia,6/26/20,1986,69,2,0,106
Estonia,6/27/20,1986,69,0,0,107
