country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Indonesia,3/10/20,27,0,8,0,1
Indonesia,3/11/20,34,1,7,1,2
Indonesia,3/12/20,34,1,0,0,3
Indonesia,3/13/20,69,4,35,3,4
Indonesia,3/14/20,96,5,27,1,5
Indonesia,3/15/20,117,5,21,0,6
Indonesia,3/16/20,134,5,17,0,7
Indonesia,3/17/20,172,5,38,0,8
Indonesia,3/18/20,227,19,55,14,9
Indonesia,3/19/20,311,25,84,6,10
Indonesia,3/20/20,369,32,58,7,11
Indonesia,3/21/20,450,38,81,6,12
Indonesia,3/22/20,514,48,64,10,13
Indonesia,3/23/20,579,49,65,1,14
Indonesia,3/24/20,686,55,107,6,15
Indonesia,3/25/20,790,58,104,3,16
Indonesia,3/26/20,893,78,103,20,17
Indonesia,3/27/20,1046,87,153,9,18
Indonesia,3/28/20,1155,102,109,15,19
Indonesia,3/29/20,1285,114,130,12,20
Indonesia,3/30/20,1414,122,129,8,21
Indonesia,3/31/20,1528,136,114,14,22
Indonesia,4/1/20,1677,157,149,21,23
Indonesia,4/2/20,1790,170,113,13,24
Indonesia,4/3/20,1986,181,196,11,25
Indonesia,4/4/20,2092,191,106,10,26
Indonesia,4/5/20,2273,198,181,7,27
Indonesia,4/6/20,2491,209,218,11,28
Indonesia,4/7/20,2738,221,247,12,29
Indonesia,4/8/20,2956,240,218,19,30
Indonesia,4/9/20,3293,280,337,40,31
Indonesia,4/10/20,3512,306,219,26,32
Indonesia,4/11/20,3842,327,330,21,33
Indonesia,4/12/20,4241,373,399,46,34
Indonesia,4/13/20,4557,399,316,26,35
Indonesia,4/14/20,4839,459,282,60,36
Indonesia,4/15/20,5136,469,297,10,37
Indonesia,4/16/20,5516,496,380,27,38
Indonesia,4/17/20,5923,520,407,24,39
Indonesia,4/18/20,6248,535,325,15,40
Indonesia,4/19/20,6575,582,327,47,41
Indonesia,4/20/20,6760,590,185,8,42
Indonesia,4/21/20,7135,616,375,26,43
Indonesia,4/22/20,7418,635,283,19,44
Indonesia,4/23/20,7775,647,357,12,45
Indonesia,4/24/20,8211,689,436,42,46
Indonesia,4/25/20,8607,720,396,31,47
Indonesia,4/26/20,8882,743,275,23,48
Indonesia,4/27/20,9096,765,214,22,49
Indonesia,4/28/20,9511,773,415,8,50
Indonesia,4/29/20,9771,784,260,11,51
Indonesia,4/30/20,10118,792,347,8,52
Indonesia,5/1/20,10551,800,433,8,53
Indonesia,5/2/20,10843,831,292,31,54
Indonesia,5/3/20,11192,845,349,14,55
Indonesia,5/4/20,11587,864,395,19,56
Indonesia,5/5/20,12071,872,484,8,57
Indonesia,5/6/20,12438,895,367,23,58
Indonesia,5/7/20,12776,930,338,35,59
Indonesia,5/8/20,13112,943,336,13,60
Indonesia,5/9/20,13645,959,533,16,61
Indonesia,5/10/20,14032,973,387,14,62
Indonesia,5/11/20,14265,991,233,18,63
Indonesia,5/12/20,14749,1007,484,16,64
Indonesia,5/13/20,15438,1028,689,21,65
Indonesia,5/14/20,16006,1043,568,15,66
Indonesia,5/15/20,16496,1076,490,33,67
Indonesia,5/16/20,17025,1089,529,13,68
Indonesia,5/17/20,17514,1148,489,59,69
Indonesia,5/18/20,18010,1191,496,43,70
Indonesia,5/19/20,18496,1221,486,30,71
Indonesia,5/20/20,19189,1242,693,21,72
Indonesia,5/21/20,20162,1278,973,36,73
Indonesia,5/22/20,20796,1326,634,48,74
Indonesia,5/23/20,21745,1351,949,25,75
Indonesia,5/24/20,22271,1372,526,21,76
Indonesia,5/25/20,22750,1391,479,19,77
Indonesia,5/26/20,23165,1418,415,27,78
Indonesia,5/27/20,23851,1473,686,55,79
Indonesia,5/28/20,24538,1496,687,23,80
Indonesia,5/29/20,25216,1520,678,24,81
Indonesia,5/30/20,25773,1573,557,53,82
Indonesia,5/31/20,26473,1613,700,40,83
Indonesia,6/1/20,26940,1641,467,28,84
Indonesia,6/2/20,27549,1663,609,22,85
Indonesia,6/3/20,28233,1698,684,35,86
Indonesia,6/4/20,28818,1721,585,23,87
Indonesia,6/5/20,29521,1770,703,49,88
Indonesia,6/6/20,30514,1801,993,31,89
Indonesia,6/7/20,31186,1851,672,50,90
Indonesia,6/8/20,32033,1883,847,32,91
Indonesia,6/9/20,33076,1923,1043,40,92
Indonesia,6/10/20,34316,1959,1240,36,93
Indonesia,6/11/20,35295,2000,979,41,94
Indonesia,6/12/20,36406,2048,1111,48,95
Indonesia,6/13/20,37420,2091,1014,43,96
Indonesia,6/14/20,38277,2134,857,43,97
Indonesia,6/15/20,39294,2198,1017,64,98
Indonesia,6/16/20,40400,2231,1106,33,99
Indonesia,6/17/20,41431,2276,1031,45,100
Indonesia,6/18/20,42762,2339,1331,63,101
Indonesia,6/19/20,43803,2373,1041,34,102
Indonesia,6/20/20,45029,2429,1226,56,103
Indonesia,6/21/20,45891,2465,862,36,104
Indonesia,6/22/20,46845,2500,954,35,105
Indonesia,6/23/20,47896,2535,1051,35,106
Indonesia,6/24/20,49009,2573,1113,38,107
Indonesia,6/25/20,50187,2620,1178,47,108
Indonesia,6/26/20,51427,2683,1240,63,109
Indonesia,6/27/20,52812,2720,1385,37,110
