country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
South Sudan,4/28/20,34,0,28,0,1
South Sudan,4/29/20,34,0,0,0,2
South Sudan,4/30/20,35,0,1,0,3
South Sudan,5/1/20,45,0,10,0,4
South Sudan,5/2/20,45,0,0,0,5
South Sudan,5/3/20,46,0,1,0,6
South Sudan,5/4/20,46,0,0,0,7
South Sudan,5/5/20,52,0,6,0,8
South Sudan,5/6/20,58,0,6,0,9
South Sudan,5/7/20,74,0,16,0,10
South Sudan,5/8/20,120,0,46,0,11
South Sudan,5/9/20,120,0,0,0,12
South Sudan,5/10/20,120,0,0,0,13
South Sudan,5/11/20,156,0,36,0,14
South Sudan,5/12/20,194,0,38,0,15
South Sudan,5/13/20,203,0,9,0,16
South Sudan,5/14/20,203,0,0,0,17
South Sudan,5/15/20,236,4,33,4,18
South Sudan,5/16/20,236,4,0,0,19
South Sudan,5/17/20,290,4,54,0,20
South Sudan,5/18/20,290,4,0,0,21
South Sudan,5/19/20,290,4,0,0,22
South Sudan,5/20/20,290,4,0,0,23
South Sudan,5/21/20,481,4,191,0,24
South Sudan,5/22/20,563,6,82,2,25
South Sudan,5/23/20,655,8,92,2,26
South Sudan,5/24/20,655,8,0,0,27
South Sudan,5/25/20,806,8,151,0,28
South Sudan,5/26/20,806,8,0,0,29
South Sudan,5/27/20,994,10,188,2,30
South Sudan,5/28/20,994,10,0,0,31
South Sudan,5/29/20,994,10,0,0,32
South Sudan,5/30/20,994,10,0,0,33
South Sudan,5/31/20,994,10,0,0,34
South Sudan,6/1/20,994,10,0,0,35
South Sudan,6/2/20,994,10,0,0,36
South Sudan,6/3/20,994,10,0,0,37
South Sudan,6/4/20,994,10,0,0,38
South Sudan,6/5/20,994,10,0,0,39
South Sudan,6/6/20,994,10,0,0,40
South Sudan,6/7/20,1317,14,323,4,41
South Sudan,6/8/20,1604,19,287,5,42
South Sudan,6/9/20,1604,19,0,0,43
South Sudan,6/10/20,1604,19,0,0,44
South Sudan,6/11/20,1670,24,66,5,45
South Sudan,6/12/20,1670,24,0,0,46
South Sudan,6/13/20,1693,27,23,3,47
South Sudan,6/14/20,1693,27,0,0,48
South Sudan,6/15/20,1693,27,0,0,49
South Sudan,6/16/20,1776,30,83,3,50
South Sudan,6/17/20,1813,31,37,1,51
South Sudan,6/18/20,1830,32,17,1,52
South Sudan,6/19/20,1864,34,34,2,53
South Sudan,6/20/20,1882,34,18,0,54
South Sudan,6/21/20,1892,34,10,0,55
South Sudan,6/22/20,1916,35,24,1,56
South Sudan,6/23/20,1930,36,14,1,57
South Sudan,6/24/20,1942,36,12,0,58
South Sudan,6/25/20,1942,36,0,0,59
South Sudan,6/26/20,1942,36,0,0,60
South Sudan,6/27/20,1942,36,0,0,61
