country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Fiji,7/6/20,21,0,2,0,1
Fiji,7/7/20,21,0,0,0,2
Fiji,7/8/20,21,0,0,0,3
Fiji,7/9/20,26,0,5,0,4
Fiji,7/10/20,26,0,0,0,5
Fiji,7/11/20,26,0,0,0,6
Fiji,7/12/20,26,0,0,0,7
Fiji,7/13/20,26,0,0,0,8
Fiji,7/14/20,26,0,0,0,9
Fiji,7/15/20,26,0,0,0,10
Fiji,7/16/20,26,0,0,0,11
Fiji,7/17/20,26,0,0,0,12
Fiji,7/18/20,26,0,0,0,13
Fiji,7/19/20,27,0,1,0,14
Fiji,7/20/20,27,0,0,0,15
Fiji,7/21/20,27,0,0,0,16
Fiji,7/22/20,27,0,0,0,17
Fiji,7/23/20,27,0,0,0,18
Fiji,7/24/20,27,0,0,0,19
