country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Libya,4/7/20,20,1,1,0,1
Libya,4/8/20,21,1,1,0,2
Libya,4/9/20,24,1,3,0,3
Libya,4/10/20,24,1,0,0,4
Libya,4/11/20,24,1,0,0,5
Libya,4/12/20,25,1,1,0,6
Libya,4/13/20,26,1,1,0,7
Libya,4/14/20,35,1,9,0,8
Libya,4/15/20,48,1,13,0,9
Libya,4/16/20,49,1,1,0,10
Libya,4/17/20,49,1,0,0,11
Libya,4/18/20,49,1,0,0,12
Libya,4/19/20,51,1,2,0,13
Libya,4/20/20,51,1,0,0,14
Libya,4/21/20,51,1,0,0,15
Libya,4/22/20,59,1,8,0,16
Libya,4/23/20,60,2,1,1,17
Libya,4/24/20,61,2,1,0,18
Libya,4/25/20,61,2,0,0,19
Libya,4/26/20,61,2,0,0,20
Libya,4/27/20,61,2,0,0,21
Libya,4/28/20,61,2,0,0,22
Libya,4/29/20,61,2,0,0,23
Libya,4/30/20,61,3,0,1,24
Libya,5/1/20,63,3,2,0,25
Libya,5/2/20,63,3,0,0,26
Libya,5/3/20,63,3,0,0,27
Libya,5/4/20,63,3,0,0,28
Libya,5/5/20,63,3,0,0,29
Libya,5/6/20,64,3,1,0,30
Libya,5/7/20,64,3,0,0,31
Libya,5/8/20,64,3,0,0,32
Libya,5/9/20,64,3,0,0,33
Libya,5/10/20,64,3,0,0,34
Libya,5/11/20,64,3,0,0,35
Libya,5/12/20,64,3,0,0,36
Libya,5/13/20,64,3,0,0,37
Libya,5/14/20,64,3,0,0,38
Libya,5/15/20,64,3,0,0,39
Libya,5/16/20,65,3,1,0,40
Libya,5/17/20,65,3,0,0,41
Libya,5/18/20,65,3,0,0,42
Libya,5/19/20,68,3,3,0,43
Libya,5/20/20,69,3,1,0,44
Libya,5/21/20,71,3,2,0,45
Libya,5/22/20,72,3,1,0,46
Libya,5/23/20,75,3,3,0,47
Libya,5/24/20,75,3,0,0,48
Libya,5/25/20,75,3,0,0,49
Libya,5/26/20,77,3,2,0,50
Libya,5/27/20,99,4,22,1,51
Libya,5/28/20,105,5,6,1,52
Libya,5/29/20,118,5,13,0,53
Libya,5/30/20,130,5,12,0,54
Libya,5/31/20,156,5,26,0,55
Libya,6/1/20,168,5,12,0,56
Libya,6/2/20,182,5,14,0,57
Libya,6/3/20,196,5,14,0,58
Libya,6/4/20,209,5,13,0,59
Libya,6/5/20,239,5,30,0,60
Libya,6/6/20,256,5,17,0,61
Libya,6/7/20,256,5,0,0,62
Libya,6/8/20,332,5,76,0,63
Libya,6/9/20,359,5,27,0,64
Libya,6/10/20,378,5,19,0,65
Libya,6/11/20,393,5,15,0,66
Libya,6/12/20,409,6,16,1,67
Libya,6/13/20,418,8,9,2,68
Libya,6/14/20,454,10,36,2,69
Libya,6/15/20,467,10,13,0,70
Libya,6/16/20,484,10,17,0,71
Libya,6/17/20,500,10,16,0,72
Libya,6/18/20,510,10,10,0,73
Libya,6/19/20,520,10,10,0,74
Libya,6/20/20,544,10,24,0,75
Libya,6/21/20,571,10,27,0,76
Libya,6/22/20,595,10,24,0,77
Libya,6/23/20,639,17,44,7,78
Libya,6/24/20,670,18,31,1,79
Libya,6/25/20,698,18,28,0,80
Libya,6/26/20,713,18,15,0,81
Libya,6/27/20,727,18,14,0,82
Libya,6/28/20,762,21,35,3,83
Libya,6/29/20,802,23,40,2,84
Libya,6/30/20,824,24,22,1,85
Libya,7/1/20,874,25,50,1,86
Libya,7/2/20,891,26,17,1,87
Libya,7/3/20,918,27,27,1,88
Libya,7/4/20,989,27,71,0,89
Libya,7/5/20,1046,32,57,5,90
Libya,7/6/20,1117,34,71,2,91
Libya,7/7/20,1182,35,65,1,92
Libya,7/8/20,1268,36,86,1,93
Libya,7/9/20,1342,38,74,2,94
Libya,7/10/20,1342,38,0,0,95
Libya,7/11/20,1389,38,47,0,96
Libya,7/12/20,1433,39,44,1,97
Libya,7/13/20,1512,40,79,1,98
Libya,7/14/20,1563,42,51,2,99
Libya,7/15/20,1589,43,26,1,100
Libya,7/16/20,1652,46,63,3,101
Libya,7/17/20,1704,47,52,1,102
Libya,7/18/20,1791,48,87,1,103
Libya,7/19/20,1866,48,75,0,104
Libya,7/20/20,1980,49,114,1,105
Libya,7/21/20,2088,50,108,1,106
Libya,7/22/20,2176,53,88,3,107
Libya,7/23/20,2314,56,138,3,108
Libya,7/24/20,2424,57,110,1,109
