country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Chile,3/8/20,20,0,7,0,1
Chile,3/9/20,20,0,0,0,2
Chile,3/10/20,25,0,5,0,3
Chile,3/11/20,35,0,10,0,4
Chile,3/12/20,35,0,0,0,5
Chile,3/13/20,55,0,20,0,6
Chile,3/14/20,88,0,33,0,7
Chile,3/15/20,101,0,13,0,8
Chile,3/16/20,182,0,81,0,9
Chile,3/17/20,228,0,46,0,10
Chile,3/18/20,265,0,37,0,11
Chile,3/19/20,265,0,0,0,12
Chile,3/20/20,461,0,196,0,13
Chile,3/21/20,592,0,131,0,14
Chile,3/22/20,687,1,95,1,15
Chile,3/23/20,801,2,114,1,16
Chile,3/24/20,977,2,176,0,17
Chile,3/25/20,1197,3,220,1,18
Chile,3/26/20,1361,4,164,1,19
Chile,3/27/20,1665,5,304,1,20
Chile,3/28/20,2015,6,350,1,21
Chile,3/29/20,2245,7,230,1,22
Chile,3/30/20,2555,8,310,1,23
Chile,3/31/20,2844,12,289,4,24
Chile,4/1/20,3137,16,293,4,25
Chile,4/2/20,3510,18,373,2,26
Chile,4/3/20,3843,22,333,4,27
Chile,4/4/20,4355,27,512,5,28
Chile,4/5/20,4665,34,310,7,29
Chile,4/6/20,5009,37,344,3,30
Chile,4/7/20,5310,43,301,6,31
Chile,4/8/20,5740,48,430,5,32
Chile,4/9/20,6166,57,426,9,33
Chile,4/10/20,6695,65,529,8,34
Chile,4/11/20,7366,73,671,8,35
Chile,4/12/20,7652,80,286,7,36
Chile,4/13/20,7964,82,312,2,37
Chile,4/14/20,8356,92,392,10,38
Chile,4/15/20,8712,94,356,2,39
Chile,4/16/20,9246,105,534,11,40
Chile,4/17/20,9691,116,445,11,41
Chile,4/18/20,10598,126,907,10,42
Chile,4/19/20,10956,133,358,7,43
Chile,4/20/20,11375,139,419,6,44
Chile,4/21/20,11700,147,325,8,45
Chile,4/22/20,12164,160,464,13,46
Chile,4/23/20,12680,168,516,8,47
Chile,4/24/20,13174,174,494,6,48
Chile,4/25/20,14537,181,1363,7,49
Chile,4/26/20,15010,189,473,8,50
Chile,4/27/20,15492,198,482,9,51
Chile,4/28/20,16044,207,552,9,52
Chile,4/29/20,16564,216,520,9,53
Chile,4/30/20,17702,227,1138,11,54
Chile,5/1/20,18687,234,985,7,55
Chile,5/2/20,21213,247,2526,13,56
Chile,5/3/20,22441,260,1228,13,57
