country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Lesotho,6/26/20,24,0,7,0,1
Lesotho,6/27/20,24,0,0,0,2
Lesotho,6/28/20,27,0,3,0,3
Lesotho,6/29/20,27,0,0,0,4
Lesotho,6/30/20,27,0,0,0,5
Lesotho,7/1/20,35,0,8,0,6
Lesotho,7/2/20,35,0,0,0,7
Lesotho,7/3/20,35,0,0,0,8
Lesotho,7/4/20,35,0,0,0,9
Lesotho,7/5/20,79,0,44,0,10
Lesotho,7/6/20,91,0,12,0,11
Lesotho,7/7/20,91,0,0,0,12
Lesotho,7/8/20,91,0,0,0,13
Lesotho,7/9/20,134,1,43,1,14
Lesotho,7/10/20,184,1,50,0,15
Lesotho,7/11/20,184,1,0,0,16
Lesotho,7/12/20,233,2,49,1,17
Lesotho,7/13/20,245,3,12,1,18
Lesotho,7/14/20,256,3,11,0,19
Lesotho,7/15/20,256,3,0,0,20
Lesotho,7/16/20,256,3,0,0,21
Lesotho,7/17/20,311,6,55,3,22
Lesotho,7/18/20,359,6,48,0,23
Lesotho,7/19/20,359,6,0,0,24
Lesotho,7/20/20,359,6,0,0,25
Lesotho,7/21/20,359,6,0,0,26
Lesotho,7/22/20,359,6,0,0,27
Lesotho,7/23/20,359,6,0,0,28
Lesotho,7/24/20,359,6,0,0,29
Lesotho,7/25/20,419,9,60,3,30
Lesotho,7/26/20,505,12,86,3,31
Lesotho,7/27/20,505,12,0,0,32
Lesotho,7/28/20,505,12,0,0,33
Lesotho,7/29/20,576,13,71,1,34
Lesotho,7/30/20,604,13,28,0,35
Lesotho,7/31/20,604,13,0,0,36
Lesotho,8/1/20,702,14,98,1,37
Lesotho,8/2/20,718,19,16,5,38
Lesotho,8/3/20,718,19,0,0,39
Lesotho,8/4/20,726,21,8,2,40
Lesotho,8/5/20,726,21,0,0,41
Lesotho,8/6/20,742,23,16,2,42
Lesotho,8/7/20,742,23,0,0,43
Lesotho,8/8/20,742,23,0,0,44
