country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Kosovo,3/19/20,20,0,1,0,1
Kosovo,3/20/20,21,0,1,0,2
Kosovo,3/21/20,24,0,3,0,3
Kosovo,3/22/20,31,0,7,0,4
Kosovo,3/23/20,33,1,2,1,5
Kosovo,3/24/20,61,1,28,0,6
Kosovo,3/25/20,63,1,2,0,7
Kosovo,3/26/20,71,1,8,0,8
Kosovo,3/27/20,86,1,15,0,9
Kosovo,3/28/20,88,1,2,0,10
Kosovo,3/29/20,91,1,3,0,11
Kosovo,3/30/20,94,1,3,0,12
Kosovo,3/31/20,106,1,12,0,13
Kosovo,4/1/20,112,1,6,0,14
Kosovo,4/2/20,125,1,13,0,15
Kosovo,4/3/20,126,1,1,0,16
Kosovo,4/4/20,135,1,9,0,17
Kosovo,4/5/20,140,1,5,0,18
Kosovo,4/6/20,145,1,5,0,19
Kosovo,4/7/20,165,3,20,2,20
Kosovo,4/8/20,184,5,19,2,21
Kosovo,4/9/20,224,6,40,1,22
Kosovo,4/10/20,227,7,3,1,23
Kosovo,4/11/20,250,7,23,0,24
Kosovo,4/12/20,283,7,33,0,25
Kosovo,4/13/20,362,7,79,0,26
Kosovo,4/14/20,377,8,15,1,27
Kosovo,4/15/20,387,8,10,0,28
Kosovo,4/16/20,423,9,36,1,29
Kosovo,4/17/20,449,11,26,2,30
Kosovo,4/18/20,480,12,31,1,31
Kosovo,4/19/20,510,12,30,0,32
Kosovo,4/20/20,561,12,51,0,33
Kosovo,4/21/20,598,15,37,3,34
Kosovo,4/22/20,604,18,6,3,35
Kosovo,4/23/20,630,18,26,0,36
Kosovo,4/24/20,669,19,39,1,37
Kosovo,4/25/20,703,19,34,0,38
Kosovo,4/26/20,731,20,28,1,39
Kosovo,4/27/20,763,21,32,1,40
Kosovo,4/28/20,780,22,17,1,41
Kosovo,4/29/20,790,22,10,0,42
Kosovo,4/30/20,799,22,9,0,43
Kosovo,5/1/20,806,22,7,0,44
Kosovo,5/2/20,813,22,7,0,45
Kosovo,5/3/20,823,22,10,0,46
Kosovo,5/4/20,851,22,28,0,47
Kosovo,5/5/20,855,26,4,4,48
Kosovo,5/6/20,856,26,1,0,49
Kosovo,5/7/20,860,26,4,0,50
Kosovo,5/8/20,861,27,1,1,51
Kosovo,5/9/20,862,28,1,1,52
Kosovo,5/10/20,870,28,8,0,53
Kosovo,5/11/20,884,28,14,0,54
Kosovo,5/12/20,895,28,11,0,55
Kosovo,5/13/20,919,29,24,1,56
Kosovo,5/14/20,927,29,8,0,57
Kosovo,5/15/20,945,29,18,0,58
Kosovo,5/16/20,955,29,10,0,59
Kosovo,5/17/20,978,29,23,0,60
Kosovo,5/18/20,985,29,7,0,61
Kosovo,5/19/20,988,29,3,0,62
Kosovo,5/20/20,989,29,1,0,63
Kosovo,5/21/20,1003,29,14,0,64
Kosovo,5/22/20,1004,29,1,0,65
Kosovo,5/23/20,1025,29,21,0,66
Kosovo,5/24/20,1032,29,7,0,67
Kosovo,5/25/20,1038,30,6,1,68
Kosovo,5/26/20,1038,30,0,0,69
Kosovo,5/27/20,1047,30,9,0,70
Kosovo,5/28/20,1048,30,1,0,71
Kosovo,5/29/20,1052,30,4,0,72
Kosovo,5/30/20,1064,30,12,0,73
Kosovo,5/31/20,1070,30,6,0,74
Kosovo,6/1/20,1083,30,13,0,75
Kosovo,6/2/20,1110,30,27,0,76
Kosovo,6/3/20,1123,30,13,0,77
Kosovo,6/4/20,1142,30,19,0,78
Kosovo,6/5/20,1147,30,5,0,79
Kosovo,6/6/20,1158,30,11,0,80
Kosovo,6/7/20,1194,30,36,0,81
Kosovo,6/8/20,1234,31,40,1,82
Kosovo,6/9/20,1263,31,29,0,83
Kosovo,6/10/20,1269,31,6,0,84
Kosovo,6/11/20,1298,31,29,0,85
Kosovo,6/12/20,1326,31,28,0,86
Kosovo,6/13/20,1384,31,58,0,87
Kosovo,6/14/20,1437,32,53,1,88
Kosovo,6/15/20,1486,33,49,1,89
Kosovo,6/16/20,1615,33,129,0,90
Kosovo,6/17/20,1756,34,141,1,91
Kosovo,6/18/20,1833,34,77,0,92
Kosovo,6/19/20,1916,34,83,0,93
Kosovo,6/20/20,1998,34,82,0,94
Kosovo,6/21/20,2073,35,75,1,95
Kosovo,6/22/20,2169,36,96,1,96
Kosovo,6/23/20,2216,37,47,1,97
Kosovo,6/24/20,2268,38,52,1,98
Kosovo,6/25/20,2363,40,95,2,99
Kosovo,6/26/20,2432,42,69,2,100
Kosovo,6/27/20,2494,44,62,2,101
Kosovo,6/28/20,2590,48,96,4,102
Kosovo,6/29/20,2677,49,87,1,103
Kosovo,6/30/20,2799,49,122,0,104
Kosovo,7/1/20,2878,51,79,2,105
Kosovo,7/2/20,2991,54,113,3,106
Kosovo,7/3/20,3064,55,73,1,107
Kosovo,7/4/20,3178,58,114,3,108
Kosovo,7/5/20,3356,66,178,8,109
Kosovo,7/6/20,3508,75,152,9,110
Kosovo,7/7/20,3703,79,195,4,111
Kosovo,7/8/20,3886,82,183,3,112
Kosovo,7/9/20,4100,86,214,4,113
Kosovo,7/10/20,4307,94,207,8,114
Kosovo,7/11/20,4512,97,205,3,115
Kosovo,7/12/20,4715,101,203,4,116
Kosovo,7/13/20,4931,102,216,1,117
Kosovo,7/14/20,5118,108,187,6,118
Kosovo,7/15/20,5237,112,119,4,119
Kosovo,7/16/20,5369,118,132,6,120
Kosovo,7/17/20,5472,124,103,6,121
Kosovo,7/18/20,5617,130,145,6,122
Kosovo,7/19/20,5735,135,118,5,123
Kosovo,7/20/20,5877,139,142,4,124
Kosovo,7/21/20,6045,144,168,5,125
Kosovo,7/22/20,6286,150,241,6,126
Kosovo,7/23/20,6467,158,181,8,127
Kosovo,7/24/20,6680,164,213,6,128
Kosovo,7/25/20,6917,169,237,5,129
Kosovo,7/26/20,7137,177,220,8,130
Kosovo,7/27/20,7413,185,276,8,131
Kosovo,7/28/20,7652,192,239,7,132
