country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Sweden,3/3/20,21,0,6,0,1
Sweden,3/4/20,35,0,14,0,2
Sweden,3/5/20,94,0,59,0,3
Sweden,3/6/20,101,0,7,0,4
Sweden,3/7/20,161,0,60,0,5
Sweden,3/8/20,203,0,42,0,6
Sweden,3/9/20,248,0,45,0,7
Sweden,3/10/20,355,0,107,0,8
Sweden,3/11/20,500,1,145,1,9
Sweden,3/12/20,599,1,99,0,10
Sweden,3/13/20,814,1,215,0,11
Sweden,3/14/20,961,2,147,1,12
Sweden,3/15/20,1022,3,61,1,13
Sweden,3/16/20,1103,6,81,3,14
Sweden,3/17/20,1190,7,87,1,15
Sweden,3/18/20,1279,10,89,3,16
Sweden,3/19/20,1439,11,160,1,17
Sweden,3/20/20,1639,16,200,5,18
Sweden,3/21/20,1763,20,124,4,19
Sweden,3/22/20,1934,21,171,1,20
Sweden,3/23/20,2046,25,112,4,21
Sweden,3/24/20,2286,36,240,11,22
Sweden,3/25/20,2526,62,240,26,23
Sweden,3/26/20,2840,77,314,15,24
Sweden,3/27/20,3069,105,229,28,25
Sweden,3/28/20,3447,105,378,0,26
Sweden,3/29/20,3700,110,253,5,27
Sweden,3/30/20,4028,146,328,36,28
Sweden,3/31/20,4435,180,407,34,29
Sweden,4/1/20,4947,239,512,59,30
Sweden,4/2/20,5568,308,621,69,31
Sweden,4/3/20,6131,358,563,50,32
Sweden,4/4/20,6443,373,312,15,33
Sweden,4/5/20,6830,401,387,28,34
Sweden,4/6/20,7206,477,376,76,35
Sweden,4/7/20,7693,591,487,114,36
Sweden,4/8/20,8419,687,726,96,37
Sweden,4/9/20,9141,793,722,106,38
Sweden,4/10/20,9685,870,544,77,39
Sweden,4/11/20,10151,887,466,17,40
Sweden,4/12/20,10483,899,332,12,41
Sweden,4/13/20,10948,919,465,20,42
Sweden,4/14/20,11445,1033,497,114,43
Sweden,4/15/20,11927,1203,482,170,44
Sweden,4/16/20,12540,1333,613,130,45
Sweden,4/17/20,13216,1400,676,67,46
Sweden,4/18/20,13822,1511,606,111,47
Sweden,4/19/20,14385,1540,563,29,48
Sweden,4/20/20,14777,1580,392,40,49
Sweden,4/21/20,15322,1765,545,185,50
Sweden,4/22/20,16004,1937,682,172,51
Sweden,4/23/20,16755,2021,751,84,52
Sweden,4/24/20,17567,2152,812,131,53
Sweden,4/25/20,18177,2192,610,40,54
Sweden,4/26/20,18640,2194,463,2,55
Sweden,4/27/20,18926,2274,286,80,56
Sweden,4/28/20,19621,2355,695,81,57
Sweden,4/29/20,20302,2462,681,107,58
Sweden,4/30/20,21092,2586,790,124,59
Sweden,5/1/20,21520,2653,428,67,60
Sweden,5/2/20,22082,2669,562,16,61
Sweden,5/3/20,22317,2679,235,10,62
Sweden,5/4/20,22721,2769,404,90,63
Sweden,5/5/20,23216,2854,495,85,64
Sweden,5/6/20,23918,2941,702,87,65
Sweden,5/7/20,24623,3040,705,99,66
Sweden,5/8/20,25265,3175,642,135,67
Sweden,5/9/20,25921,3220,656,45,68
Sweden,5/10/20,26322,3225,401,5,69
Sweden,5/11/20,26670,3256,348,31,70
Sweden,5/12/20,27272,3313,602,57,71
Sweden,5/13/20,27909,3460,637,147,72
Sweden,5/14/20,28582,3529,673,69,73
Sweden,5/15/20,29207,3646,625,117,74
Sweden,5/16/20,29677,3674,470,28,75
Sweden,5/17/20,30143,3679,466,5,76
Sweden,5/18/20,30377,3698,234,19,77
Sweden,5/19/20,30799,3743,422,45,78
Sweden,5/20/20,31523,3831,724,88,79
Sweden,5/21/20,32172,3871,649,40,80
Sweden,5/22/20,32809,3925,637,54,81
Sweden,5/23/20,33188,3992,379,67,82
Sweden,5/24/20,33459,3998,271,6,83
Sweden,5/25/20,33843,4029,384,31,84
Sweden,5/26/20,34440,4125,597,96,85
Sweden,5/27/20,35088,4220,648,95,86
Sweden,5/28/20,35727,4266,639,46,87
Sweden,5/29/20,36476,4350,749,84,88
Sweden,5/30/20,37113,4395,637,45,89
Sweden,5/31/20,37542,4395,429,0,90
Sweden,6/1/20,37814,4403,272,8,91
Sweden,6/2/20,38589,4468,775,65,92
Sweden,6/3/20,40803,4542,2214,74,93
Sweden,6/4/20,41883,4562,1080,20,94
Sweden,6/5/20,42939,4639,1056,77,95
Sweden,6/6/20,43887,4656,948,17,96
Sweden,6/7/20,44730,4659,843,3,97
Sweden,6/8/20,45133,4694,403,35,98
Sweden,6/9/20,45924,4717,791,23,99
Sweden,6/10/20,46814,4795,890,78,100
Sweden,6/11/20,48288,4814,1474,19,101
Sweden,6/12/20,49684,4854,1396,40,102
Sweden,6/13/20,50931,4874,1247,20,103
Sweden,6/14/20,51614,4874,683,0,104
Sweden,6/15/20,52383,4891,769,17,105
Sweden,6/16/20,53323,4939,940,48,106
Sweden,6/17/20,54562,5041,1239,102,107
Sweden,6/18/20,56043,5053,1481,12,108
Sweden,6/19/20,58076,5105,2033,52,109
Sweden,6/20/20,58591,5109,515,4,110
Sweden,6/21/20,58848,5111,257,2,111
Sweden,6/22/20,58932,5122,84,11,112
Sweden,6/23/20,60837,5161,1905,39,113
Sweden,6/24/20,62324,5209,1487,48,114
Sweden,6/25/20,63890,5230,1566,21,115
Sweden,6/26/20,65137,5280,1247,50,116
Sweden,6/27/20,65137,5280,0,0,117
