country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Tajikistan,5/2/20,76,2,61,2,1
Tajikistan,5/3/20,128,2,52,0,2
Tajikistan,5/4/20,230,3,102,1,3
Tajikistan,5/5/20,293,5,63,2,4
Tajikistan,5/6/20,379,8,86,3,5
Tajikistan,5/7/20,461,12,82,4,6
Tajikistan,5/8/20,522,12,61,0,7
Tajikistan,5/9/20,612,20,90,8,8
Tajikistan,5/10/20,612,20,0,0,9
Tajikistan,5/11/20,661,21,49,1,10
Tajikistan,5/12/20,729,21,68,0,11
Tajikistan,5/13/20,801,23,72,2,12
Tajikistan,5/14/20,907,29,106,6,13
Tajikistan,5/15/20,1118,33,211,4,14
Tajikistan,5/16/20,1322,36,204,3,15
Tajikistan,5/17/20,1524,39,202,3,16
Tajikistan,5/18/20,1729,41,205,2,17
Tajikistan,5/19/20,1936,41,207,0,18
Tajikistan,5/20/20,2140,41,204,0,19
Tajikistan,5/21/20,2350,44,210,3,20
Tajikistan,5/22/20,2551,44,201,0,21
Tajikistan,5/23/20,2738,44,187,0,22
Tajikistan,5/24/20,2929,46,191,2,23
Tajikistan,5/25/20,3100,46,171,0,24
Tajikistan,5/26/20,3266,47,166,1,25
Tajikistan,5/27/20,3424,47,158,0,26
Tajikistan,5/28/20,3563,47,139,0,27
Tajikistan,5/29/20,3686,47,123,0,28
Tajikistan,5/30/20,3807,47,121,0,29
Tajikistan,5/31/20,3930,47,123,0,30
Tajikistan,6/1/20,4013,47,83,0,31
Tajikistan,6/2/20,4100,47,87,0,32
Tajikistan,6/3/20,4191,48,91,1,33
Tajikistan,6/4/20,4289,48,98,0,34
Tajikistan,6/5/20,4370,48,81,0,35
Tajikistan,6/6/20,4453,48,83,0,36
Tajikistan,6/7/20,4529,48,76,0,37
Tajikistan,6/8/20,4609,48,80,0,38
Tajikistan,6/9/20,4690,48,81,0,39
Tajikistan,6/10/20,4763,48,73,0,40
Tajikistan,6/11/20,4834,49,71,1,41
Tajikistan,6/12/20,4902,49,68,0,42
Tajikistan,6/13/20,4971,50,69,1,43
Tajikistan,6/14/20,5035,50,64,0,44
Tajikistan,6/15/20,5097,50,62,0,45
Tajikistan,6/16/20,5160,50,63,0,46
Tajikistan,6/17/20,5221,51,61,1,47
Tajikistan,6/18/20,5279,51,58,0,48
Tajikistan,6/19/20,5338,51,59,0,49
Tajikistan,6/20/20,5399,52,61,1,50
Tajikistan,6/21/20,5457,52,58,0,51
Tajikistan,6/22/20,5513,52,56,0,52
Tajikistan,6/23/20,5567,52,54,0,53
Tajikistan,6/24/20,5630,52,63,0,54
Tajikistan,6/25/20,5691,52,61,0,55
Tajikistan,6/26/20,5747,52,56,0,56
Tajikistan,6/27/20,5799,52,52,0,57
Tajikistan,6/28/20,5849,52,50,0,58
Tajikistan,6/29/20,5900,52,51,0,59
Tajikistan,6/30/20,5900,52,0,0,60
Tajikistan,7/1/20,6005,52,105,0,61
Tajikistan,7/2/20,6058,52,53,0,62
Tajikistan,7/3/20,6058,52,0,0,63
Tajikistan,7/4/20,6159,52,101,0,64
Tajikistan,7/5/20,6213,53,54,1,65
Tajikistan,7/6/20,6262,53,49,0,66
Tajikistan,7/7/20,6315,53,53,0,67
Tajikistan,7/8/20,6364,54,49,1,68
Tajikistan,7/9/20,6410,54,46,0,69
Tajikistan,7/10/20,6457,55,47,1,70
Tajikistan,7/11/20,6506,55,49,0,71
Tajikistan,7/12/20,6552,55,46,0,72
Tajikistan,7/13/20,6596,55,44,0,73
Tajikistan,7/14/20,6643,56,47,1,74
Tajikistan,7/15/20,6695,56,52,0,75
Tajikistan,7/16/20,6741,56,46,0,76
Tajikistan,7/17/20,6786,56,45,0,77
Tajikistan,7/18/20,6834,57,48,1,78
Tajikistan,7/19/20,6878,57,44,0,79
Tajikistan,7/20/20,6921,57,43,0,80
Tajikistan,7/21/20,6967,57,46,0,81
Tajikistan,7/22/20,7015,58,48,1,82
Tajikistan,7/23/20,7060,58,45,0,83
Tajikistan,7/24/20,7104,58,44,0,84
Tajikistan,7/25/20,7150,59,46,1,85
Tajikistan,7/26/20,7192,59,42,0,86
Tajikistan,7/27/20,7235,60,43,1,87
Tajikistan,7/28/20,7276,60,41,0,88
Tajikistan,7/29/20,7320,60,44,0,89
Tajikistan,7/30/20,7366,60,46,0,90
Tajikistan,7/31/20,7409,60,43,0,91
Tajikistan,8/1/20,7451,60,42,0,92
Tajikistan,8/2/20,7495,61,44,1,93
Tajikistan,8/3/20,7538,61,43,0,94
Tajikistan,8/4/20,7583,61,45,0,95
Tajikistan,8/5/20,7625,61,42,0,96
Tajikistan,8/6/20,7665,62,40,1,97
Tajikistan,8/7/20,7706,62,41,0,98
Tajikistan,8/8/20,7706,62,0,0,99
Tajikistan,8/9/20,7745,62,39,0,100
Tajikistan,8/10/20,7827,62,82,0,101
Tajikistan,8/11/20,7871,63,44,1,102
Tajikistan,8/12/20,7912,63,41,0,103
Tajikistan,8/13/20,7950,63,38,0,104
Tajikistan,8/14/20,7989,63,39,0,105
Tajikistan,8/15/20,8029,64,40,1,106
Tajikistan,8/16/20,8065,64,36,0,107
Tajikistan,8/17/20,8099,64,34,0,108
Tajikistan,8/18/20,8131,65,32,1,109
Tajikistan,8/19/20,8166,65,35,0,110
Tajikistan,8/20/20,8203,66,37,1,111
