country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Malaysia,2/15/20,22,0,3,0,1
Malaysia,2/16/20,22,0,0,0,2
Malaysia,2/17/20,22,0,0,0,3
Malaysia,2/18/20,22,0,0,0,4
Malaysia,2/19/20,22,0,0,0,5
Malaysia,2/20/20,22,0,0,0,6
Malaysia,2/21/20,22,0,0,0,7
Malaysia,2/22/20,22,0,0,0,8
Malaysia,2/23/20,22,0,0,0,9
Malaysia,2/24/20,22,0,0,0,10
Malaysia,2/25/20,22,0,0,0,11
Malaysia,2/26/20,22,0,0,0,12
Malaysia,2/27/20,23,0,1,0,13
Malaysia,2/28/20,23,0,0,0,14
Malaysia,2/29/20,25,0,2,0,15
Malaysia,3/1/20,29,0,4,0,16
Malaysia,3/2/20,29,0,0,0,17
Malaysia,3/3/20,36,0,7,0,18
Malaysia,3/4/20,50,0,14,0,19
Malaysia,3/5/20,50,0,0,0,20
Malaysia,3/6/20,83,0,33,0,21
Malaysia,3/7/20,93,0,10,0,22
Malaysia,3/8/20,99,0,6,0,23
Malaysia,3/9/20,117,0,18,0,24
Malaysia,3/10/20,129,0,12,0,25
Malaysia,3/11/20,149,0,20,0,26
Malaysia,3/12/20,149,0,0,0,27
Malaysia,3/13/20,197,0,48,0,28
Malaysia,3/14/20,238,0,41,0,29
Malaysia,3/15/20,428,0,190,0,30
Malaysia,3/16/20,566,0,138,0,31
Malaysia,3/17/20,673,2,107,2,32
Malaysia,3/18/20,790,2,117,0,33
Malaysia,3/19/20,900,2,110,0,34
Malaysia,3/20/20,1030,3,130,1,35
Malaysia,3/21/20,1183,4,153,1,36
Malaysia,3/22/20,1306,10,123,6,37
Malaysia,3/23/20,1518,14,212,4,38
Malaysia,3/24/20,1624,16,106,2,39
Malaysia,3/25/20,1796,20,172,4,40
Malaysia,3/26/20,2031,23,235,3,41
Malaysia,3/27/20,2161,26,130,3,42
Malaysia,3/28/20,2320,27,159,1,43
Malaysia,3/29/20,2470,35,150,8,44
Malaysia,3/30/20,2626,37,156,2,45
Malaysia,3/31/20,2766,43,140,6,46
Malaysia,4/1/20,2908,45,142,2,47
Malaysia,4/2/20,3116,50,208,5,48
Malaysia,4/3/20,3333,53,217,3,49
Malaysia,4/4/20,3483,57,150,4,50
Malaysia,4/5/20,3662,61,179,4,51
Malaysia,4/6/20,3793,62,131,1,52
Malaysia,4/7/20,3963,63,170,1,53
Malaysia,4/8/20,4119,65,156,2,54
Malaysia,4/9/20,4228,67,109,2,55
Malaysia,4/10/20,4346,70,118,3,56
