country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Guinea-Bissau,4/7/20,33,0,15,0,1
Guinea-Bissau,4/8/20,33,0,0,0,2
Guinea-Bissau,4/9/20,36,0,3,0,3
Guinea-Bissau,4/10/20,36,0,0,0,4
Guinea-Bissau,4/11/20,38,0,2,0,5
Guinea-Bissau,4/12/20,38,0,0,0,6
Guinea-Bissau,4/13/20,38,0,0,0,7
Guinea-Bissau,4/14/20,38,0,0,0,8
Guinea-Bissau,4/15/20,43,0,5,0,9
Guinea-Bissau,4/16/20,43,0,0,0,10
Guinea-Bissau,4/17/20,43,0,0,0,11
Guinea-Bissau,4/18/20,46,0,3,0,12
Guinea-Bissau,4/19/20,50,0,4,0,13
Guinea-Bissau,4/20/20,50,0,0,0,14
Guinea-Bissau,4/21/20,50,0,0,0,15
Guinea-Bissau,4/22/20,50,0,0,0,16
Guinea-Bissau,4/23/20,50,0,0,0,17
Guinea-Bissau,4/24/20,52,0,2,0,18
Guinea-Bissau,4/25/20,52,0,0,0,19
Guinea-Bissau,4/26/20,53,1,1,1,20
Guinea-Bissau,4/27/20,73,1,20,0,21
Guinea-Bissau,4/28/20,73,1,0,0,22
Guinea-Bissau,4/29/20,205,1,132,0,23
Guinea-Bissau,4/30/20,205,1,0,0,24
Guinea-Bissau,5/1/20,257,1,52,0,25
Guinea-Bissau,5/2/20,257,1,0,0,26
Guinea-Bissau,5/3/20,257,1,0,0,27
Guinea-Bissau,5/4/20,413,1,156,0,28
Guinea-Bissau,5/5/20,413,1,0,0,29
Guinea-Bissau,5/6/20,475,2,62,1,30
Guinea-Bissau,5/7/20,564,2,89,0,31
Guinea-Bissau,5/8/20,594,2,30,0,32
Guinea-Bissau,5/9/20,641,3,47,1,33
Guinea-Bissau,5/10/20,726,3,85,0,34
Guinea-Bissau,5/11/20,761,3,35,0,35
Guinea-Bissau,5/12/20,820,3,59,0,36
Guinea-Bissau,5/13/20,836,3,16,0,37
Guinea-Bissau,5/14/20,913,3,77,0,38
Guinea-Bissau,5/15/20,913,3,0,0,39
Guinea-Bissau,5/16/20,969,4,56,1,40
Guinea-Bissau,5/17/20,990,4,21,0,41
Guinea-Bissau,5/18/20,1032,4,42,0,42
Guinea-Bissau,5/19/20,1038,6,6,2,43
Guinea-Bissau,5/20/20,1089,6,51,0,44
Guinea-Bissau,5/21/20,1109,6,20,0,45
Guinea-Bissau,5/22/20,1114,6,5,0,46
Guinea-Bissau,5/23/20,1114,6,0,0,47
Guinea-Bissau,5/24/20,1114,6,0,0,48
Guinea-Bissau,5/25/20,1178,7,64,1,49
Guinea-Bissau,5/26/20,1178,7,0,0,50
Guinea-Bissau,5/27/20,1195,7,17,0,51
Guinea-Bissau,5/28/20,1195,8,0,1,52
Guinea-Bissau,5/29/20,1256,8,61,0,53
Guinea-Bissau,5/30/20,1256,8,0,0,54
Guinea-Bissau,5/31/20,1256,8,0,0,55
Guinea-Bissau,6/1/20,1339,8,83,0,56
Guinea-Bissau,6/2/20,1339,8,0,0,57
Guinea-Bissau,6/3/20,1339,8,0,0,58
Guinea-Bissau,6/4/20,1339,8,0,0,59
Guinea-Bissau,6/5/20,1368,12,29,4,60
Guinea-Bissau,6/6/20,1368,12,0,0,61
Guinea-Bissau,6/7/20,1368,12,0,0,62
Guinea-Bissau,6/8/20,1389,12,21,0,63
Guinea-Bissau,6/9/20,1389,12,0,0,64
Guinea-Bissau,6/10/20,1389,12,0,0,65
Guinea-Bissau,6/11/20,1389,12,0,0,66
Guinea-Bissau,6/12/20,1460,15,71,3,67
Guinea-Bissau,6/13/20,1460,15,0,0,68
Guinea-Bissau,6/14/20,1460,15,0,0,69
Guinea-Bissau,6/15/20,1492,15,32,0,70
Guinea-Bissau,6/16/20,1492,15,0,0,71
Guinea-Bissau,6/17/20,1492,15,0,0,72
Guinea-Bissau,6/18/20,1492,15,0,0,73
Guinea-Bissau,6/19/20,1541,17,49,2,74
Guinea-Bissau,6/20/20,1541,17,0,0,75
Guinea-Bissau,6/21/20,1541,17,0,0,76
Guinea-Bissau,6/22/20,1556,19,15,2,77
Guinea-Bissau,6/23/20,1556,19,0,0,78
Guinea-Bissau,6/24/20,1556,19,0,0,79
Guinea-Bissau,6/25/20,1556,19,0,0,80
Guinea-Bissau,6/26/20,1614,22,58,3,81
Guinea-Bissau,6/27/20,1614,22,0,0,82
Guinea-Bissau,6/28/20,1614,22,0,0,83
Guinea-Bissau,6/29/20,1654,24,40,2,84
Guinea-Bissau,6/30/20,1654,24,0,0,85
Guinea-Bissau,7/1/20,1654,24,0,0,86
Guinea-Bissau,7/2/20,1654,24,0,0,87
Guinea-Bissau,7/3/20,1765,25,111,1,88
Guinea-Bissau,7/4/20,1765,25,0,0,89
Guinea-Bissau,7/5/20,1765,25,0,0,90
Guinea-Bissau,7/6/20,1790,25,25,0,91
Guinea-Bissau,7/7/20,1790,25,0,0,92
Guinea-Bissau,7/8/20,1790,25,0,0,93
Guinea-Bissau,7/9/20,1790,25,0,0,94
Guinea-Bissau,7/10/20,1842,26,52,1,95
Guinea-Bissau,7/11/20,1842,26,0,0,96
Guinea-Bissau,7/12/20,1842,26,0,0,97
Guinea-Bissau,7/13/20,1842,26,0,0,98
Guinea-Bissau,7/14/20,1842,26,0,0,99
Guinea-Bissau,7/15/20,1842,26,0,0,100
Guinea-Bissau,7/16/20,1902,26,60,0,101
Guinea-Bissau,7/17/20,1927,26,25,0,102
Guinea-Bissau,7/18/20,1949,26,22,0,103
Guinea-Bissau,7/19/20,1949,26,0,0,104
Guinea-Bissau,7/20/20,1949,26,0,0,105
Guinea-Bissau,7/21/20,1954,26,5,0,106
Guinea-Bissau,7/22/20,1954,26,0,0,107
Guinea-Bissau,7/23/20,1954,26,0,0,108
Guinea-Bissau,7/24/20,1954,26,0,0,109
Guinea-Bissau,7/25/20,1954,26,0,0,110
Guinea-Bissau,7/26/20,1954,26,0,0,111
Guinea-Bissau,7/27/20,1954,26,0,0,112
Guinea-Bissau,7/28/20,1954,26,0,0,113
Guinea-Bissau,7/29/20,1954,26,0,0,114
Guinea-Bissau,7/30/20,1981,26,27,0,115
Guinea-Bissau,7/31/20,1981,26,0,0,116
Guinea-Bissau,8/1/20,1981,27,0,1,117
Guinea-Bissau,8/2/20,1981,27,0,0,118
Guinea-Bissau,8/3/20,1981,27,0,0,119
Guinea-Bissau,8/4/20,1981,27,0,0,120
Guinea-Bissau,8/5/20,2032,27,51,0,121
Guinea-Bissau,8/6/20,2032,27,0,0,122
Guinea-Bissau,8/7/20,2032,27,0,0,123
Guinea-Bissau,8/8/20,2052,29,20,2,124
Guinea-Bissau,8/9/20,2052,29,0,0,125
Guinea-Bissau,8/10/20,2052,29,0,0,126
Guinea-Bissau,8/11/20,2088,29,36,0,127
Guinea-Bissau,8/12/20,2088,29,0,0,128
Guinea-Bissau,8/13/20,2088,29,0,0,129
Guinea-Bissau,8/14/20,2088,29,0,0,130
Guinea-Bissau,8/15/20,2117,33,29,4,131
Guinea-Bissau,8/16/20,2117,33,0,0,132
Guinea-Bissau,8/17/20,2117,33,0,0,133
Guinea-Bissau,8/18/20,2117,33,0,0,134
Guinea-Bissau,8/19/20,2117,33,0,0,135
Guinea-Bissau,8/20/20,2149,33,32,0,136
Guinea-Bissau,8/21/20,2149,33,0,0,137
Guinea-Bissau,8/22/20,2149,33,0,0,138
Guinea-Bissau,8/23/20,2149,33,0,0,139
Guinea-Bissau,8/24/20,2149,33,0,0,140
Guinea-Bissau,8/25/20,2149,33,0,0,141
Guinea-Bissau,8/26/20,2205,34,56,1,142
Guinea-Bissau,8/27/20,2205,34,0,0,143
Guinea-Bissau,8/28/20,2205,34,0,0,144
Guinea-Bissau,8/29/20,2205,34,0,0,145
Guinea-Bissau,8/30/20,2205,34,0,0,146
Guinea-Bissau,8/31/20,2205,34,0,0,147
Guinea-Bissau,9/1/20,2205,34,0,0,148
Guinea-Bissau,9/2/20,2205,34,0,0,149
Guinea-Bissau,9/3/20,2205,34,0,0,150
Guinea-Bissau,9/4/20,2245,38,40,4,151
Guinea-Bissau,9/5/20,2245,38,0,0,152
Guinea-Bissau,9/6/20,2245,38,0,0,153
Guinea-Bissau,9/7/20,2245,38,0,0,154
Guinea-Bissau,9/8/20,2245,38,0,0,155
Guinea-Bissau,9/9/20,2245,38,0,0,156
Guinea-Bissau,9/10/20,2275,39,30,1,157
Guinea-Bissau,9/11/20,2275,39,0,0,158
Guinea-Bissau,9/12/20,2275,39,0,0,159
Guinea-Bissau,9/13/20,2275,39,0,0,160
Guinea-Bissau,9/14/20,2275,39,0,0,161
