country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Dominica,8/24/20,20,0,1,0,1
Dominica,8/25/20,20,0,0,0,2
Dominica,8/26/20,20,0,0,0,3
Dominica,8/27/20,20,0,0,0,4
Dominica,8/28/20,20,0,0,0,5
Dominica,8/29/20,20,0,0,0,6
Dominica,8/30/20,20,0,0,0,7
Dominica,8/31/20,20,0,0,0,8
Dominica,9/1/20,20,0,0,0,9
Dominica,9/2/20,20,0,0,0,10
Dominica,9/3/20,20,0,0,0,11
Dominica,9/4/20,20,0,0,0,12
Dominica,9/5/20,22,0,2,0,13
Dominica,9/6/20,22,0,0,0,14
Dominica,9/7/20,22,0,0,0,15
Dominica,9/8/20,22,0,0,0,16
Dominica,9/9/20,22,0,0,0,17
Dominica,9/10/20,24,0,2,0,18
Dominica,9/11/20,24,0,0,0,19
Dominica,9/12/20,24,0,0,0,20
Dominica,9/13/20,24,0,0,0,21
Dominica,9/14/20,24,0,0,0,22
Dominica,9/15/20,24,0,0,0,23
Dominica,9/16/20,24,0,0,0,24
Dominica,9/17/20,24,0,0,0,25
Dominica,9/18/20,24,0,0,0,26
Dominica,9/19/20,24,0,0,0,27
