country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Congo (Brazzaville),4/2/20,22,2,3,2,1
Congo (Brazzaville),4/3/20,22,2,0,0,2
Congo (Brazzaville),4/4/20,22,2,0,0,3
Congo (Brazzaville),4/5/20,45,5,23,3,4
Congo (Brazzaville),4/6/20,45,5,0,0,5
Congo (Brazzaville),4/7/20,45,5,0,0,6
Congo (Brazzaville),4/8/20,45,5,0,0,7
Congo (Brazzaville),4/9/20,60,5,15,0,8
Congo (Brazzaville),4/10/20,60,5,0,0,9
Congo (Brazzaville),4/11/20,60,5,0,0,10
Congo (Brazzaville),4/12/20,60,5,0,0,11
Congo (Brazzaville),4/13/20,60,5,0,0,12
Congo (Brazzaville),4/14/20,60,5,0,0,13
Congo (Brazzaville),4/15/20,117,5,57,0,14
Congo (Brazzaville),4/16/20,117,5,0,0,15
Congo (Brazzaville),4/17/20,143,6,26,1,16
Congo (Brazzaville),4/18/20,143,6,0,0,17
Congo (Brazzaville),4/19/20,143,6,0,0,18
Congo (Brazzaville),4/20/20,160,6,17,0,19
Congo (Brazzaville),4/21/20,165,6,5,0,20
Congo (Brazzaville),4/22/20,186,6,21,0,21
Congo (Brazzaville),4/23/20,186,6,0,0,22
Congo (Brazzaville),4/24/20,200,6,14,0,23
Congo (Brazzaville),4/25/20,200,6,0,0,24
Congo (Brazzaville),4/26/20,200,6,0,0,25
Congo (Brazzaville),4/27/20,200,6,0,0,26
Congo (Brazzaville),4/28/20,207,8,7,2,27
Congo (Brazzaville),4/29/20,207,8,0,0,28
Congo (Brazzaville),4/30/20,220,9,13,1,29
Congo (Brazzaville),5/1/20,229,9,9,0,30
Congo (Brazzaville),5/2/20,229,9,0,0,31
Congo (Brazzaville),5/3/20,229,9,0,0,32
Congo (Brazzaville),5/4/20,236,10,7,1,33
Congo (Brazzaville),5/5/20,236,10,0,0,34
Congo (Brazzaville),5/6/20,264,10,28,0,35
Congo (Brazzaville),5/7/20,264,10,0,0,36
Congo (Brazzaville),5/8/20,274,10,10,0,37
Congo (Brazzaville),5/9/20,274,10,0,0,38
Congo (Brazzaville),5/10/20,274,10,0,0,39
Congo (Brazzaville),5/11/20,333,11,59,1,40
Congo (Brazzaville),5/12/20,333,11,0,0,41
Congo (Brazzaville),5/13/20,333,11,0,0,42
Congo (Brazzaville),5/14/20,391,15,58,4,43
Congo (Brazzaville),5/15/20,391,15,0,0,44
Congo (Brazzaville),5/16/20,391,15,0,0,45
Congo (Brazzaville),5/17/20,391,15,0,0,46
Congo (Brazzaville),5/18/20,412,15,21,0,47
Congo (Brazzaville),5/19/20,420,15,8,0,48
Congo (Brazzaville),5/20/20,420,15,0,0,49
Congo (Brazzaville),5/21/20,469,16,49,1,50
Congo (Brazzaville),5/22/20,469,16,0,0,51
Congo (Brazzaville),5/23/20,487,16,18,0,52
Congo (Brazzaville),5/24/20,487,16,0,0,53
Congo (Brazzaville),5/25/20,487,16,0,0,54
Congo (Brazzaville),5/26/20,487,16,0,0,55
Congo (Brazzaville),5/27/20,571,19,84,3,56
Congo (Brazzaville),5/28/20,571,19,0,0,57
Congo (Brazzaville),5/29/20,571,19,0,0,58
Congo (Brazzaville),5/30/20,571,19,0,0,59
Congo (Brazzaville),5/31/20,611,20,40,1,60
Congo (Brazzaville),6/1/20,611,20,0,0,61
Congo (Brazzaville),6/2/20,611,20,0,0,62
Congo (Brazzaville),6/3/20,611,20,0,0,63
Congo (Brazzaville),6/4/20,611,20,0,0,64
Congo (Brazzaville),6/5/20,635,20,24,0,65
Congo (Brazzaville),6/6/20,683,22,48,2,66
