country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Cyprus,3/14/20,26,0,12,0,1
Cyprus,3/15/20,26,0,0,0,2
Cyprus,3/16/20,33,0,7,0,3
Cyprus,3/17/20,46,0,13,0,4
Cyprus,3/18/20,49,0,3,0,5
Cyprus,3/19/20,67,0,18,0,6
Cyprus,3/20/20,67,0,0,0,7
Cyprus,3/21/20,84,0,17,0,8
Cyprus,3/22/20,95,1,11,1,9
Cyprus,3/23/20,116,1,21,0,10
Cyprus,3/24/20,124,3,8,2,11
Cyprus,3/25/20,132,3,8,0,12
Cyprus,3/26/20,146,3,14,0,13
Cyprus,3/27/20,162,5,16,2,14
Cyprus,3/28/20,179,5,17,0,15
Cyprus,3/29/20,214,5,35,0,16
Cyprus,3/30/20,230,7,16,2,17
Cyprus,3/31/20,262,8,32,1,18
Cyprus,4/1/20,320,9,58,1,19
Cyprus,4/2/20,356,10,36,1,20
Cyprus,4/3/20,396,11,40,1,21
Cyprus,4/4/20,426,11,30,0,22
Cyprus,4/5/20,446,9,20,-2,23
Cyprus,4/6/20,465,9,19,0,24
Cyprus,4/7/20,494,9,29,0,25
Cyprus,4/8/20,526,9,32,0,26
Cyprus,4/9/20,564,10,38,1,27
Cyprus,4/10/20,595,10,31,0,28
Cyprus,4/11/20,616,10,21,0,29
Cyprus,4/12/20,633,11,17,1,30
Cyprus,4/13/20,662,12,29,1,31
Cyprus,4/14/20,695,12,33,0,32
Cyprus,4/15/20,715,12,20,0,33
Cyprus,4/16/20,735,12,20,0,34
Cyprus,4/17/20,750,12,15,0,35
Cyprus,4/18/20,761,12,11,0,36
Cyprus,4/19/20,767,12,6,0,37
Cyprus,4/20/20,772,12,5,0,38
Cyprus,4/21/20,784,12,12,0,39
Cyprus,4/22/20,790,13,6,1,40
Cyprus,4/23/20,795,13,5,0,41
Cyprus,4/24/20,804,14,9,1,42
Cyprus,4/25/20,810,14,6,0,43
Cyprus,4/26/20,817,14,7,0,44
Cyprus,4/27/20,822,15,5,1,45
Cyprus,4/28/20,837,15,15,0,46
Cyprus,4/29/20,843,15,6,0,47
Cyprus,4/30/20,850,15,7,0,48
Cyprus,5/1/20,857,15,7,0,49
Cyprus,5/2/20,864,15,7,0,50
Cyprus,5/3/20,872,15,8,0,51
Cyprus,5/4/20,874,15,2,0,52
Cyprus,5/5/20,878,15,4,0,53
Cyprus,5/6/20,883,15,5,0,54
Cyprus,5/7/20,889,15,6,0,55
Cyprus,5/8/20,891,15,2,0,56
Cyprus,5/9/20,892,15,1,0,57
Cyprus,5/10/20,898,16,6,1,58
Cyprus,5/11/20,901,16,3,0,59
Cyprus,5/12/20,903,16,2,0,60
Cyprus,5/13/20,905,17,2,1,61
Cyprus,5/14/20,907,17,2,0,62
Cyprus,5/15/20,910,17,3,0,63
Cyprus,5/16/20,914,17,4,0,64
Cyprus,5/17/20,916,17,2,0,65
Cyprus,5/18/20,917,17,1,0,66
Cyprus,5/19/20,918,17,1,0,67
Cyprus,5/20/20,922,17,4,0,68
Cyprus,5/21/20,923,17,1,0,69
Cyprus,5/22/20,927,17,4,0,70
Cyprus,5/23/20,927,17,0,0,71
Cyprus,5/24/20,935,17,8,0,72
Cyprus,5/25/20,937,17,2,0,73
Cyprus,5/26/20,939,17,2,0,74
Cyprus,5/27/20,939,17,0,0,75
Cyprus,5/28/20,941,17,2,0,76
Cyprus,5/29/20,942,17,1,0,77
Cyprus,5/30/20,944,17,2,0,78
Cyprus,5/31/20,944,17,0,0,79
Cyprus,6/1/20,949,17,5,0,80
Cyprus,6/2/20,952,17,3,0,81
Cyprus,6/3/20,958,17,6,0,82
Cyprus,6/4/20,958,17,0,0,83
Cyprus,6/5/20,960,17,2,0,84
Cyprus,6/6/20,960,18,0,1,85
Cyprus,6/7/20,964,18,4,0,86
Cyprus,6/8/20,970,18,6,0,87
Cyprus,6/9/20,972,18,2,0,88
Cyprus,6/10/20,974,18,2,0,89
Cyprus,6/11/20,975,18,1,0,90
Cyprus,6/12/20,980,18,5,0,91
Cyprus,6/13/20,980,18,0,0,92
Cyprus,6/14/20,983,18,3,0,93
Cyprus,6/15/20,985,18,2,0,94
Cyprus,6/16/20,985,18,0,0,95
Cyprus,6/17/20,985,18,0,0,96
Cyprus,6/18/20,985,19,0,1,97
Cyprus,6/19/20,985,19,0,0,98
Cyprus,6/20/20,985,19,0,0,99
Cyprus,6/21/20,986,19,1,0,100
Cyprus,6/22/20,988,19,2,0,101
Cyprus,6/23/20,990,19,2,0,102
Cyprus,6/24/20,991,19,1,0,103
Cyprus,6/25/20,992,19,1,0,104
Cyprus,6/26/20,992,19,0,0,105
Cyprus,6/27/20,994,19,2,0,106
Cyprus,6/28/20,994,19,0,0,107
Cyprus,6/29/20,996,19,2,0,108
Cyprus,6/30/20,998,19,2,0,109
Cyprus,7/1/20,999,19,1,0,110
Cyprus,7/2/20,999,19,0,0,111
Cyprus,7/3/20,999,19,0,0,112
Cyprus,7/4/20,1002,19,3,0,113
Cyprus,7/5/20,1003,19,1,0,114
Cyprus,7/6/20,1004,19,1,0,115
Cyprus,7/7/20,1005,19,1,0,116
Cyprus,7/8/20,1008,19,3,0,117
Cyprus,7/9/20,1010,19,2,0,118
Cyprus,7/10/20,1013,19,3,0,119
Cyprus,7/11/20,1014,19,1,0,120
Cyprus,7/12/20,1021,19,7,0,121
Cyprus,7/13/20,1022,19,1,0,122
Cyprus,7/14/20,1023,19,1,0,123
Cyprus,7/15/20,1025,19,2,0,124
Cyprus,7/16/20,1031,19,6,0,125
Cyprus,7/17/20,1033,19,2,0,126
Cyprus,7/18/20,1037,19,4,0,127
Cyprus,7/19/20,1038,19,1,0,128
Cyprus,7/20/20,1038,19,0,0,129
Cyprus,7/21/20,1040,19,2,0,130
Cyprus,7/22/20,1040,19,0,0,131
Cyprus,7/23/20,1045,19,5,0,132
Cyprus,7/24/20,1047,19,2,0,133
Cyprus,7/25/20,1053,19,6,0,134
Cyprus,7/26/20,1057,19,4,0,135
Cyprus,7/27/20,1060,19,3,0,136
Cyprus,7/28/20,1067,19,7,0,137
Cyprus,7/29/20,1080,19,13,0,138
Cyprus,7/30/20,1090,19,10,0,139
Cyprus,7/31/20,1114,19,24,0,140
Cyprus,8/1/20,1124,19,10,0,141
Cyprus,8/2/20,1150,19,26,0,142
Cyprus,8/3/20,1155,19,5,0,143
Cyprus,8/4/20,1180,19,25,0,144
Cyprus,8/5/20,1195,19,15,0,145
Cyprus,8/6/20,1208,19,13,0,146
Cyprus,8/7/20,1222,19,14,0,147
Cyprus,8/8/20,1233,19,11,0,148
Cyprus,8/9/20,1242,19,9,0,149
Cyprus,8/10/20,1252,19,10,0,150
Cyprus,8/11/20,1277,20,25,1,151
Cyprus,8/12/20,1291,20,14,0,152
Cyprus,8/13/20,1305,20,14,0,153
Cyprus,8/14/20,1318,20,13,0,154
Cyprus,8/15/20,1332,20,14,0,155
Cyprus,8/16/20,1339,20,7,0,156
Cyprus,8/17/20,1351,20,12,0,157
Cyprus,8/18/20,1359,20,8,0,158
Cyprus,8/19/20,1385,20,26,0,159
Cyprus,8/20/20,1395,20,10,0,160
Cyprus,8/21/20,1406,20,11,0,161
Cyprus,8/22/20,1417,20,11,0,162
Cyprus,8/23/20,1421,20,4,0,163
Cyprus,8/24/20,1451,20,30,0,164
Cyprus,8/25/20,1474,20,23,0,165
Cyprus,8/26/20,1484,20,10,0,166
Cyprus,8/27/20,1467,20,-17,0,167
Cyprus,8/28/20,1481,20,14,0,168
Cyprus,8/29/20,1483,20,2,0,169
Cyprus,8/30/20,1487,20,4,0,170
Cyprus,8/31/20,1488,20,1,0,171
Cyprus,9/1/20,1490,21,2,1,172
Cyprus,9/2/20,1495,21,5,0,173
Cyprus,9/3/20,1498,21,3,0,174
Cyprus,9/4/20,1502,21,4,0,175
Cyprus,9/5/20,1507,21,5,0,176
Cyprus,9/6/20,1509,21,2,0,177
Cyprus,9/7/20,1510,22,1,1,178
Cyprus,9/8/20,1511,22,1,0,179
Cyprus,9/9/20,1514,22,3,0,180
Cyprus,9/10/20,1517,22,3,0,181
Cyprus,9/11/20,1520,22,3,0,182
Cyprus,9/12/20,1523,22,3,0,183
Cyprus,9/13/20,1526,22,3,0,184
Cyprus,9/14/20,1534,22,8,0,185
Cyprus,9/15/20,1540,22,6,0,186
Cyprus,9/16/20,1548,22,8,0,187
Cyprus,9/17/20,1558,22,10,0,188
Cyprus,9/18/20,1565,22,7,0,189
Cyprus,9/19/20,1590,22,25,0,190
Cyprus,9/20/20,1600,22,10,0,191
Cyprus,9/21/20,1603,22,3,0,192
