country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Trinidad and Tobago,3/21/20,49,0,40,0,1
Trinidad and Tobago,3/22/20,50,0,1,0,2
Trinidad and Tobago,3/23/20,51,0,1,0,3
Trinidad and Tobago,3/24/20,57,0,6,0,4
Trinidad and Tobago,3/25/20,60,1,3,1,5
Trinidad and Tobago,3/26/20,65,1,5,0,6
Trinidad and Tobago,3/27/20,66,2,1,1,7
Trinidad and Tobago,3/28/20,74,3,8,1,8
Trinidad and Tobago,3/29/20,78,3,4,0,9
Trinidad and Tobago,3/30/20,82,3,4,0,10
Trinidad and Tobago,3/31/20,87,3,5,0,11
Trinidad and Tobago,4/1/20,90,5,3,2,12
Trinidad and Tobago,4/2/20,94,5,4,0,13
Trinidad and Tobago,4/3/20,98,6,4,1,14
Trinidad and Tobago,4/4/20,103,6,5,0,15
Trinidad and Tobago,4/5/20,104,7,1,1,16
Trinidad and Tobago,4/6/20,105,8,1,1,17
Trinidad and Tobago,4/7/20,107,8,2,0,18
Trinidad and Tobago,4/8/20,107,8,0,0,19
Trinidad and Tobago,4/9/20,109,8,2,0,20
Trinidad and Tobago,4/10/20,109,8,0,0,21
Trinidad and Tobago,4/11/20,112,8,3,0,22
Trinidad and Tobago,4/12/20,113,8,1,0,23
Trinidad and Tobago,4/13/20,113,8,0,0,24
Trinidad and Tobago,4/14/20,113,8,0,0,25
Trinidad and Tobago,4/15/20,114,8,1,0,26
Trinidad and Tobago,4/16/20,114,8,0,0,27
Trinidad and Tobago,4/17/20,114,8,0,0,28
Trinidad and Tobago,4/18/20,114,8,0,0,29
Trinidad and Tobago,4/19/20,114,8,0,0,30
Trinidad and Tobago,4/20/20,114,8,0,0,31
Trinidad and Tobago,4/21/20,115,8,1,0,32
Trinidad and Tobago,4/22/20,115,8,0,0,33
Trinidad and Tobago,4/23/20,115,8,0,0,34
Trinidad and Tobago,4/24/20,115,8,0,0,35
Trinidad and Tobago,4/25/20,115,8,0,0,36
Trinidad and Tobago,4/26/20,115,8,0,0,37
Trinidad and Tobago,4/27/20,116,8,1,0,38
Trinidad and Tobago,4/28/20,116,8,0,0,39
Trinidad and Tobago,4/29/20,116,8,0,0,40
Trinidad and Tobago,4/30/20,116,8,0,0,41
Trinidad and Tobago,5/1/20,116,8,0,0,42
Trinidad and Tobago,5/2/20,116,8,0,0,43
Trinidad and Tobago,5/3/20,116,8,0,0,44
Trinidad and Tobago,5/4/20,116,8,0,0,45
Trinidad and Tobago,5/5/20,116,8,0,0,46
Trinidad and Tobago,5/6/20,116,8,0,0,47
Trinidad and Tobago,5/7/20,116,8,0,0,48
Trinidad and Tobago,5/8/20,116,8,0,0,49
Trinidad and Tobago,5/9/20,116,8,0,0,50
Trinidad and Tobago,5/10/20,116,8,0,0,51
Trinidad and Tobago,5/11/20,116,8,0,0,52
Trinidad and Tobago,5/12/20,116,8,0,0,53
Trinidad and Tobago,5/13/20,116,8,0,0,54
Trinidad and Tobago,5/14/20,116,8,0,0,55
Trinidad and Tobago,5/15/20,116,8,0,0,56
Trinidad and Tobago,5/16/20,116,8,0,0,57
Trinidad and Tobago,5/17/20,116,8,0,0,58
Trinidad and Tobago,5/18/20,116,8,0,0,59
Trinidad and Tobago,5/19/20,116,8,0,0,60
Trinidad and Tobago,5/20/20,116,8,0,0,61
Trinidad and Tobago,5/21/20,116,8,0,0,62
Trinidad and Tobago,5/22/20,116,8,0,0,63
Trinidad and Tobago,5/23/20,116,8,0,0,64
Trinidad and Tobago,5/24/20,116,8,0,0,65
Trinidad and Tobago,5/25/20,116,8,0,0,66
Trinidad and Tobago,5/26/20,116,8,0,0,67
Trinidad and Tobago,5/27/20,116,8,0,0,68
Trinidad and Tobago,5/28/20,116,8,0,0,69
Trinidad and Tobago,5/29/20,116,8,0,0,70
Trinidad and Tobago,5/30/20,117,8,1,0,71
Trinidad and Tobago,5/31/20,117,8,0,0,72
Trinidad and Tobago,6/1/20,117,8,0,0,73
Trinidad and Tobago,6/2/20,117,8,0,0,74
Trinidad and Tobago,6/3/20,117,8,0,0,75
Trinidad and Tobago,6/4/20,117,8,0,0,76
Trinidad and Tobago,6/5/20,117,8,0,0,77
Trinidad and Tobago,6/6/20,117,8,0,0,78
Trinidad and Tobago,6/7/20,117,8,0,0,79
Trinidad and Tobago,6/8/20,117,8,0,0,80
Trinidad and Tobago,6/9/20,117,8,0,0,81
Trinidad and Tobago,6/10/20,117,8,0,0,82
Trinidad and Tobago,6/11/20,117,8,0,0,83
Trinidad and Tobago,6/12/20,117,8,0,0,84
Trinidad and Tobago,6/13/20,117,8,0,0,85
Trinidad and Tobago,6/14/20,123,8,6,0,86
Trinidad and Tobago,6/15/20,123,8,0,0,87
Trinidad and Tobago,6/16/20,123,8,0,0,88
Trinidad and Tobago,6/17/20,123,8,0,0,89
Trinidad and Tobago,6/18/20,123,8,0,0,90
Trinidad and Tobago,6/19/20,123,8,0,0,91
Trinidad and Tobago,6/20/20,123,8,0,0,92
Trinidad and Tobago,6/21/20,123,8,0,0,93
Trinidad and Tobago,6/22/20,123,8,0,0,94
Trinidad and Tobago,6/23/20,123,8,0,0,95
Trinidad and Tobago,6/24/20,123,8,0,0,96
Trinidad and Tobago,6/25/20,123,8,0,0,97
Trinidad and Tobago,6/26/20,124,8,1,0,98
Trinidad and Tobago,6/27/20,126,8,2,0,99
Trinidad and Tobago,6/28/20,126,8,0,0,100
Trinidad and Tobago,6/29/20,126,8,0,0,101
Trinidad and Tobago,6/30/20,130,8,4,0,102
Trinidad and Tobago,7/1/20,130,8,0,0,103
Trinidad and Tobago,7/2/20,130,8,0,0,104
Trinidad and Tobago,7/3/20,130,8,0,0,105
Trinidad and Tobago,7/4/20,130,8,0,0,106
Trinidad and Tobago,7/5/20,133,8,3,0,107
Trinidad and Tobago,7/6/20,133,8,0,0,108
Trinidad and Tobago,7/7/20,133,8,0,0,109
Trinidad and Tobago,7/8/20,133,8,0,0,110
Trinidad and Tobago,7/9/20,133,8,0,0,111
Trinidad and Tobago,7/10/20,133,8,0,0,112
Trinidad and Tobago,7/11/20,133,8,0,0,113
Trinidad and Tobago,7/12/20,133,8,0,0,114
Trinidad and Tobago,7/13/20,133,8,0,0,115
Trinidad and Tobago,7/14/20,133,8,0,0,116
Trinidad and Tobago,7/15/20,133,8,0,0,117
Trinidad and Tobago,7/16/20,133,8,0,0,118
Trinidad and Tobago,7/17/20,136,8,3,0,119
Trinidad and Tobago,7/18/20,137,8,1,0,120
Trinidad and Tobago,7/19/20,137,8,0,0,121
Trinidad and Tobago,7/20/20,137,8,0,0,122
Trinidad and Tobago,7/21/20,139,8,2,0,123
Trinidad and Tobago,7/22/20,141,8,2,0,124
Trinidad and Tobago,7/23/20,141,8,0,0,125
Trinidad and Tobago,7/24/20,142,8,1,0,126
Trinidad and Tobago,7/25/20,147,8,5,0,127
Trinidad and Tobago,7/26/20,147,8,0,0,128
Trinidad and Tobago,7/27/20,148,8,1,0,129
Trinidad and Tobago,7/28/20,153,8,5,0,130
Trinidad and Tobago,7/29/20,156,8,3,0,131
Trinidad and Tobago,7/30/20,164,8,8,0,132
Trinidad and Tobago,7/31/20,169,8,5,0,133
Trinidad and Tobago,8/1/20,173,8,4,0,134
Trinidad and Tobago,8/2/20,182,8,9,0,135
Trinidad and Tobago,8/3/20,182,8,0,0,136
Trinidad and Tobago,8/4/20,194,8,12,0,137
Trinidad and Tobago,8/5/20,199,8,5,0,138
Trinidad and Tobago,8/6/20,210,8,11,0,139
Trinidad and Tobago,8/7/20,225,8,15,0,140
Trinidad and Tobago,8/8/20,275,8,50,0,141
Trinidad and Tobago,8/9/20,279,8,4,0,142
Trinidad and Tobago,8/10/20,281,8,2,0,143
Trinidad and Tobago,8/11/20,300,8,19,0,144
Trinidad and Tobago,8/12/20,326,8,26,0,145
Trinidad and Tobago,8/13/20,404,8,78,0,146
Trinidad and Tobago,8/14/20,426,10,22,2,147
Trinidad and Tobago,8/15/20,497,10,71,0,148
Trinidad and Tobago,8/16/20,552,11,55,1,149
Trinidad and Tobago,8/17/20,588,12,36,1,150
Trinidad and Tobago,8/18/20,629,12,41,0,151
Trinidad and Tobago,8/19/20,686,12,57,0,152
Trinidad and Tobago,8/20/20,767,12,81,0,153
Trinidad and Tobago,8/21/20,864,12,97,0,154
Trinidad and Tobago,8/22/20,930,13,66,1,155
Trinidad and Tobago,8/23/20,1007,14,77,1,156
Trinidad and Tobago,8/24/20,1099,15,92,1,157
Trinidad and Tobago,8/25/20,1252,15,153,0,158
Trinidad and Tobago,8/26/20,1411,15,159,0,159
Trinidad and Tobago,8/27/20,1429,15,18,0,160
Trinidad and Tobago,8/28/20,1554,19,125,4,161
Trinidad and Tobago,8/29/20,1645,19,91,0,162
Trinidad and Tobago,8/30/20,1683,21,38,2,163
Trinidad and Tobago,8/31/20,1759,22,76,1,164
Trinidad and Tobago,9/1/20,1797,27,38,5,165
Trinidad and Tobago,9/2/20,1920,28,123,1,166
Trinidad and Tobago,9/3/20,1984,29,64,1,167
Trinidad and Tobago,9/4/20,2040,31,56,2,168
Trinidad and Tobago,9/5/20,2230,33,190,2,169
Trinidad and Tobago,9/6/20,2250,34,20,1,170
Trinidad and Tobago,9/7/20,2277,37,27,3,171
Trinidad and Tobago,9/8/20,2391,39,114,2,172
Trinidad and Tobago,9/9/20,2588,39,197,0,173
Trinidad and Tobago,9/10/20,2698,43,110,4,174
Trinidad and Tobago,9/11/20,2825,50,127,7,175
Trinidad and Tobago,9/12/20,2993,51,168,1,176
Trinidad and Tobago,9/13/20,3042,53,49,2,177
Trinidad and Tobago,9/14/20,3141,55,99,2,178
Trinidad and Tobago,9/15/20,3223,56,82,1,179
Trinidad and Tobago,9/16/20,3327,58,104,2,180
Trinidad and Tobago,9/17/20,3434,60,107,2,181
Trinidad and Tobago,9/18/20,3651,60,217,0,182
Trinidad and Tobago,9/19/20,3853,61,202,1,183
Trinidad and Tobago,9/20/20,3901,65,48,4,184
Trinidad and Tobago,9/21/20,3945,65,44,0,185
