country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Romania,3/10/20,25,0,10,0,1
Romania,3/11/20,45,0,20,0,2
Romania,3/12/20,49,0,4,0,3
Romania,3/13/20,89,0,40,0,4
Romania,3/14/20,123,0,34,0,5
Romania,3/15/20,131,0,8,0,6
Romania,3/16/20,158,0,27,0,7
Romania,3/17/20,184,0,26,0,8
Romania,3/18/20,260,0,76,0,9
Romania,3/19/20,277,0,17,0,10
Romania,3/20/20,308,0,31,0,11
Romania,3/21/20,367,0,59,0,12
Romania,3/22/20,433,3,66,3,13
Romania,3/23/20,576,7,143,4,14
Romania,3/24/20,794,11,218,4,15
Romania,3/25/20,906,17,112,6,16
Romania,3/26/20,1029,23,123,6,17
Romania,3/27/20,1292,26,263,3,18
Romania,3/28/20,1452,37,160,11,19
Romania,3/29/20,1815,43,363,6,20
Romania,3/30/20,2109,65,294,22,21
Romania,3/31/20,2245,82,136,17,22
Romania,4/1/20,2460,92,215,10,23
Romania,4/2/20,2738,115,278,23,24
Romania,4/3/20,3183,133,445,18,25
Romania,4/4/20,3613,146,430,13,26
Romania,4/5/20,3864,151,251,5,27
Romania,4/6/20,4057,176,193,25,28
Romania,4/7/20,4417,197,360,21,29
Romania,4/8/20,4761,220,344,23,30
Romania,4/9/20,5202,248,441,28,31
Romania,4/10/20,5467,270,265,22,32
Romania,4/11/20,5990,291,523,21,33
Romania,4/12/20,6300,316,310,25,34
Romania,4/13/20,6633,331,333,15,35
Romania,4/14/20,6879,351,246,20,36
Romania,4/15/20,7216,372,337,21,37
Romania,4/16/20,7707,392,491,20,38
Romania,4/17/20,8067,411,360,19,39
Romania,4/18/20,8418,421,351,10,40
Romania,4/19/20,8746,451,328,30,41
Romania,4/20/20,8936,478,190,27,42
Romania,4/21/20,9242,498,306,20,43
Romania,4/22/20,9710,524,468,26,44
Romania,4/23/20,10096,545,386,21,45
Romania,4/24/20,10417,567,321,22,46
Romania,4/25/20,10635,601,218,34,47
Romania,4/26/20,11036,619,401,18,48
Romania,4/27/20,11339,641,303,22,49
Romania,4/28/20,11616,663,277,22,50
Romania,4/29/20,11978,693,362,30,51
Romania,4/30/20,12240,717,262,24,52
Romania,5/1/20,12567,744,327,27,53
Romania,5/2/20,12732,771,165,27,54
Romania,5/3/20,13163,790,431,19,55
Romania,5/4/20,13512,818,349,28,56
Romania,5/5/20,13837,841,325,23,57
Romania,5/6/20,14107,864,270,23,58
Romania,5/7/20,14499,888,392,24,59
Romania,5/8/20,14811,923,312,35,60
Romania,5/9/20,15131,939,320,16,61
Romania,5/10/20,15362,961,231,22,62
Romania,5/11/20,15588,982,226,21,63
Romania,5/12/20,15778,1002,190,20,64
Romania,5/13/20,16002,1036,224,34,65
Romania,5/14/20,16247,1053,245,17,66
Romania,5/15/20,16437,1070,190,17,67
Romania,5/16/20,16704,1094,267,24,68
Romania,5/17/20,16871,1107,167,13,69
Romania,5/18/20,17036,1120,165,13,70
Romania,5/19/20,17191,1137,155,17,71
Romania,5/20/20,17387,1147,196,10,72
Romania,5/21/20,17585,1156,198,9,73
Romania,5/22/20,17712,1166,127,10,74
Romania,5/23/20,17857,1176,145,10,75
Romania,5/24/20,18070,1185,213,9,76
Romania,5/25/20,18283,1205,213,20,77
Romania,5/26/20,18429,1216,146,11,78
Romania,5/27/20,18594,1227,165,11,79
Romania,5/28/20,18791,1235,197,8,80
Romania,5/29/20,18982,1248,191,13,81
Romania,5/30/20,19133,1259,151,11,82
Romania,5/31/20,19257,1266,124,7,83
Romania,6/1/20,19398,1276,141,10,84
Romania,6/2/20,19517,1288,119,12,85
Romania,6/3/20,19669,1296,152,8,86
Romania,6/4/20,19907,1305,238,9,87
Romania,6/5/20,20103,1316,196,11,88
Romania,6/6/20,20290,1322,187,6,89
Romania,6/7/20,20479,1333,189,11,90
Romania,6/8/20,20604,1339,125,6,91
Romania,6/9/20,20749,1354,145,15,92
Romania,6/10/20,20945,1360,196,6,93
Romania,6/11/20,21182,1369,237,9,94
Romania,6/12/20,21404,1380,222,11,95
Romania,6/13/20,21679,1394,275,14,96
Romania,6/14/20,21999,1410,320,16,97
Romania,6/15/20,22165,1427,166,17,98
Romania,6/16/20,22415,1437,250,10,99
Romania,6/17/20,22760,1451,345,14,100
Romania,6/18/20,23080,1473,320,22,101
Romania,6/19/20,23400,1484,320,11,102
Romania,6/20/20,23730,1500,330,16,103
Romania,6/21/20,24045,1512,315,12,104
Romania,6/22/20,24291,1523,246,11,105
Romania,6/23/20,24505,1539,214,16,106
Romania,6/24/20,24826,1555,321,16,107
Romania,6/25/20,25286,1565,460,10,108
Romania,6/26/20,25697,1579,411,14,109
Romania,6/27/20,26022,1589,325,10,110
Romania,6/28/20,26313,1612,291,23,111
Romania,6/29/20,26582,1634,269,22,112
Romania,6/30/20,26970,1651,388,17,113
Romania,7/1/20,27296,1667,326,16,114
Romania,7/2/20,27746,1687,450,20,115
Romania,7/3/20,28166,1708,420,21,116
Romania,7/4/20,28582,1731,416,23,117
Romania,7/5/20,28973,1750,391,19,118
Romania,7/6/20,29223,1768,250,18,119
Romania,7/7/20,29620,1799,397,31,120
Romania,7/8/20,30175,1817,555,18,121
Romania,7/9/20,30789,1834,614,17,122
Romania,7/10/20,31381,1847,592,13,123
Romania,7/11/20,32079,1871,698,24,124
Romania,7/12/20,32535,1884,456,13,125
Romania,7/13/20,32948,1901,413,17,126
Romania,7/14/20,33585,1931,637,30,127
Romania,7/15/20,34226,1952,641,21,128
Romania,7/16/20,35003,1971,777,19,129
Romania,7/17/20,35802,1988,799,17,130
Romania,7/18/20,36691,2009,889,21,131
Romania,7/19/20,37458,2026,767,17,132
Romania,7/20/20,38139,2038,681,12,133
Romania,7/21/20,39133,2074,994,36,134
Romania,7/22/20,40163,2101,1030,27,135
Romania,7/23/20,41275,2126,1112,25,136
Romania,7/24/20,42394,2150,1119,24,137
Romania,7/25/20,43678,2165,1284,15,138
Romania,7/26/20,44798,2187,1120,22,139
Romania,7/27/20,45902,2206,1104,19,140
Romania,7/28/20,47053,2239,1151,33,141
Romania,7/29/20,48235,2269,1182,30,142
Romania,7/30/20,49591,2304,1356,35,143
Romania,7/31/20,50886,2343,1295,39,144
Romania,8/1/20,52111,2379,1225,36,145
Romania,8/2/20,53186,2413,1075,34,146
Romania,8/3/20,54009,2432,823,19,147
Romania,8/4/20,55241,2480,1232,48,148
Romania,8/5/20,56550,2521,1309,41,149
Romania,8/6/20,57895,2566,1345,45,150
Romania,8/7/20,59273,2616,1378,50,151
Romania,8/8/20,60623,2659,1350,43,152
Romania,8/9/20,61768,2700,1145,41,153
Romania,8/10/20,62547,2729,779,29,154
Romania,8/11/20,63762,2764,1215,35,155
Romania,8/12/20,65177,2807,1415,43,156
Romania,8/13/20,66631,2860,1454,53,157
Romania,8/14/20,68046,2904,1415,44,158
Romania,8/15/20,69374,2954,1328,50,159
Romania,8/16/20,70461,2991,1087,37,160
Romania,8/17/20,71194,3029,733,38,161
Romania,8/18/20,72208,3074,1014,45,162
Romania,8/19/20,73617,3106,1409,32,163
Romania,8/20/20,74963,3154,1346,48,164
Romania,8/21/20,76355,3196,1392,42,165
Romania,8/22/20,77544,3233,1189,37,166
