country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Grenada,5/2/20,21,0,1,0,1
Grenada,5/3/20,21,0,0,0,2
Grenada,5/4/20,21,0,0,0,3
Grenada,5/5/20,21,0,0,0,4
Grenada,5/6/20,21,0,0,0,5
Grenada,5/7/20,21,0,0,0,6
Grenada,5/8/20,21,0,0,0,7
Grenada,5/9/20,21,0,0,0,8
Grenada,5/10/20,21,0,0,0,9
Grenada,5/11/20,21,0,0,0,10
Grenada,5/12/20,21,0,0,0,11
Grenada,5/13/20,21,0,0,0,12
Grenada,5/14/20,21,0,0,0,13
Grenada,5/15/20,22,0,1,0,14
Grenada,5/16/20,22,0,0,0,15
Grenada,5/17/20,22,0,0,0,16
Grenada,5/18/20,22,0,0,0,17
Grenada,5/19/20,22,0,0,0,18
Grenada,5/20/20,22,0,0,0,19
Grenada,5/21/20,22,0,0,0,20
Grenada,5/22/20,22,0,0,0,21
Grenada,5/23/20,22,0,0,0,22
Grenada,5/24/20,22,0,0,0,23
Grenada,5/25/20,23,0,1,0,24
Grenada,5/26/20,23,0,0,0,25
Grenada,5/27/20,23,0,0,0,26
Grenada,5/28/20,23,0,0,0,27
Grenada,5/29/20,23,0,0,0,28
Grenada,5/30/20,23,0,0,0,29
Grenada,5/31/20,23,0,0,0,30
Grenada,6/1/20,23,0,0,0,31
Grenada,6/2/20,23,0,0,0,32
Grenada,6/3/20,23,0,0,0,33
Grenada,6/4/20,23,0,0,0,34
Grenada,6/5/20,23,0,0,0,35
Grenada,6/6/20,23,0,0,0,36
Grenada,6/7/20,23,0,0,0,37
Grenada,6/8/20,23,0,0,0,38
Grenada,6/9/20,23,0,0,0,39
Grenada,6/10/20,23,0,0,0,40
Grenada,6/11/20,23,0,0,0,41
Grenada,6/12/20,23,0,0,0,42
Grenada,6/13/20,23,0,0,0,43
Grenada,6/14/20,23,0,0,0,44
Grenada,6/15/20,23,0,0,0,45
Grenada,6/16/20,23,0,0,0,46
Grenada,6/17/20,23,0,0,0,47
Grenada,6/18/20,23,0,0,0,48
Grenada,6/19/20,23,0,0,0,49
Grenada,6/20/20,23,0,0,0,50
Grenada,6/21/20,23,0,0,0,51
Grenada,6/22/20,23,0,0,0,52
Grenada,6/23/20,23,0,0,0,53
Grenada,6/24/20,23,0,0,0,54
Grenada,6/25/20,23,0,0,0,55
Grenada,6/26/20,23,0,0,0,56
Grenada,6/27/20,23,0,0,0,57
Grenada,6/28/20,23,0,0,0,58
Grenada,6/29/20,23,0,0,0,59
Grenada,6/30/20,23,0,0,0,60
Grenada,7/1/20,23,0,0,0,61
Grenada,7/2/20,23,0,0,0,62
Grenada,7/3/20,23,0,0,0,63
Grenada,7/4/20,23,0,0,0,64
Grenada,7/5/20,23,0,0,0,65
Grenada,7/6/20,23,0,0,0,66
Grenada,7/7/20,23,0,0,0,67
Grenada,7/8/20,23,0,0,0,68
Grenada,7/9/20,23,0,0,0,69
Grenada,7/10/20,23,0,0,0,70
Grenada,7/11/20,23,0,0,0,71
Grenada,7/12/20,23,0,0,0,72
Grenada,7/13/20,23,0,0,0,73
Grenada,7/14/20,23,0,0,0,74
Grenada,7/15/20,23,0,0,0,75
Grenada,7/16/20,23,0,0,0,76
Grenada,7/17/20,23,0,0,0,77
Grenada,7/18/20,23,0,0,0,78
Grenada,7/19/20,23,0,0,0,79
Grenada,7/20/20,23,0,0,0,80
Grenada,7/21/20,23,0,0,0,81
Grenada,7/22/20,23,0,0,0,82
Grenada,7/23/20,23,0,0,0,83
Grenada,7/24/20,23,0,0,0,84
Grenada,7/25/20,23,0,0,0,85
Grenada,7/26/20,23,0,0,0,86
Grenada,7/27/20,23,0,0,0,87
Grenada,7/28/20,23,0,0,0,88
Grenada,7/29/20,23,0,0,0,89
Grenada,7/30/20,24,0,1,0,90
Grenada,7/31/20,24,0,0,0,91
Grenada,8/1/20,24,0,0,0,92
Grenada,8/2/20,24,0,0,0,93
Grenada,8/3/20,24,0,0,0,94
Grenada,8/4/20,24,0,0,0,95
Grenada,8/5/20,24,0,0,0,96
Grenada,8/6/20,24,0,0,0,97
Grenada,8/7/20,24,0,0,0,98
Grenada,8/8/20,24,0,0,0,99
Grenada,8/9/20,24,0,0,0,100
Grenada,8/10/20,24,0,0,0,101
