country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Dominican Republic,3/17/20,21,1,10,1,1
Dominican Republic,3/18/20,21,1,0,0,2
Dominican Republic,3/19/20,34,2,13,1,3
Dominican Republic,3/20/20,72,2,38,0,4
Dominican Republic,3/21/20,112,2,40,0,5
Dominican Republic,3/22/20,202,3,90,1,6
Dominican Republic,3/23/20,245,3,43,0,7
Dominican Republic,3/24/20,312,6,67,3,8
Dominican Republic,3/25/20,392,10,80,4,9
Dominican Republic,3/26/20,488,10,96,0,10
Dominican Republic,3/27/20,581,20,93,10,11
Dominican Republic,3/28/20,719,28,138,8,12
Dominican Republic,3/29/20,859,39,140,11,13
Dominican Republic,3/30/20,901,42,42,3,14
Dominican Republic,3/31/20,1109,51,208,9,15
Dominican Republic,4/1/20,1284,57,175,6,16
Dominican Republic,4/2/20,1380,60,96,3,17
Dominican Republic,4/3/20,1488,68,108,8,18
Dominican Republic,4/4/20,1488,68,0,0,19
Dominican Republic,4/5/20,1745,82,257,14,20
Dominican Republic,4/6/20,1828,86,83,4,21
Dominican Republic,4/7/20,1956,98,128,12,22
Dominican Republic,4/8/20,2111,108,155,10,23
Dominican Republic,4/9/20,2349,118,238,10,24
Dominican Republic,4/10/20,2620,126,271,8,25
Dominican Republic,4/11/20,2759,135,139,9,26
Dominican Republic,4/12/20,2967,173,208,38,27
Dominican Republic,4/13/20,3167,177,200,4,28
Dominican Republic,4/14/20,3286,183,119,6,29
Dominican Republic,4/15/20,3614,189,328,6,30
Dominican Republic,4/16/20,3755,196,141,7,31
Dominican Republic,4/17/20,4126,200,371,4,32
Dominican Republic,4/18/20,4335,217,209,17,33
Dominican Republic,4/19/20,4680,226,345,9,34
Dominican Republic,4/20/20,4964,235,284,9,35
Dominican Republic,4/21/20,5044,245,80,10,36
Dominican Republic,4/22/20,5300,260,256,15,37
Dominican Republic,4/23/20,5543,265,243,5,38
Dominican Republic,4/24/20,5749,267,206,2,39
Dominican Republic,4/25/20,5926,273,177,6,40
Dominican Republic,4/26/20,6135,278,209,5,41
Dominican Republic,4/27/20,6293,282,158,4,42
Dominican Republic,4/28/20,6416,286,123,4,43
Dominican Republic,4/29/20,6652,293,236,7,44
Dominican Republic,4/30/20,6972,301,320,8,45
Dominican Republic,5/1/20,7288,313,316,12,46
Dominican Republic,5/2/20,7578,326,290,13,47
Dominican Republic,5/3/20,7954,333,376,7,48
Dominican Republic,5/4/20,8235,346,281,13,49
Dominican Republic,5/5/20,8480,354,245,8,50
Dominican Republic,5/6/20,8807,362,327,8,51
Dominican Republic,5/7/20,9095,373,288,11,52
Dominican Republic,5/8/20,9376,380,281,7,53
Dominican Republic,5/9/20,9882,385,506,5,54
Dominican Republic,5/10/20,10347,388,465,3,55
Dominican Republic,5/11/20,10634,393,287,5,56
Dominican Republic,5/12/20,10900,402,266,9,57
Dominican Republic,5/13/20,11196,409,296,7,58
Dominican Republic,5/14/20,11320,422,124,13,59
Dominican Republic,5/15/20,11739,424,419,2,60
Dominican Republic,5/16/20,12110,428,371,4,61
Dominican Republic,5/17/20,12314,428,204,0,62
Dominican Republic,5/18/20,12725,434,411,6,63
Dominican Republic,5/19/20,13223,441,498,7,64
Dominican Republic,5/20/20,13477,446,254,5,65
Dominican Republic,5/21/20,13657,448,180,2,66
Dominican Republic,5/22/20,13989,456,332,8,67
Dominican Republic,5/23/20,14422,458,433,2,68
Dominican Republic,5/24/20,14801,458,379,0,69
Dominican Republic,5/25/20,15073,460,272,2,70
Dominican Republic,5/26/20,15264,468,191,8,71
Dominican Republic,5/27/20,15723,474,459,6,72
Dominican Republic,5/28/20,16068,485,345,11,73
Dominican Republic,5/29/20,16531,488,463,3,74
Dominican Republic,5/30/20,16908,498,377,10,75
Dominican Republic,5/31/20,17285,502,377,4,76
Dominican Republic,6/1/20,17572,502,287,0,77
Dominican Republic,6/2/20,17752,515,180,13,78
Dominican Republic,6/3/20,18040,516,288,1,79
Dominican Republic,6/4/20,18319,520,279,4,80
Dominican Republic,6/5/20,18708,525,389,5,81
Dominican Republic,6/6/20,19195,536,487,11,82
Dominican Republic,6/7/20,19600,538,405,2,83
Dominican Republic,6/8/20,20126,539,526,1,84
Dominican Republic,6/9/20,20415,544,289,5,85
Dominican Republic,6/10/20,20808,550,393,6,86
Dominican Republic,6/11/20,21437,561,629,11,87
Dominican Republic,6/12/20,22008,568,571,7,88
Dominican Republic,6/13/20,22572,577,564,9,89
Dominican Republic,6/14/20,22962,592,390,15,90
Dominican Republic,6/15/20,23271,605,309,13,91
Dominican Republic,6/16/20,23686,615,415,10,92
Dominican Republic,6/17/20,24105,633,419,18,93
Dominican Republic,6/18/20,24645,635,540,2,94
Dominican Republic,6/19/20,25068,647,423,12,95
Dominican Republic,6/20/20,25778,655,710,8,96
Dominican Republic,6/21/20,26677,662,899,7,97
Dominican Republic,6/22/20,27370,669,693,7,98
Dominican Republic,6/23/20,27936,675,566,6,99
Dominican Republic,6/24/20,28631,691,695,16,100
Dominican Republic,6/25/20,29141,698,510,7,101
Dominican Republic,6/26/20,29764,712,623,14,102
Dominican Republic,6/27/20,30619,718,855,6,103
Dominican Republic,6/28/20,31373,726,754,8,104
Dominican Republic,6/29/20,31816,733,443,7,105
Dominican Republic,6/30/20,32568,747,752,14,106
Dominican Republic,7/1/20,33387,754,819,7,107
Dominican Republic,7/2/20,34197,765,810,11,108
Dominican Republic,7/3/20,35148,775,951,10,109
Dominican Republic,7/4/20,36184,786,1036,11,110
Dominican Republic,7/5/20,37425,794,1241,8,111
Dominican Republic,7/6/20,38128,804,703,10,112
Dominican Republic,7/7/20,38430,821,302,17,113
Dominican Republic,7/8/20,39588,829,1158,8,114
Dominican Republic,7/9/20,40790,842,1202,13,115
Dominican Republic,7/10/20,41915,864,1125,22,116
Dominican Republic,7/11/20,43114,880,1199,16,117
Dominican Republic,7/12/20,44532,897,1418,17,118
Dominican Republic,7/13/20,45506,903,974,6,119
Dominican Republic,7/14/20,46305,910,799,7,120
Dominican Republic,7/15/20,47671,929,1366,19,121
Dominican Republic,7/16/20,48743,941,1072,12,122
Dominican Republic,7/17/20,50113,942,1370,1,123
Dominican Republic,7/18/20,51519,971,1406,29,124
Dominican Republic,7/19/20,52855,981,1336,10,125
Dominican Republic,7/20/20,53956,993,1101,12,126
Dominican Republic,7/21/20,54797,999,841,6,127
Dominican Republic,7/22/20,56043,1005,1246,6,128
Dominican Republic,7/23/20,57615,1006,1572,1,129
Dominican Republic,7/24/20,59077,1036,1462,30,130
Dominican Republic,7/25/20,60896,1055,1819,19,131
Dominican Republic,7/26/20,62908,1063,2012,8,132
Dominican Republic,7/27/20,64156,1083,1248,20,133
Dominican Republic,7/28/20,64690,1101,534,18,134
Dominican Republic,7/29/20,66182,1123,1492,22,135
Dominican Republic,7/30/20,67915,1146,1733,23,136
Dominican Republic,7/31/20,69649,1160,1734,14,137
Dominican Republic,8/1/20,71415,1170,1766,10,138
Dominican Republic,8/2/20,72243,1178,828,8,139
Dominican Republic,8/3/20,73117,1183,874,5,140
Dominican Republic,8/4/20,74295,1213,1178,30,141
Dominican Republic,8/5/20,75660,1222,1365,9,142
Dominican Republic,8/6/20,76536,1246,876,24,143
Dominican Republic,8/7/20,77709,1259,1173,13,144
Dominican Republic,8/8/20,78778,1289,1069,30,145
Dominican Republic,8/9/20,79732,1309,954,20,146
Dominican Republic,8/10/20,80499,1328,767,19,147
Dominican Republic,8/11/20,81094,1346,595,18,148
Dominican Republic,8/12/20,82224,1371,1130,25,149
Dominican Republic,8/13/20,83134,1393,910,22,150
Dominican Republic,8/14/20,84488,1409,1354,16,151
Dominican Republic,8/15/20,85545,1438,1057,29,152
Dominican Republic,8/16/20,86309,1453,764,15,153
Dominican Republic,8/17/20,86737,1481,428,28,154
Dominican Republic,8/18/20,87123,1489,386,8,155
Dominican Republic,8/19/20,88127,1501,1004,12,156
Dominican Republic,8/20/20,89010,1505,883,4,157
Dominican Republic,8/21/20,89867,1533,857,28,158
Dominican Republic,8/22/20,90561,1554,694,21,159
Dominican Republic,8/23/20,91161,1567,600,13,160
Dominican Republic,8/24/20,91608,1573,447,6,161
Dominican Republic,8/25/20,92217,1585,609,12,162
Dominican Republic,8/26/20,92557,1613,340,28,163
Dominican Republic,8/27/20,92964,1630,407,17,164
Dominican Republic,8/28/20,93390,1648,426,18,165
Dominican Republic,8/29/20,93732,1673,342,25,166
Dominican Republic,8/30/20,94241,1681,509,8,167
Dominican Republic,8/31/20,94715,1710,474,29,168
Dominican Republic,9/1/20,94979,1738,264,28,169
Dominican Republic,9/2/20,95627,1765,648,27,170
Dominican Republic,9/3/20,96629,1801,1002,36,171
Dominican Republic,9/4/20,96629,1801,0,0,172
Dominican Republic,9/5/20,98776,1840,2147,39,173
Dominican Republic,9/6/20,99333,1845,557,5,174
Dominican Republic,9/7/20,99898,1864,565,19,175
Dominican Republic,9/8/20,100131,1889,233,25,176
Dominican Republic,9/9/20,100937,1914,806,25,177
Dominican Republic,9/10/20,101716,1926,779,12,178
Dominican Republic,9/11/20,102232,1941,516,15,179
Dominican Republic,9/12/20,103092,1953,860,12,180
Dominican Republic,9/13/20,103660,1968,568,15,181
Dominican Republic,9/14/20,104110,1984,450,16,182
Dominican Republic,9/15/20,104803,1998,693,14,183
Dominican Republic,9/16/20,105521,2009,718,11,184
Dominican Republic,9/17/20,106136,2022,615,13,185
Dominican Republic,9/18/20,106732,2034,596,12,186
Dominican Republic,9/19/20,107700,2044,968,10,187
Dominican Republic,9/20/20,108289,2047,589,3,188
Dominican Republic,9/21/20,108783,2054,494,7,189
Dominican Republic,9/22/20,109269,2064,486,10,190
Dominican Republic,9/23/20,109737,2074,468,10,191
Dominican Republic,9/24/20,110122,2076,385,2,192
Dominican Republic,9/25/20,110597,2087,475,11,193
Dominican Republic,9/26/20,110957,2093,360,6,194
Dominican Republic,9/27/20,111386,2095,429,2,195
Dominican Republic,9/28/20,111666,2098,280,3,196
