country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Iran,2/22/20,28,5,10,1,1
Iran,2/23/20,43,8,15,3,2
Iran,2/24/20,61,12,18,4,3
Iran,2/25/20,95,16,34,4,4
Iran,2/26/20,139,19,44,3,5
Iran,2/27/20,245,26,106,7,6
Iran,2/28/20,388,34,143,8,7
Iran,2/29/20,593,43,205,9,8
Iran,3/1/20,978,54,385,11,9
Iran,3/2/20,1501,66,523,12,10
Iran,3/3/20,2336,77,835,11,11
Iran,3/4/20,2922,92,586,15,12
Iran,3/5/20,3513,107,591,15,13
Iran,3/6/20,4747,124,1234,17,14
Iran,3/7/20,5823,145,1076,21,15
Iran,3/8/20,6566,194,743,49,16
Iran,3/9/20,7161,237,595,43,17
Iran,3/10/20,8042,291,881,54,18
Iran,3/11/20,9000,354,958,63,19
Iran,3/12/20,10075,429,1075,75,20
Iran,3/13/20,11364,514,1289,85,21
Iran,3/14/20,12729,611,1365,97,22
Iran,3/15/20,13938,724,1209,113,23
Iran,3/16/20,14991,853,1053,129,24
Iran,3/17/20,16169,988,1178,135,25
Iran,3/18/20,17361,1135,1192,147,26
Iran,3/19/20,18407,1284,1046,149,27
Iran,3/20/20,19644,1433,1237,149,28
Iran,3/21/20,20610,1556,966,123,29
Iran,3/22/20,21638,1685,1028,129,30
Iran,3/23/20,23049,1812,1411,127,31
Iran,3/24/20,24811,1934,1762,122,32
Iran,3/25/20,27017,2077,2206,143,33
Iran,3/26/20,29406,2234,2389,157,34
Iran,3/27/20,32332,2378,2926,144,35
Iran,3/28/20,35408,2517,3076,139,36
Iran,3/29/20,38309,2640,2901,123,37
Iran,3/30/20,41495,2757,3186,117,38
Iran,3/31/20,44605,2898,3110,141,39
Iran,4/1/20,47593,3036,2988,138,40
Iran,4/2/20,50468,3160,2875,124,41
Iran,4/3/20,53183,3294,2715,134,42
Iran,4/4/20,55743,3452,2560,158,43
Iran,4/5/20,58226,3603,2483,151,44
Iran,4/6/20,60500,3739,2274,136,45
Iran,4/7/20,62589,3872,2089,133,46
Iran,4/8/20,64586,3993,1997,121,47
Iran,4/9/20,66220,4110,1634,117,48
Iran,4/10/20,68192,4232,1972,122,49
Iran,4/11/20,70029,4357,1837,125,50
Iran,4/12/20,71686,4474,1657,117,51
Iran,4/13/20,73303,4585,1617,111,52
Iran,4/14/20,74877,4683,1574,98,53
Iran,4/15/20,76389,4777,1512,94,54
Iran,4/16/20,77995,4869,1606,92,55
Iran,4/17/20,79494,4958,1499,89,56
Iran,4/18/20,80868,5031,1374,73,57
Iran,4/19/20,82211,5118,1343,87,58
Iran,4/20/20,83505,5209,1294,91,59
Iran,4/21/20,84802,5297,1297,88,60
Iran,4/22/20,85996,5391,1194,94,61
Iran,4/23/20,87026,5481,1030,90,62
Iran,4/24/20,88194,5574,1168,93,63
Iran,4/25/20,89328,5650,1134,76,64
Iran,4/26/20,90481,5710,1153,60,65
Iran,4/27/20,91472,5806,991,96,66
Iran,4/28/20,92584,5877,1112,71,67
Iran,4/29/20,93657,5957,1073,80,68
Iran,4/30/20,94640,6028,983,71,69
Iran,5/1/20,95646,6091,1006,63,70
Iran,5/2/20,96448,6156,802,65,71
Iran,5/3/20,97424,6203,976,47,72
Iran,5/4/20,98647,6277,1223,74,73
Iran,5/5/20,99970,6340,1323,63,74
Iran,5/6/20,101650,6418,1680,78,75
Iran,5/7/20,103135,6486,1485,68,76
Iran,5/8/20,104691,6541,1556,55,77
Iran,5/9/20,106220,6589,1529,48,78
Iran,5/10/20,107603,6640,1383,51,79
Iran,5/11/20,109286,6685,1683,45,80
Iran,5/12/20,110767,6733,1481,48,81
Iran,5/13/20,112725,6783,1958,50,82
Iran,5/14/20,114533,6854,1808,71,83
Iran,5/15/20,116635,6902,2102,48,84
Iran,5/16/20,118392,6937,1757,35,85
Iran,5/17/20,120198,6988,1806,51,86
Iran,5/18/20,122492,7057,2294,69,87
Iran,5/19/20,124603,7119,2111,62,88
Iran,5/20/20,126949,7183,2346,64,89
Iran,5/21/20,129341,7249,2392,66,90
Iran,5/22/20,131652,7300,2311,51,91
Iran,5/23/20,133521,7359,1869,59,92
Iran,5/24/20,135701,7417,2180,58,93
Iran,5/25/20,137724,7451,2023,34,94
Iran,5/26/20,139511,7508,1787,57,95
Iran,5/27/20,141591,7564,2080,56,96
Iran,5/28/20,143849,7627,2258,63,97
Iran,5/29/20,146668,7677,2819,50,98
Iran,5/30/20,148950,7734,2282,57,99
Iran,5/31/20,151466,7797,2516,63,100
Iran,6/1/20,154445,7878,2979,81,101
Iran,6/2/20,157562,7942,3117,64,102
Iran,6/3/20,160696,8012,3134,70,103
Iran,6/4/20,164270,8071,3574,59,104
Iran,6/5/20,167156,8134,2886,63,105
Iran,6/6/20,169425,8209,2269,75,106
Iran,6/7/20,171789,8281,2364,72,107
Iran,6/8/20,173832,8351,2043,70,108
Iran,6/9/20,175927,8425,2095,74,109
Iran,6/10/20,177938,8506,2011,81,110
Iran,6/11/20,180156,8584,2218,78,111
Iran,6/12/20,182525,8659,2369,75,112
Iran,6/13/20,184955,8730,2430,71,113
Iran,6/14/20,187427,8837,2472,107,114
Iran,6/15/20,189876,8950,2449,113,115
Iran,6/16/20,192439,9065,2563,115,116
Iran,6/17/20,195051,9185,2612,120,117
Iran,6/18/20,197647,9272,2596,87,118
Iran,6/19/20,200262,9392,2615,120,119
Iran,6/20/20,202584,9507,2322,115,120
Iran,6/21/20,204952,9623,2368,116,121
Iran,6/22/20,207525,9742,2573,119,122
Iran,6/23/20,209970,9863,2445,121,123
Iran,6/24/20,212501,9996,2531,133,124
Iran,6/25/20,215096,10130,2595,134,125
Iran,6/26/20,217724,10239,2628,109,126
Iran,6/27/20,220180,10364,2456,125,127
Iran,6/28/20,222669,10508,2489,144,128
Iran,6/29/20,225205,10670,2536,162,129
Iran,6/30/20,227662,10817,2457,147,130
Iran,7/1/20,230211,10958,2549,141,131
Iran,7/2/20,232863,11106,2652,148,132
Iran,7/3/20,235429,11260,2566,154,133
Iran,7/4/20,237878,11408,2449,148,134
Iran,7/5/20,240438,11571,2560,163,135
Iran,7/6/20,243051,11731,2613,160,136
Iran,7/7/20,245688,11931,2637,200,137
Iran,7/8/20,248379,12084,2691,153,138
Iran,7/9/20,250458,12305,2079,221,139
Iran,7/10/20,252720,12447,2262,142,140
Iran,7/11/20,255117,12635,2397,188,141
Iran,7/12/20,257303,12829,2186,194,142
Iran,7/13/20,259652,13032,2349,203,143
Iran,7/14/20,262173,13211,2521,179,144
Iran,7/15/20,264561,13410,2388,199,145
Iran,7/16/20,267061,13608,2500,198,146
Iran,7/17/20,269440,13791,2379,183,147
Iran,7/18/20,271606,13979,2166,188,148
Iran,7/19/20,273788,14188,2182,209,149
Iran,7/20/20,276202,14405,2414,217,150
Iran,7/21/20,278827,14634,2625,229,151
Iran,7/22/20,281413,14853,2586,219,152
Iran,7/23/20,284034,15074,2621,221,153
Iran,7/24/20,286523,15289,2489,215,154
Iran,7/25/20,288839,15484,2316,195,155
Iran,7/26/20,291172,15700,2333,216,156
Iran,7/27/20,293606,15912,2434,212,157
Iran,7/28/20,296273,16147,2667,235,158
Iran,7/29/20,298909,16343,2636,196,159
Iran,7/30/20,301530,16569,2621,226,160
Iran,7/31/20,304204,16766,2674,197,161
Iran,8/1/20,306752,16982,2548,216,162
Iran,8/2/20,309437,17190,2685,208,163
Iran,8/3/20,312035,17405,2598,215,164
Iran,8/4/20,314786,17617,2751,212,165
Iran,8/5/20,317483,17802,2697,185,166
Iran,8/6/20,320117,17976,2634,174,167
Iran,8/7/20,322567,18132,2450,156,168
Iran,8/8/20,324692,18264,2125,132,169
Iran,8/9/20,326712,18427,2020,163,170
Iran,8/10/20,328844,18616,2132,189,171
Iran,8/11/20,331189,18800,2345,184,172
Iran,8/12/20,333699,18988,2510,188,173
Iran,8/13/20,336324,19162,2625,174,174
Iran,8/14/20,338825,19331,2501,169,175
Iran,8/15/20,341070,19492,2245,161,176
Iran,8/16/20,343203,19639,2133,147,177
Iran,8/17/20,345450,19804,2247,165,178
Iran,8/18/20,347835,19972,2385,168,179
Iran,8/19/20,350279,20125,2444,153,180
Iran,8/20/20,352558,20264,2279,139,181
Iran,8/21/20,354764,20376,2206,112,182
Iran,8/22/20,356792,20502,2028,126,183
Iran,8/23/20,358905,20643,2113,141,184
Iran,8/24/20,361150,20776,2245,133,185
Iran,8/25/20,363363,20901,2213,125,186
Iran,8/26/20,365606,21020,2243,119,187
Iran,8/27/20,367796,21137,2190,117,188
Iran,8/28/20,369911,21249,2115,112,189
Iran,8/29/20,371816,21359,1905,110,190
Iran,8/30/20,373570,21462,1754,103,191
Iran,8/31/20,375212,21571,1642,109,192
Iran,9/1/20,376894,21672,1682,101,193
Iran,9/2/20,378752,21797,1858,125,194
Iran,9/3/20,380746,21926,1994,129,195
Iran,9/4/20,382772,22044,2026,118,196
Iran,9/5/20,384666,22154,1894,110,197
Iran,9/6/20,386658,22293,1992,139,198
Iran,9/7/20,388810,22410,2152,117,199
Iran,9/8/20,391112,22542,2302,132,200
Iran,9/9/20,393425,22669,2313,127,201
Iran,9/10/20,395488,22798,2063,129,202
Iran,9/11/20,397801,22913,2313,115,203
Iran,9/12/20,399940,23029,2139,116,204
Iran,9/13/20,402029,23157,2089,128,205
Iran,9/14/20,404648,23313,2619,156,206
Iran,9/15/20,407353,23453,2705,140,207
Iran,9/16/20,410334,23632,2981,179,208
Iran,9/17/20,413149,23808,2815,176,209
Iran,9/18/20,416198,23952,3049,144,210
Iran,9/19/20,419043,24118,2845,166,211
Iran,9/20/20,422140,24301,3097,183,212
Iran,9/21/20,425481,24478,3341,177,213
Iran,9/22/20,429193,24656,3712,178,214
Iran,9/23/20,432798,24840,3605,184,215
Iran,9/24/20,436319,25015,3521,175,216
Iran,9/25/20,439882,25222,3563,207,217
Iran,9/26/20,443086,25394,3204,172,218
Iran,9/27/20,446448,25589,3362,195,219
Iran,9/28/20,449960,25779,3512,190,220
