country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Montenegro,3/22/20,21,0,7,0,1
Montenegro,3/23/20,27,1,6,1,2
Montenegro,3/24/20,47,1,20,0,3
Montenegro,3/25/20,52,1,5,0,4
Montenegro,3/26/20,69,1,17,0,5
Montenegro,3/27/20,82,1,13,0,6
Montenegro,3/28/20,84,1,2,0,7
Montenegro,3/29/20,85,1,1,0,8
Montenegro,3/30/20,91,1,6,0,9
Montenegro,3/31/20,109,2,18,1,10
Montenegro,4/1/20,123,2,14,0,11
Montenegro,4/2/20,144,2,21,0,12
Montenegro,4/3/20,174,2,30,0,13
Montenegro,4/4/20,201,2,27,0,14
Montenegro,4/5/20,214,2,13,0,15
Montenegro,4/6/20,233,2,19,0,16
Montenegro,4/7/20,241,2,8,0,17
Montenegro,4/8/20,248,2,7,0,18
Montenegro,4/9/20,252,2,4,0,19
Montenegro,4/10/20,255,2,3,0,20
Montenegro,4/11/20,263,2,8,0,21
Montenegro,4/12/20,272,3,9,1,22
Montenegro,4/13/20,274,3,2,0,23
Montenegro,4/14/20,283,4,9,1,24
Montenegro,4/15/20,288,4,5,0,25
Montenegro,4/16/20,303,4,15,0,26
Montenegro,4/17/20,303,5,0,1,27
Montenegro,4/18/20,307,5,4,0,28
Montenegro,4/19/20,308,5,1,0,29
Montenegro,4/20/20,312,5,4,0,30
Montenegro,4/21/20,313,5,1,0,31
Montenegro,4/22/20,315,5,2,0,32
Montenegro,4/23/20,316,5,1,0,33
Montenegro,4/24/20,319,6,3,1,34
Montenegro,4/25/20,320,6,1,0,35
Montenegro,4/26/20,321,7,1,1,36
Montenegro,4/27/20,321,7,0,0,37
Montenegro,4/28/20,321,7,0,0,38
Montenegro,4/29/20,322,7,1,0,39
Montenegro,4/30/20,322,7,0,0,40
Montenegro,5/1/20,322,7,0,0,41
Montenegro,5/2/20,322,8,0,1,42
Montenegro,5/3/20,322,8,0,0,43
Montenegro,5/4/20,323,8,1,0,44
Montenegro,5/5/20,324,8,1,0,45
Montenegro,5/6/20,324,8,0,0,46
Montenegro,5/7/20,324,8,0,0,47
Montenegro,5/8/20,324,8,0,0,48
Montenegro,5/9/20,324,8,0,0,49
Montenegro,5/10/20,324,9,0,1,50
Montenegro,5/11/20,324,9,0,0,51
Montenegro,5/12/20,324,9,0,0,52
Montenegro,5/13/20,324,9,0,0,53
Montenegro,5/14/20,324,9,0,0,54
Montenegro,5/15/20,324,9,0,0,55
Montenegro,5/16/20,324,9,0,0,56
Montenegro,5/17/20,324,9,0,0,57
Montenegro,5/18/20,324,9,0,0,58
Montenegro,5/19/20,324,9,0,0,59
Montenegro,5/20/20,324,9,0,0,60
Montenegro,5/21/20,324,9,0,0,61
Montenegro,5/22/20,324,9,0,0,62
Montenegro,5/23/20,324,9,0,0,63
Montenegro,5/24/20,324,9,0,0,64
Montenegro,5/25/20,324,9,0,0,65
Montenegro,5/26/20,324,9,0,0,66
Montenegro,5/27/20,324,9,0,0,67
Montenegro,5/28/20,324,9,0,0,68
Montenegro,5/29/20,324,9,0,0,69
Montenegro,5/30/20,324,9,0,0,70
Montenegro,5/31/20,324,9,0,0,71
Montenegro,6/1/20,324,9,0,0,72
Montenegro,6/2/20,324,9,0,0,73
Montenegro,6/3/20,324,9,0,0,74
Montenegro,6/4/20,324,9,0,0,75
Montenegro,6/5/20,324,9,0,0,76
Montenegro,6/6/20,324,9,0,0,77
Montenegro,6/7/20,324,9,0,0,78
Montenegro,6/8/20,324,9,0,0,79
Montenegro,6/9/20,324,9,0,0,80
Montenegro,6/10/20,324,9,0,0,81
Montenegro,6/11/20,324,9,0,0,82
Montenegro,6/12/20,324,9,0,0,83
Montenegro,6/13/20,324,9,0,0,84
Montenegro,6/14/20,325,9,1,0,85
Montenegro,6/15/20,326,9,1,0,86
Montenegro,6/16/20,326,9,0,0,87
Montenegro,6/17/20,333,9,7,0,88
Montenegro,6/18/20,337,9,4,0,89
Montenegro,6/19/20,355,9,18,0,90
Montenegro,6/20/20,359,9,4,0,91
Montenegro,6/21/20,362,9,3,0,92
Montenegro,6/22/20,367,9,5,0,93
Montenegro,6/23/20,378,9,11,0,94
Montenegro,6/24/20,389,9,11,0,95
Montenegro,6/25/20,414,9,25,0,96
Montenegro,6/26/20,439,9,25,0,97
Montenegro,6/27/20,469,9,30,0,98
Montenegro,6/28/20,481,11,12,2,99
Montenegro,6/29/20,501,11,20,0,100
Montenegro,6/30/20,548,12,47,1,101
Montenegro,7/1/20,576,12,28,0,102
Montenegro,7/2/20,616,12,40,0,103
Montenegro,7/3/20,663,13,47,1,104
Montenegro,7/4/20,720,14,57,1,105
Montenegro,7/5/20,781,14,61,0,106
Montenegro,7/6/20,841,14,60,0,107
Montenegro,7/7/20,907,17,66,3,108
Montenegro,7/8/20,960,17,53,0,109
Montenegro,7/9/20,1019,19,59,2,110
Montenegro,7/10/20,1019,19,0,0,111
Montenegro,7/11/20,1164,23,145,4,112
Montenegro,7/12/20,1221,23,57,0,113
Montenegro,7/13/20,1287,24,66,1,114
Montenegro,7/14/20,1287,24,0,0,115
Montenegro,7/15/20,1287,24,0,0,116
Montenegro,7/16/20,1287,24,0,0,117
Montenegro,7/17/20,1965,26,678,2,118
Montenegro,7/18/20,2072,30,107,4,119
Montenegro,7/19/20,2188,32,116,2,120
Montenegro,7/20/20,2188,32,0,0,121
Montenegro,7/21/20,2381,35,193,3,122
Montenegro,7/22/20,2472,39,91,4,123
Montenegro,7/23/20,2569,40,97,1,124
Montenegro,7/24/20,2665,43,96,3,125
Montenegro,7/25/20,2747,43,82,0,126
Montenegro,7/26/20,2799,43,52,0,127
Montenegro,7/27/20,2893,45,94,2,128
Montenegro,7/28/20,2949,45,56,0,129
Montenegro,7/29/20,3016,47,67,2,130
Montenegro,7/30/20,3016,47,0,0,131
Montenegro,7/31/20,3073,48,57,1,132
Montenegro,8/1/20,3198,50,125,2,133
Montenegro,8/2/20,3258,51,60,1,134
Montenegro,8/3/20,3301,52,43,1,135
Montenegro,8/4/20,3361,53,60,1,136
