country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Oman,3/15/20,22,0,3,0,1
Oman,3/16/20,22,0,0,0,2
Oman,3/17/20,24,0,2,0,3
Oman,3/18/20,39,0,15,0,4
Oman,3/19/20,48,0,9,0,5
Oman,3/20/20,48,0,0,0,6
Oman,3/21/20,52,0,4,0,7
Oman,3/22/20,55,0,3,0,8
Oman,3/23/20,66,0,11,0,9
Oman,3/24/20,84,0,18,0,10
Oman,3/25/20,99,0,15,0,11
Oman,3/26/20,109,0,10,0,12
Oman,3/27/20,131,0,22,0,13
Oman,3/28/20,152,0,21,0,14
Oman,3/29/20,167,0,15,0,15
Oman,3/30/20,179,0,12,0,16
Oman,3/31/20,192,1,13,1,17
Oman,4/1/20,210,1,18,0,18
Oman,4/2/20,231,1,21,0,19
Oman,4/3/20,252,1,21,0,20
Oman,4/4/20,277,2,25,1,21
Oman,4/5/20,298,2,21,0,22
Oman,4/6/20,331,2,33,0,23
Oman,4/7/20,371,2,40,0,24
Oman,4/8/20,419,2,48,0,25
Oman,4/9/20,457,3,38,1,26
Oman,4/10/20,484,3,27,0,27
Oman,4/11/20,546,3,62,0,28
Oman,4/12/20,599,4,53,1,29
Oman,4/13/20,727,4,128,0,30
Oman,4/14/20,813,4,86,0,31
Oman,4/15/20,910,4,97,0,32
Oman,4/16/20,1019,4,109,0,33
Oman,4/17/20,1069,6,50,2,34
Oman,4/18/20,1180,6,111,0,35
Oman,4/19/20,1266,7,86,1,36
Oman,4/20/20,1410,7,144,0,37
Oman,4/21/20,1508,8,98,1,38
Oman,4/22/20,1614,8,106,0,39
Oman,4/23/20,1716,9,102,1,40
Oman,4/24/20,1790,10,74,1,41
Oman,4/25/20,1905,10,115,0,42
Oman,4/26/20,1998,10,93,0,43
Oman,4/27/20,2049,10,51,0,44
Oman,4/28/20,2131,10,82,0,45
Oman,4/29/20,2274,10,143,0,46
Oman,4/30/20,2348,11,74,1,47
Oman,5/1/20,2447,11,99,0,48
Oman,5/2/20,2483,12,36,1,49
Oman,5/3/20,2568,12,85,0,50
Oman,5/4/20,2637,12,69,0,51
Oman,5/5/20,2735,13,98,1,52
Oman,5/6/20,2903,13,168,0,53
Oman,5/7/20,2958,15,55,2,54
Oman,5/8/20,3112,16,154,1,55
Oman,5/9/20,3224,17,112,1,56
Oman,5/10/20,3399,17,175,0,57
Oman,5/11/20,3573,17,174,0,58
Oman,5/12/20,3721,17,148,0,59
Oman,5/13/20,4019,17,298,0,60
Oman,5/14/20,4341,18,322,1,61
Oman,5/15/20,4625,20,284,2,62
Oman,5/16/20,5029,21,404,1,63
Oman,5/17/20,5186,22,157,1,64
Oman,5/18/20,5379,25,193,3,65
Oman,5/19/20,5671,27,292,2,66
Oman,5/20/20,6043,30,372,3,67
Oman,5/21/20,6370,31,327,1,68
Oman,5/22/20,6794,34,424,3,69
Oman,5/23/20,7257,36,463,2,70
Oman,5/24/20,7770,37,513,1,71
Oman,5/25/20,7770,37,0,0,72
Oman,5/26/20,8118,37,348,0,73
Oman,5/27/20,8373,39,255,2,74
Oman,5/28/20,9009,40,636,1,75
Oman,5/29/20,9820,40,811,0,76
Oman,5/30/20,10423,42,603,2,77
Oman,5/31/20,11437,49,1014,7,78
Oman,6/1/20,12223,50,786,1,79
Oman,6/2/20,12799,59,576,9,80
Oman,6/3/20,13537,67,738,8,81
Oman,6/4/20,14316,67,779,0,82
Oman,6/5/20,15086,72,770,5,83
Oman,6/6/20,16016,72,930,0,84
Oman,6/7/20,16882,75,866,3,85
Oman,6/8/20,17486,81,604,6,86
Oman,6/9/20,18198,83,712,2,87
Oman,6/10/20,18887,84,689,1,88
Oman,6/11/20,19954,89,1067,5,89
Oman,6/12/20,21071,96,1117,7,90
