country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mauritania,5/15/20,29,3,9,1,1
Mauritania,5/16/20,40,4,11,1,2
Mauritania,5/17/20,62,4,22,0,3
Mauritania,5/18/20,81,4,19,0,4
Mauritania,5/19/20,131,4,50,0,5
Mauritania,5/20/20,141,4,10,0,6
Mauritania,5/21/20,173,5,32,1,7
Mauritania,5/22/20,200,6,27,1,8
Mauritania,5/23/20,227,6,27,0,9
Mauritania,5/24/20,237,6,10,0,10
Mauritania,5/25/20,262,9,25,3,11
Mauritania,5/26/20,268,13,6,4,12
Mauritania,5/27/20,292,16,24,3,13
Mauritania,5/28/20,346,19,54,3,14
Mauritania,5/29/20,423,20,77,1,15
Mauritania,5/30/20,483,20,60,0,16
Mauritania,5/31/20,530,23,47,3,17
Mauritania,6/1/20,588,23,58,0,18
Mauritania,6/2/20,668,31,80,8,19
Mauritania,6/3/20,745,34,77,3,20
Mauritania,6/4/20,784,39,39,5,21
Mauritania,6/5/20,883,43,99,4,22
Mauritania,6/6/20,947,49,64,6,23
Mauritania,6/7/20,1049,55,102,6,24
Mauritania,6/8/20,1104,59,55,4,25
Mauritania,6/9/20,1162,61,58,2,26
Mauritania,6/10/20,1283,71,121,10,27
Mauritania,6/11/20,1439,74,156,3,28
Mauritania,6/12/20,1572,81,133,7,29
Mauritania,6/13/20,1682,83,110,2,30
Mauritania,6/14/20,1783,87,101,4,31
Mauritania,6/15/20,1887,91,104,4,32
Mauritania,6/16/20,2057,93,170,2,33
Mauritania,6/17/20,2223,95,166,2,34
Mauritania,6/18/20,2424,97,201,2,35
Mauritania,6/19/20,2621,102,197,5,36
Mauritania,6/20/20,2813,108,192,6,37
Mauritania,6/21/20,2984,111,171,3,38
Mauritania,6/22/20,3121,112,137,1,39
Mauritania,6/23/20,3292,114,171,2,40
Mauritania,6/24/20,3519,116,227,2,41
Mauritania,6/25/20,3739,119,220,3,42
Mauritania,6/26/20,3907,120,168,1,43
Mauritania,6/27/20,4025,121,118,1,44
Mauritania,6/28/20,4149,126,124,5,45
Mauritania,6/29/20,4237,128,88,2,46
Mauritania,6/30/20,4363,129,126,1,47
Mauritania,7/1/20,4472,129,109,0,48
Mauritania,7/2/20,4606,129,134,0,49
Mauritania,7/3/20,4705,129,99,0,50
Mauritania,7/4/20,4827,129,122,0,51
Mauritania,7/5/20,4879,130,52,1,52
Mauritania,7/6/20,4948,133,69,3,53
Mauritania,7/7/20,5024,135,76,2,54
Mauritania,7/8/20,5087,139,63,4,55
Mauritania,7/9/20,5126,144,39,5,56
Mauritania,7/10/20,5203,146,77,2,57
Mauritania,7/11/20,5275,147,72,1,58
Mauritania,7/12/20,5355,147,80,0,59
Mauritania,7/13/20,5446,147,91,0,60
Mauritania,7/14/20,5518,147,72,0,61
Mauritania,7/15/20,5564,149,46,2,62
Mauritania,7/16/20,5659,150,95,1,63
Mauritania,7/17/20,5710,151,51,1,64
Mauritania,7/18/20,5813,153,103,2,65
Mauritania,7/19/20,5873,155,60,2,66
Mauritania,7/20/20,5923,155,50,0,67
Mauritania,7/21/20,5985,155,62,0,68
Mauritania,7/22/20,6027,155,42,0,69
Mauritania,7/23/20,6067,156,40,1,70
Mauritania,7/24/20,6116,156,49,0,71
Mauritania,7/25/20,6151,156,35,0,72
Mauritania,7/26/20,6171,156,20,0,73
Mauritania,7/27/20,6208,156,37,0,74
Mauritania,7/28/20,6249,156,41,0,75
Mauritania,7/29/20,6273,156,24,0,76
Mauritania,7/30/20,6295,157,22,1,77
Mauritania,7/31/20,6310,157,15,0,78
Mauritania,8/1/20,6319,157,9,0,79
Mauritania,8/2/20,6323,157,4,0,80
Mauritania,8/3/20,6382,157,59,0,81
Mauritania,8/4/20,6418,157,36,0,82
Mauritania,8/5/20,6444,157,26,0,83
Mauritania,8/6/20,6444,157,0,0,84
Mauritania,8/7/20,6498,157,54,0,85
Mauritania,8/8/20,6510,157,12,0,86
Mauritania,8/9/20,6523,157,13,0,87
Mauritania,8/10/20,6555,157,32,0,88
Mauritania,8/11/20,6598,157,43,0,89
Mauritania,8/12/20,6622,157,24,0,90
Mauritania,8/13/20,6653,157,31,0,91
Mauritania,8/14/20,6676,157,23,0,92
Mauritania,8/15/20,6693,157,17,0,93
Mauritania,8/16/20,6701,157,8,0,94
Mauritania,8/17/20,6762,157,61,0,95
Mauritania,8/18/20,6789,157,27,0,96
Mauritania,8/19/20,6829,158,40,1,97
Mauritania,8/20/20,6848,158,19,0,98
Mauritania,8/21/20,6885,158,37,0,99
Mauritania,8/22/20,6894,158,9,0,100
Mauritania,8/23/20,6905,158,11,0,101
Mauritania,8/24/20,6928,158,23,0,102
Mauritania,8/25/20,6960,158,32,0,103
Mauritania,8/26/20,6977,158,17,0,104
Mauritania,8/27/20,6993,158,16,0,105
Mauritania,8/28/20,7012,158,19,0,106
Mauritania,8/29/20,7012,158,0,0,107
Mauritania,8/30/20,7016,159,4,1,108
Mauritania,8/31/20,7048,159,32,0,109
Mauritania,9/1/20,7075,159,27,0,110
Mauritania,9/2/20,7089,160,14,1,111
Mauritania,9/3/20,7106,160,17,0,112
Mauritania,9/4/20,7126,160,20,0,113
Mauritania,9/5/20,7134,160,8,0,114
Mauritania,9/6/20,7142,160,8,0,115
Mauritania,9/7/20,7165,160,23,0,116
Mauritania,9/8/20,7165,160,0,0,117
Mauritania,9/9/20,7191,161,26,1,118
Mauritania,9/10/20,7222,161,31,0,119
Mauritania,9/11/20,7266,161,44,0,120
Mauritania,9/12/20,7274,161,8,0,121
Mauritania,9/13/20,7276,161,2,0,122
Mauritania,9/14/20,7295,161,19,0,123
Mauritania,9/15/20,7319,161,24,0,124
Mauritania,9/16/20,7332,161,13,0,125
Mauritania,9/17/20,7346,161,14,0,126
Mauritania,9/18/20,7361,161,15,0,127
Mauritania,9/19/20,7365,161,4,0,128
Mauritania,9/20/20,7368,161,3,0,129
Mauritania,9/21/20,7384,161,16,0,130
Mauritania,9/22/20,7403,161,19,0,131
Mauritania,9/23/20,7425,161,22,0,132
Mauritania,9/24/20,7433,161,8,0,133
Mauritania,9/25/20,7457,161,24,0,134
Mauritania,9/26/20,7462,161,5,0,135
Mauritania,9/27/20,7464,161,2,0,136
Mauritania,9/28/20,7474,161,10,0,137
Mauritania,9/29/20,7488,161,14,0,138
Mauritania,9/30/20,7502,161,14,0,139
Mauritania,10/1/20,7505,161,3,0,140
Mauritania,10/2/20,7511,162,6,1,141
Mauritania,10/3/20,7517,162,6,0,142
Mauritania,10/4/20,7520,162,3,0,143
Mauritania,10/5/20,7523,162,3,0,144
Mauritania,10/6/20,7529,162,6,0,145
Mauritania,10/7/20,7535,162,6,0,146
Mauritania,10/8/20,7540,162,5,0,147
Mauritania,10/9/20,7548,163,8,1,148
Mauritania,10/10/20,7550,163,2,0,149
Mauritania,10/11/20,7550,163,0,0,150
Mauritania,10/12/20,7554,163,4,0,151
Mauritania,10/13/20,7565,163,11,0,152
Mauritania,10/14/20,7572,163,7,0,153
Mauritania,10/15/20,7585,163,13,0,154
Mauritania,10/16/20,7603,163,18,0,155
Mauritania,10/17/20,7607,163,4,0,156
