country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Belize,6/15/20,21,2,1,0,1
Belize,6/16/20,22,2,1,0,2
Belize,6/17/20,22,2,0,0,3
Belize,6/18/20,22,2,0,0,4
Belize,6/19/20,22,2,0,0,5
Belize,6/20/20,22,2,0,0,6
Belize,6/21/20,22,2,0,0,7
Belize,6/22/20,23,2,1,0,8
Belize,6/23/20,23,2,0,0,9
Belize,6/24/20,23,2,0,0,10
Belize,6/25/20,23,2,0,0,11
Belize,6/26/20,24,2,1,0,12
Belize,6/27/20,24,2,0,0,13
Belize,6/28/20,24,2,0,0,14
Belize,6/29/20,24,2,0,0,15
Belize,6/30/20,24,2,0,0,16
Belize,7/1/20,28,2,4,0,17
Belize,7/2/20,28,2,0,0,18
Belize,7/3/20,30,2,2,0,19
Belize,7/4/20,30,2,0,0,20
Belize,7/5/20,30,2,0,0,21
Belize,7/6/20,30,2,0,0,22
Belize,7/7/20,30,2,0,0,23
Belize,7/8/20,30,2,0,0,24
Belize,7/9/20,30,2,0,0,25
Belize,7/10/20,37,2,7,0,26
Belize,7/11/20,37,2,0,0,27
Belize,7/12/20,37,2,0,0,28
Belize,7/13/20,37,2,0,0,29
Belize,7/14/20,39,2,2,0,30
Belize,7/15/20,39,2,0,0,31
Belize,7/16/20,40,2,1,0,32
Belize,7/17/20,40,2,0,0,33
Belize,7/18/20,40,2,0,0,34
Belize,7/19/20,40,2,0,0,35
Belize,7/20/20,40,2,0,0,36
Belize,7/21/20,42,2,2,0,37
Belize,7/22/20,43,2,1,0,38
Belize,7/23/20,47,2,4,0,39
Belize,7/24/20,48,2,1,0,40
Belize,7/25/20,48,2,0,0,41
Belize,7/26/20,48,2,0,0,42
Belize,7/27/20,48,2,0,0,43
Belize,7/28/20,48,2,0,0,44
Belize,7/29/20,48,2,0,0,45
Belize,7/30/20,48,2,0,0,46
Belize,7/31/20,48,2,0,0,47
Belize,8/1/20,56,2,8,0,48
Belize,8/2/20,57,2,1,0,49
Belize,8/3/20,57,2,0,0,50
Belize,8/4/20,57,2,0,0,51
Belize,8/5/20,86,2,29,0,52
Belize,8/6/20,114,2,28,0,53
Belize,8/7/20,114,2,0,0,54
Belize,8/8/20,146,2,32,0,55
Belize,8/9/20,153,2,7,0,56
Belize,8/10/20,177,2,24,0,57
Belize,8/11/20,177,2,0,0,58
Belize,8/12/20,210,2,33,0,59
Belize,8/13/20,296,2,86,0,60
Belize,8/14/20,356,3,60,1,61
Belize,8/15/20,388,3,32,0,62
Belize,8/16/20,452,3,64,0,63
Belize,8/17/20,475,4,23,1,64
