country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Laos,8/14/20,22,0,2,0,1
Laos,8/15/20,22,0,0,0,2
Laos,8/16/20,22,0,0,0,3
Laos,8/17/20,22,0,0,0,4
Laos,8/18/20,22,0,0,0,5
Laos,8/19/20,22,0,0,0,6
Laos,8/20/20,22,0,0,0,7
Laos,8/21/20,22,0,0,0,8
Laos,8/22/20,22,0,0,0,9
Laos,8/23/20,22,0,0,0,10
Laos,8/24/20,22,0,0,0,11
Laos,8/25/20,22,0,0,0,12
Laos,8/26/20,22,0,0,0,13
Laos,8/27/20,22,0,0,0,14
Laos,8/28/20,22,0,0,0,15
Laos,8/29/20,22,0,0,0,16
Laos,8/30/20,22,0,0,0,17
Laos,8/31/20,22,0,0,0,18
Laos,9/1/20,22,0,0,0,19
Laos,9/2/20,22,0,0,0,20
Laos,9/3/20,22,0,0,0,21
Laos,9/4/20,22,0,0,0,22
Laos,9/5/20,22,0,0,0,23
Laos,9/6/20,22,0,0,0,24
Laos,9/7/20,22,0,0,0,25
Laos,9/8/20,22,0,0,0,26
Laos,9/9/20,22,0,0,0,27
Laos,9/10/20,22,0,0,0,28
Laos,9/11/20,23,0,1,0,29
Laos,9/12/20,23,0,0,0,30
Laos,9/13/20,23,0,0,0,31
Laos,9/14/20,23,0,0,0,32
Laos,9/15/20,23,0,0,0,33
Laos,9/16/20,23,0,0,0,34
Laos,9/17/20,23,0,0,0,35
Laos,9/18/20,23,0,0,0,36
Laos,9/19/20,23,0,0,0,37
Laos,9/20/20,23,0,0,0,38
Laos,9/21/20,23,0,0,0,39
Laos,9/22/20,23,0,0,0,40
Laos,9/23/20,23,0,0,0,41
Laos,9/24/20,23,0,0,0,42
Laos,9/25/20,23,0,0,0,43
Laos,9/26/20,23,0,0,0,44
Laos,9/27/20,23,0,0,0,45
Laos,9/28/20,23,0,0,0,46
Laos,9/29/20,23,0,0,0,47
Laos,9/30/20,23,0,0,0,48
Laos,10/1/20,23,0,0,0,49
Laos,10/2/20,23,0,0,0,50
Laos,10/3/20,23,0,0,0,51
Laos,10/4/20,23,0,0,0,52
Laos,10/5/20,23,0,0,0,53
Laos,10/6/20,23,0,0,0,54
Laos,10/7/20,23,0,0,0,55
Laos,10/8/20,23,0,0,0,56
Laos,10/9/20,23,0,0,0,57
Laos,10/10/20,23,0,0,0,58
Laos,10/11/20,23,0,0,0,59
Laos,10/12/20,23,0,0,0,60
Laos,10/13/20,23,0,0,0,61
Laos,10/14/20,23,0,0,0,62
Laos,10/15/20,23,0,0,0,63
Laos,10/16/20,23,0,0,0,64
Laos,10/17/20,23,0,0,0,65
Laos,10/18/20,23,0,0,0,66
Laos,10/19/20,23,0,0,0,67
Laos,10/20/20,23,0,0,0,68
Laos,10/21/20,24,0,1,0,69
Laos,10/22/20,24,0,0,0,70
Laos,10/23/20,24,0,0,0,71
Laos,10/24/20,24,0,0,0,72
Laos,10/25/20,24,0,0,0,73
Laos,10/26/20,24,0,0,0,74
Laos,10/27/20,24,0,0,0,75
Laos,10/28/20,24,0,0,0,76
Laos,10/29/20,24,0,0,0,77
Laos,10/30/20,24,0,0,0,78
Laos,10/31/20,24,0,0,0,79
Laos,11/1/20,24,0,0,0,80
Laos,11/2/20,24,0,0,0,81
Laos,11/3/20,24,0,0,0,82
Laos,11/4/20,24,0,0,0,83
Laos,11/5/20,24,0,0,0,84
Laos,11/6/20,24,0,0,0,85
Laos,11/7/20,24,0,0,0,86
Laos,11/8/20,24,0,0,0,87
Laos,11/9/20,24,0,0,0,88
Laos,11/10/20,24,0,0,0,89
Laos,11/11/20,24,0,0,0,90
Laos,11/12/20,24,0,0,0,91
Laos,11/13/20,24,0,0,0,92
Laos,11/14/20,24,0,0,0,93
Laos,11/15/20,24,0,0,0,94
Laos,11/16/20,24,0,0,0,95
Laos,11/17/20,25,0,1,0,96
Laos,11/18/20,25,0,0,0,97
Laos,11/19/20,25,0,0,0,98
Laos,11/20/20,25,0,0,0,99
