country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Brazil,3/9/20,25,0,5,0,1
Brazil,3/10/20,31,0,6,0,2
Brazil,3/11/20,38,0,7,0,3
Brazil,3/12/20,52,0,14,0,4
Brazil,3/13/20,151,0,99,0,5
Brazil,3/14/20,151,0,0,0,6
Brazil,3/15/20,162,0,11,0,7
Brazil,3/16/20,200,0,38,0,8
Brazil,3/17/20,321,1,121,1,9
Brazil,3/18/20,372,3,51,2,10
Brazil,3/19/20,621,6,249,3,11
Brazil,3/20/20,793,11,172,5,12
Brazil,3/21/20,1021,15,228,4,13
Brazil,3/22/20,1546,25,525,10,14
Brazil,3/23/20,1924,34,378,9,15
Brazil,3/24/20,2247,46,323,12,16
Brazil,3/25/20,2554,59,307,13,17
Brazil,3/26/20,2985,77,431,18,18
Brazil,3/27/20,3417,92,432,15,19
Brazil,3/28/20,3904,111,487,19,20
Brazil,3/29/20,4256,136,352,25,21
Brazil,3/30/20,4579,159,323,23,22
Brazil,3/31/20,5717,201,1138,42,23
Brazil,4/1/20,6836,240,1119,39,24
Brazil,4/2/20,8044,324,1208,84,25
Brazil,4/3/20,9056,359,1012,35,26
Brazil,4/4/20,10360,445,1304,86,27
Brazil,4/5/20,11130,486,770,41,28
Brazil,4/6/20,12161,564,1031,78,29
Brazil,4/7/20,14034,686,1873,122,30
Brazil,4/8/20,16170,819,2136,133,31
Brazil,4/9/20,18092,950,1922,131,32
Brazil,4/10/20,19638,1057,1546,107,33
Brazil,4/11/20,20727,1124,1089,67,34
Brazil,4/12/20,22192,1223,1465,99,35
Brazil,4/13/20,23430,1328,1238,105,36
Brazil,4/14/20,25262,1532,1832,204,37
Brazil,4/15/20,28320,1736,3058,204,38
Brazil,4/16/20,30425,1924,2105,188,39
Brazil,4/17/20,33682,2141,3257,217,40
Brazil,4/18/20,36658,2354,2976,213,41
Brazil,4/19/20,38654,2462,1996,108,42
Brazil,4/20/20,40743,2587,2089,125,43
Brazil,4/21/20,43079,2741,2336,154,44
Brazil,4/22/20,45757,2906,2678,165,45
Brazil,4/23/20,50036,3331,4279,425,46
Brazil,4/24/20,54043,3704,4007,373,47
Brazil,4/25/20,59324,4057,5281,353,48
Brazil,4/26/20,63100,4286,3776,229,49
Brazil,4/27/20,67446,4603,4346,317,50
Brazil,4/28/20,73235,5083,5789,480,51
Brazil,4/29/20,79685,5513,6450,430,52
Brazil,4/30/20,87187,6006,7502,493,53
Brazil,5/1/20,92202,6412,5015,406,54
Brazil,5/2/20,97100,6761,4898,349,55
Brazil,5/3/20,101826,7051,4726,290,56
Brazil,5/4/20,108620,7367,6794,316,57
Brazil,5/5/20,115455,7938,6835,571,58
Brazil,5/6/20,126611,8588,11156,650,59
Brazil,5/7/20,135773,9190,9162,602,60
Brazil,5/8/20,146894,10017,11121,827,61
Brazil,5/9/20,156061,10656,9167,639,62
Brazil,5/10/20,162699,11123,6638,467,63
Brazil,5/11/20,169594,11653,6895,530,64
Brazil,5/12/20,178214,12461,8620,808,65
Brazil,5/13/20,190137,13240,11923,779,66
Brazil,5/14/20,203165,13999,13028,759,67
Brazil,5/15/20,220291,14962,17126,963,68
Brazil,5/16/20,233511,15662,13220,700,69
Brazil,5/17/20,241080,16118,7569,456,70
Brazil,5/18/20,255368,16853,14288,735,71
Brazil,5/19/20,271885,17983,16517,1130,72
Brazil,5/20/20,291579,18859,19694,876,73
Brazil,5/21/20,310087,20047,18508,1188,74
Brazil,5/22/20,330890,21048,20803,1001,75
Brazil,5/23/20,347398,22013,16508,965,76
Brazil,5/24/20,363211,22666,15813,653,77
Brazil,5/25/20,374898,23473,11687,807,78
Brazil,5/26/20,391222,24512,16324,1039,79
Brazil,5/27/20,411821,25598,20599,1086,80
