country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Nigeria,3/21/20,22,0,10,0,1
Nigeria,3/22/20,30,0,8,0,2
Nigeria,3/23/20,40,1,10,1,3
Nigeria,3/24/20,44,1,4,0,4
Nigeria,3/25/20,51,1,7,0,5
Nigeria,3/26/20,65,1,14,0,6
Nigeria,3/27/20,70,1,5,0,7
Nigeria,3/28/20,89,1,19,0,8
Nigeria,3/29/20,111,1,22,0,9
Nigeria,3/30/20,131,2,20,1,10
Nigeria,3/31/20,135,2,4,0,11
Nigeria,4/1/20,174,2,39,0,12
Nigeria,4/2/20,184,2,10,0,13
Nigeria,4/3/20,210,4,26,2,14
Nigeria,4/4/20,214,4,4,0,15
Nigeria,4/5/20,232,5,18,1,16
Nigeria,4/6/20,238,5,6,0,17
Nigeria,4/7/20,254,6,16,1,18
Nigeria,4/8/20,276,6,22,0,19
Nigeria,4/9/20,288,7,12,1,20
Nigeria,4/10/20,305,7,17,0,21
Nigeria,4/11/20,318,10,13,3,22
Nigeria,4/12/20,323,10,5,0,23
Nigeria,4/13/20,343,10,20,0,24
Nigeria,4/14/20,373,11,30,1,25
Nigeria,4/15/20,407,12,34,1,26
Nigeria,4/16/20,442,13,35,1,27
Nigeria,4/17/20,493,17,51,4,28
Nigeria,4/18/20,542,19,49,2,29
Nigeria,4/19/20,627,21,85,2,30
Nigeria,4/20/20,665,22,38,1,31
Nigeria,4/21/20,665,22,0,0,32
Nigeria,4/22/20,873,28,208,6,33
Nigeria,4/23/20,981,31,108,3,34
Nigeria,4/24/20,1095,32,114,1,35
Nigeria,4/25/20,1182,35,87,3,36
Nigeria,4/26/20,1273,40,91,5,37
Nigeria,4/27/20,1337,40,64,0,38
Nigeria,4/28/20,1532,44,195,4,39
Nigeria,4/29/20,1728,51,196,7,40
Nigeria,4/30/20,1932,58,204,7,41
Nigeria,5/1/20,2170,68,238,10,42
Nigeria,5/2/20,2388,85,218,17,43
Nigeria,5/3/20,2558,87,170,2,44
Nigeria,5/4/20,2802,93,244,6,45
Nigeria,5/5/20,2950,98,148,5,46
Nigeria,5/6/20,3145,103,195,5,47
Nigeria,5/7/20,3526,107,381,4,48
Nigeria,5/8/20,3912,117,386,10,49
Nigeria,5/9/20,4151,128,239,11,50
Nigeria,5/10/20,4399,143,248,15,51
Nigeria,5/11/20,4641,150,242,7,52
Nigeria,5/12/20,4787,158,146,8,53
Nigeria,5/13/20,4971,164,184,6,54
Nigeria,5/14/20,5162,167,191,3,55
Nigeria,5/15/20,5450,171,288,4,56
Nigeria,5/16/20,5621,176,171,5,57
Nigeria,5/17/20,5959,182,338,6,58
Nigeria,5/18/20,6175,191,216,9,59
Nigeria,5/19/20,6401,192,226,1,60
