country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Venezuela,3/17/20,33,0,16,0,1
Venezuela,3/18/20,36,0,3,0,2
Venezuela,3/19/20,42,0,6,0,3
Venezuela,3/20/20,42,0,0,0,4
Venezuela,3/21/20,70,0,28,0,5
Venezuela,3/22/20,70,0,0,0,6
Venezuela,3/23/20,77,0,7,0,7
Venezuela,3/24/20,84,0,7,0,8
Venezuela,3/25/20,91,0,7,0,9
Venezuela,3/26/20,107,0,16,0,10
Venezuela,3/27/20,107,1,0,1,11
Venezuela,3/28/20,119,2,12,1,12
Venezuela,3/29/20,119,2,0,0,13
Venezuela,3/30/20,135,3,16,1,14
Venezuela,3/31/20,135,3,0,0,15
Venezuela,4/1/20,143,3,8,0,16
Venezuela,4/2/20,146,5,3,2,17
Venezuela,4/3/20,153,7,7,2,18
Venezuela,4/4/20,155,7,2,0,19
Venezuela,4/5/20,159,7,4,0,20
Venezuela,4/6/20,165,7,6,0,21
Venezuela,4/7/20,165,7,0,0,22
Venezuela,4/8/20,167,9,2,2,23
Venezuela,4/9/20,171,9,4,0,24
Venezuela,4/10/20,171,9,0,0,25
Venezuela,4/11/20,175,9,4,0,26
Venezuela,4/12/20,181,9,6,0,27
Venezuela,4/13/20,189,9,8,0,28
Venezuela,4/14/20,189,9,0,0,29
Venezuela,4/15/20,197,9,8,0,30
Venezuela,4/16/20,204,9,7,0,31
Venezuela,4/17/20,204,9,0,0,32
Venezuela,4/18/20,227,9,23,0,33
Venezuela,4/19/20,256,9,29,0,34
Venezuela,4/20/20,256,9,0,0,35
Venezuela,4/21/20,285,10,29,1,36
Venezuela,4/22/20,288,10,3,0,37
Venezuela,4/23/20,311,10,23,0,38
Venezuela,4/24/20,318,10,7,0,39
Venezuela,4/25/20,323,10,5,0,40
Venezuela,4/26/20,325,10,2,0,41
Venezuela,4/27/20,329,10,4,0,42
Venezuela,4/28/20,329,10,0,0,43
Venezuela,4/29/20,331,10,2,0,44
Venezuela,4/30/20,333,16,2,6,45
Venezuela,5/1/20,335,10,2,-6,46
Venezuela,5/2/20,345,10,10,0,47
Venezuela,5/3/20,357,10,12,0,48
Venezuela,5/4/20,357,10,0,0,49
Venezuela,5/5/20,361,10,4,0,50
Venezuela,5/6/20,379,10,18,0,51
Venezuela,5/7/20,381,10,2,0,52
Venezuela,5/8/20,388,10,7,0,53
Venezuela,5/9/20,402,10,14,0,54
Venezuela,5/10/20,414,10,12,0,55
Venezuela,5/11/20,422,10,8,0,56
Venezuela,5/12/20,423,10,1,0,57
Venezuela,5/13/20,423,10,0,0,58
Venezuela,5/14/20,455,10,32,0,59
Venezuela,5/15/20,459,10,4,0,60
Venezuela,5/16/20,504,10,45,0,61
Venezuela,5/17/20,541,10,37,0,62
Venezuela,5/18/20,618,10,77,0,63
Venezuela,5/19/20,749,10,131,0,64
Venezuela,5/20/20,824,10,75,0,65
Venezuela,5/21/20,882,10,58,0,66
Venezuela,5/22/20,944,10,62,0,67
Venezuela,5/23/20,1010,10,66,0,68
Venezuela,5/24/20,1121,10,111,0,69
Venezuela,5/25/20,1177,10,56,0,70
Venezuela,5/26/20,1211,11,34,1,71
Venezuela,5/27/20,1245,11,34,0,72
Venezuela,5/28/20,1325,11,80,0,73
Venezuela,5/29/20,1370,14,45,3,74
Venezuela,5/30/20,1459,14,89,0,75
Venezuela,5/31/20,1510,14,51,0,76
Venezuela,6/1/20,1662,17,152,3,77
Venezuela,6/2/20,1819,18,157,1,78
Venezuela,6/3/20,1952,20,133,2,79
Venezuela,6/4/20,2087,20,135,0,80
Venezuela,6/5/20,2145,20,58,0,81
Venezuela,6/6/20,2316,22,171,2,82
Venezuela,6/7/20,2377,22,61,0,83
Venezuela,6/8/20,2473,22,96,0,84
Venezuela,6/9/20,2632,23,159,1,85
Venezuela,6/10/20,2738,23,106,0,86
Venezuela,6/11/20,2814,23,76,0,87
Venezuela,6/12/20,2879,23,65,0,88
Venezuela,6/13/20,2904,24,25,1,89
Venezuela,6/14/20,2978,25,74,1,90
Venezuela,6/15/20,3062,26,84,1,91
Venezuela,6/16/20,3150,27,88,1,92
Venezuela,6/17/20,3386,28,236,1,93
Venezuela,6/18/20,3483,28,97,0,94
Venezuela,6/19/20,3591,30,108,2,95
Venezuela,6/20/20,3789,33,198,3,96
Venezuela,6/21/20,3917,33,128,0,97
Venezuela,6/22/20,4048,35,131,2,98
Venezuela,6/23/20,4187,35,139,0,99
Venezuela,6/24/20,4366,38,179,3,100
Venezuela,6/25/20,4563,39,197,1,101
Venezuela,6/26/20,4779,41,216,2,102
Venezuela,6/27/20,5130,42,351,1,103
Venezuela,6/28/20,5297,44,167,2,104
Venezuela,6/29/20,5530,48,233,4,105
Venezuela,6/30/20,5832,51,302,3,106
Venezuela,7/1/20,6062,54,230,3,107
Venezuela,7/2/20,6273,57,211,3,108
Venezuela,7/3/20,6537,59,264,2,109
Venezuela,7/4/20,6750,62,213,3,110
Venezuela,7/5/20,7169,65,419,3,111
Venezuela,7/6/20,7411,68,242,3,112
Venezuela,7/7/20,7693,71,282,3,113
Venezuela,7/8/20,8008,75,315,4,114
Venezuela,7/9/20,8372,80,364,5,115
Venezuela,7/10/20,8803,83,431,3,116
Venezuela,7/11/20,9178,85,375,2,117
Venezuela,7/12/20,9465,89,287,4,118
Venezuela,7/13/20,9707,93,242,4,119
Venezuela,7/14/20,10010,96,303,3,120
Venezuela,7/15/20,10428,100,418,4,121
Venezuela,7/16/20,10854,104,426,4,122
Venezuela,7/17/20,11191,107,337,3,123
Venezuela,7/18/20,11483,110,292,3,124
Venezuela,7/19/20,11891,112,408,2,125
