country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Algeria,3/12/20,24,1,4,1,1
Algeria,3/13/20,26,2,2,1,2
Algeria,3/14/20,37,3,11,1,3
Algeria,3/15/20,48,4,11,1,4
Algeria,3/16/20,54,4,6,0,5
Algeria,3/17/20,60,4,6,0,6
Algeria,3/18/20,74,7,14,3,7
Algeria,3/19/20,87,9,13,2,8
Algeria,3/20/20,90,11,3,2,9
Algeria,3/21/20,139,15,49,4,10
Algeria,3/22/20,201,17,62,2,11
Algeria,3/23/20,230,17,29,0,12
Algeria,3/24/20,264,19,34,2,13
Algeria,3/25/20,302,21,38,2,14
Algeria,3/26/20,367,25,65,4,15
Algeria,3/27/20,409,26,42,1,16
Algeria,3/28/20,454,29,45,3,17
Algeria,3/29/20,511,31,57,2,18
Algeria,3/30/20,584,35,73,4,19
Algeria,3/31/20,716,44,132,9,20
Algeria,4/1/20,847,58,131,14,21
Algeria,4/2/20,986,86,139,28,22
Algeria,4/3/20,1171,105,185,19,23
Algeria,4/4/20,1251,130,80,25,24
Algeria,4/5/20,1320,152,69,22,25
Algeria,4/6/20,1423,173,103,21,26
Algeria,4/7/20,1468,193,45,20,27
Algeria,4/8/20,1572,205,104,12,28
Algeria,4/9/20,1666,235,94,30,29
Algeria,4/10/20,1761,256,95,21,30
Algeria,4/11/20,1825,275,64,19,31
Algeria,4/12/20,1914,293,89,18,32
Algeria,4/13/20,1983,313,69,20,33
Algeria,4/14/20,2070,326,87,13,34
Algeria,4/15/20,2160,336,90,10,35
Algeria,4/16/20,2268,348,108,12,36
Algeria,4/17/20,2418,364,150,16,37
Algeria,4/18/20,2534,367,116,3,38
Algeria,4/19/20,2629,375,95,8,39
Algeria,4/20/20,2718,384,89,9,40
Algeria,4/21/20,2811,392,93,8,41
Algeria,4/22/20,2910,402,99,10,42
Algeria,4/23/20,3007,407,97,5,43
Algeria,4/24/20,3127,415,120,8,44
Algeria,4/25/20,3256,419,129,4,45
Algeria,4/26/20,3382,425,126,6,46
Algeria,4/27/20,3517,432,135,7,47
Algeria,4/28/20,3649,437,132,5,48
Algeria,4/29/20,3848,444,199,7,49
Algeria,4/30/20,4006,450,158,6,50
Algeria,5/1/20,4154,453,148,3,51
Algeria,5/2/20,4295,459,141,6,52
Algeria,5/3/20,4474,463,179,4,53
Algeria,5/4/20,4648,465,174,2,54
Algeria,5/5/20,4838,470,190,5,55
Algeria,5/6/20,4997,476,159,6,56
Algeria,5/7/20,5182,483,185,7,57
Algeria,5/8/20,5369,488,187,5,58
Algeria,5/9/20,5558,494,189,6,59
Algeria,5/10/20,5723,502,165,8,60
Algeria,5/11/20,5891,507,168,5,61
Algeria,5/12/20,6067,515,176,8,62
Algeria,5/13/20,6253,522,186,7,63
Algeria,5/14/20,6442,529,189,7,64
Algeria,5/15/20,6629,536,187,7,65
Algeria,5/16/20,6821,542,192,6,66
Algeria,5/17/20,7019,548,198,6,67
Algeria,5/18/20,7201,555,182,7,68
Algeria,5/19/20,7377,561,176,6,69
Algeria,5/20/20,7542,568,165,7,70
Algeria,5/21/20,7728,575,186,7,71
Algeria,5/22/20,7918,582,190,7,72
Algeria,5/23/20,8113,592,195,10,73
Algeria,5/24/20,8306,600,193,8,74
Algeria,5/25/20,8503,609,197,9,75
Algeria,5/26/20,8697,617,194,8,76
Algeria,5/27/20,8857,623,160,6,77
Algeria,5/28/20,8997,630,140,7,78
Algeria,5/29/20,9134,638,137,8,79
Algeria,5/30/20,9267,646,133,8,80
Algeria,5/31/20,9394,653,127,7,81
Algeria,6/1/20,9513,661,119,8,82
Algeria,6/2/20,9626,667,113,6,83
Algeria,6/3/20,9733,673,107,6,84
Algeria,6/4/20,9831,681,98,8,85
Algeria,6/5/20,9935,690,104,9,86
Algeria,6/6/20,10050,698,115,8,87
Algeria,6/7/20,10154,707,104,9,88
Algeria,6/8/20,10265,715,111,8,89
Algeria,6/9/20,10382,724,117,9,90
Algeria,6/10/20,10484,732,102,8,91
Algeria,6/11/20,10589,741,105,9,92
Algeria,6/12/20,10698,751,109,10,93
Algeria,6/13/20,10810,760,112,9,94
Algeria,6/14/20,10919,767,109,7,95
Algeria,6/15/20,11031,777,112,10,96
Algeria,6/16/20,11147,788,116,11,97
Algeria,6/17/20,11268,799,121,11,98
Algeria,6/18/20,11385,811,117,12,99
Algeria,6/19/20,11504,825,119,14,100
Algeria,6/20/20,11631,837,127,12,101
Algeria,6/21/20,11771,845,140,8,102
Algeria,6/22/20,11920,852,149,7,103
Algeria,6/23/20,12076,861,156,9,104
Algeria,6/24/20,12248,869,172,8,105
Algeria,6/25/20,12445,878,197,9,106
Algeria,6/26/20,12685,885,240,7,107
Algeria,6/27/20,12968,892,283,7,108
Algeria,6/28/20,13273,897,305,5,109
Algeria,6/29/20,13571,905,298,8,110
Algeria,6/30/20,13907,912,336,7,111
Algeria,7/1/20,14272,920,365,8,112
Algeria,7/2/20,14657,928,385,8,113
Algeria,7/3/20,15070,937,413,9,114
Algeria,7/4/20,15500,946,430,9,115
Algeria,7/5/20,15941,952,441,6,116
Algeria,7/6/20,16404,959,463,7,117
Algeria,7/7/20,16879,968,475,9,118
Algeria,7/8/20,17348,978,469,10,119
Algeria,7/9/20,17808,988,460,10,120
Algeria,7/10/20,18242,996,434,8,121
Algeria,7/11/20,18712,1004,470,8,122
Algeria,7/12/20,19195,1011,483,7,123
Algeria,7/13/20,19689,1018,494,7,124
Algeria,7/14/20,20216,1028,527,10,125
Algeria,7/15/20,20770,1040,554,12,126
Algeria,7/16/20,21355,1052,585,12,127
Algeria,7/17/20,21948,1057,593,5,128
Algeria,7/18/20,22549,1068,601,11,129
Algeria,7/19/20,23084,1078,535,10,130
Algeria,7/20/20,23691,1087,607,9,131
Algeria,7/21/20,24278,1100,587,13,132
Algeria,7/22/20,24872,1111,594,11,133
Algeria,7/23/20,25484,1124,612,13,134
Algeria,7/24/20,26159,1136,675,12,135
Algeria,7/25/20,26764,1146,605,10,136
Algeria,7/26/20,27357,1155,593,9,137
Algeria,7/27/20,27973,1163,616,8,138
Algeria,7/28/20,28615,1174,642,11,139
Algeria,7/29/20,29229,1186,614,12,140
Algeria,7/30/20,29831,1200,602,14,141
Algeria,7/31/20,30394,1210,563,10,142
Algeria,8/1/20,30950,1223,556,13,143
Algeria,8/2/20,31465,1231,515,8,144
Algeria,8/3/20,31972,1239,507,8,145
Algeria,8/4/20,32504,1248,532,9,146
Algeria,8/5/20,33055,1261,551,13,147
Algeria,8/6/20,33626,1273,571,12,148
Algeria,8/7/20,34155,1282,529,9,149
Algeria,8/8/20,34693,1293,538,11,150
Algeria,8/9/20,35160,1302,467,9,151
Algeria,8/10/20,35712,1312,552,10,152
Algeria,8/11/20,36204,1322,492,10,153
Algeria,8/12/20,36699,1333,495,11,154
Algeria,8/13/20,37187,1341,488,8,155
Algeria,8/14/20,37664,1351,477,10,156
Algeria,8/15/20,38133,1360,469,9,157
Algeria,8/16/20,38583,1370,450,10,158
Algeria,8/17/20,39025,1379,442,9,159
Algeria,8/18/20,39444,1391,419,12,160
Algeria,8/19/20,39847,1402,403,11,161
Algeria,8/20/20,40258,1411,411,9,162
Algeria,8/21/20,40667,1418,409,7,163
Algeria,8/22/20,41068,1424,401,6,164
Algeria,8/23/20,41460,1435,392,11,165
Algeria,8/24/20,41858,1446,398,11,166
Algeria,8/25/20,42228,1456,370,10,167
Algeria,8/26/20,42619,1465,391,9,168
Algeria,8/27/20,43016,1475,397,10,169
Algeria,8/28/20,43403,1483,387,8,170
Algeria,8/29/20,43781,1491,378,8,171
Algeria,8/30/20,44146,1501,365,10,172
Algeria,8/31/20,44494,1510,348,9,173
Algeria,9/1/20,44833,1518,339,8,174
Algeria,9/2/20,45158,1523,325,5,175
Algeria,9/3/20,45469,1529,311,6,176
Algeria,9/4/20,45773,1539,304,10,177
Algeria,9/5/20,46071,1549,298,10,178
Algeria,9/6/20,46364,1556,293,7,179
Algeria,9/7/20,46653,1562,289,6,180
Algeria,9/8/20,46938,1571,285,9,181
Algeria,9/9/20,47216,1581,278,10,182
Algeria,9/10/20,47488,1591,272,10,183
Algeria,9/11/20,47752,1599,264,8,184
Algeria,9/12/20,48007,1605,255,6,185
Algeria,9/13/20,48254,1612,247,7,186
Algeria,9/14/20,48496,1620,242,8,187
Algeria,9/15/20,48734,1632,238,12,188
Algeria,9/16/20,48966,1645,232,13,189
Algeria,9/17/20,49194,1654,228,9,190
Algeria,9/18/20,49413,1659,219,5,191
Algeria,9/19/20,49623,1665,210,6,192
Algeria,9/20/20,49826,1672,203,7,193
Algeria,9/21/20,50023,1679,197,7,194
Algeria,9/22/20,50214,1689,191,10,195
Algeria,9/23/20,50400,1698,186,9,196
Algeria,9/24/20,50579,1703,179,5,197
Algeria,9/25/20,50754,1707,175,4,198
Algeria,9/26/20,50914,1711,160,4,199
Algeria,9/27/20,51067,1714,153,3,200
Algeria,9/28/20,51213,1719,146,5,201
Algeria,9/29/20,51368,1726,155,7,202
Algeria,9/30/20,51530,1736,162,10,203
Algeria,10/1/20,51690,1741,160,5,204
Algeria,10/2/20,51847,1749,157,8,205
Algeria,10/3/20,51995,1756,148,7,206
Algeria,10/4/20,52136,1760,141,4,207
Algeria,10/5/20,52270,1768,134,8,208
Algeria,10/6/20,52399,1768,129,0,209
Algeria,10/7/20,52520,1771,121,3,210
Algeria,10/8/20,52658,1783,138,12,211
Algeria,10/9/20,52804,1789,146,6,212
Algeria,10/10/20,52940,1795,136,6,213
Algeria,10/11/20,53072,1801,132,6,214
Algeria,10/12/20,53325,1809,253,8,215
Algeria,10/13/20,53399,1818,74,9,216
Algeria,10/14/20,53584,1827,185,9,217
Algeria,10/15/20,53777,1827,193,0,218
Algeria,10/16/20,53998,1841,221,14,219
Algeria,10/17/20,54203,1846,205,5,220
Algeria,10/18/20,54402,1856,199,10,221
Algeria,10/19/20,54616,1865,214,9,222
Algeria,10/20/20,54829,1873,213,8,223
Algeria,10/21/20,55081,1880,252,7,224
Algeria,10/22/20,55357,1888,276,8,225
Algeria,10/23/20,55630,1897,273,9,226
Algeria,10/24/20,55880,1907,250,10,227
Algeria,10/25/20,56143,1914,263,7,228
Algeria,10/26/20,56419,1922,276,8,229
Algeria,10/27/20,56706,1931,287,9,230
Algeria,10/28/20,57026,1941,320,10,231
Algeria,10/29/20,57332,1949,306,8,232
Algeria,10/30/20,57651,1956,319,7,233
Algeria,10/31/20,57942,1964,291,8,234
Algeria,11/1/20,58272,1973,330,9,235
Algeria,11/2/20,58574,1980,302,7,236
Algeria,11/3/20,58979,1980,405,0,237
Algeria,11/4/20,59527,1999,548,19,238
Algeria,11/5/20,60169,2011,642,12,239
Algeria,11/6/20,60800,2024,631,13,240
Algeria,11/7/20,61381,2036,581,12,241
Algeria,11/8/20,62051,2048,670,12,242
Algeria,11/9/20,62693,2062,642,14,243
Algeria,11/10/20,63446,2077,753,15,244
Algeria,11/11/20,64257,2093,811,16,245
Algeria,11/12/20,65108,2111,851,18,246
Algeria,11/13/20,65975,2124,867,13,247
Algeria,11/14/20,66819,2139,844,15,248
Algeria,11/15/20,67679,2154,860,15,249
Algeria,11/16/20,68589,2168,910,14,250
Algeria,11/17/20,69591,2186,1002,18,251
Algeria,11/18/20,70629,2206,1038,20,252
Algeria,11/19/20,71652,2224,1023,18,253
Algeria,11/20/20,72755,2236,1103,12,254
Algeria,11/21/20,73774,2255,1019,19,255
Algeria,11/22/20,74862,2272,1088,17,256
Algeria,11/23/20,75867,2294,1005,22,257
Algeria,11/24/20,77000,2309,1133,15,258
Algeria,11/25/20,78025,2329,1025,20,259
Algeria,11/26/20,79110,2352,1085,23,260
Algeria,11/27/20,80168,2372,1058,20,261
Algeria,11/28/20,81212,2393,1044,21,262
Algeria,11/29/20,82221,2410,1009,17,263
Algeria,11/30/20,83199,2431,978,21,264
Algeria,12/1/20,84152,2447,953,16,265
Algeria,12/2/20,85084,2464,932,17,266
Algeria,12/3/20,85927,2480,843,16,267
Algeria,12/4/20,86730,2492,803,12,268
Algeria,12/5/20,87502,2501,772,9,269
Algeria,12/6/20,88252,2516,750,15,270
Algeria,12/7/20,88825,2527,573,11,271
Algeria,12/8/20,89416,2539,591,12,272
Algeria,12/9/20,90014,2554,598,15,273
Algeria,12/10/20,90579,2564,565,10,274
Algeria,12/11/20,91121,2575,542,11,275
Algeria,12/12/20,91638,2584,517,9,276
Algeria,12/13/20,92102,2596,464,12,277
Algeria,12/14/20,92597,2609,495,13,278
Algeria,12/15/20,93065,2623,468,14,279
Algeria,12/16/20,93507,2631,442,8,280
Algeria,12/17/20,93933,2640,426,9,281
Algeria,12/18/20,94371,2647,438,7,282
Algeria,12/19/20,94781,2659,410,12,283
Algeria,12/20/20,95203,2666,422,7,284
Algeria,12/21/20,95659,2675,456,9,285
Algeria,12/22/20,96069,2687,410,12,286
