country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Canada,3/1/20,24,0,4,0,1
Canada,3/2/20,27,0,3,0,2
Canada,3/3/20,30,0,3,0,3
Canada,3/4/20,33,0,3,0,4
Canada,3/5/20,37,0,4,0,5
Canada,3/6/20,49,0,12,0,6
Canada,3/7/20,54,0,5,0,7
Canada,3/8/20,64,0,10,0,8
Canada,3/9/20,77,1,13,1,9
Canada,3/10/20,79,1,2,0,10
Canada,3/11/20,108,1,29,0,11
Canada,3/12/20,117,1,9,0,12
Canada,3/13/20,193,1,76,0,13
Canada,3/14/20,198,1,5,0,14
Canada,3/15/20,252,1,54,0,15
Canada,3/16/20,415,4,163,3,16
Canada,3/17/20,478,6,63,2,17
Canada,3/18/20,657,11,179,5,18
Canada,3/19/20,800,11,143,0,19
Canada,3/20/20,943,15,143,4,20
Canada,3/21/20,1277,19,334,4,21
Canada,3/22/20,1469,22,192,3,22
Canada,3/23/20,2088,29,619,7,23
Canada,3/24/20,2790,33,702,4,24
Canada,3/25/20,3251,42,461,9,25
Canada,3/26/20,4042,57,791,15,26
Canada,3/27/20,4682,66,640,9,27
Canada,3/28/20,5576,82,894,16,28
Canada,3/29/20,6280,96,704,14,29
Canada,3/30/20,7398,125,1118,29,30
Canada,3/31/20,8527,152,1129,27,31
Canada,4/1/20,9560,175,1033,23,32
Canada,4/2/20,11284,224,1724,49,33
Canada,4/3/20,12437,277,1153,53,34
Canada,4/4/20,12978,360,541,83,35
Canada,4/5/20,15756,435,2778,75,36
Canada,4/6/20,16563,520,807,85,37
Canada,4/7/20,17872,581,1309,61,38
Canada,4/8/20,19141,648,1269,67,39
Canada,4/9/20,20654,771,1513,123,40
Canada,4/10/20,22059,867,1405,96,41
Canada,4/11/20,23316,986,1257,119,42
Canada,4/12/20,24299,1095,983,109,43
Canada,4/13/20,25680,1225,1381,130,44
Canada,4/14/20,27035,1361,1355,136,45
Canada,4/15/20,28209,1515,1174,154,46
Canada,4/16/20,30809,1718,2600,203,47
Canada,4/17/20,32814,1844,2005,126,48
Canada,4/18/20,34356,1987,1542,143,49
Canada,4/19/20,35633,2145,1277,158,50
Canada,4/20/20,37658,2291,2025,146,51
Canada,4/21/20,39402,2484,1744,193,52
Canada,4/22/20,41663,2679,2261,195,53
Canada,4/23/20,43299,2850,1636,171,54
Canada,4/24/20,44919,3030,1620,180,55
Canada,4/25/20,46371,3217,1452,187,56
Canada,4/26/20,48033,3374,1662,157,57
Canada,4/27/20,49616,3559,1583,185,58
Canada,4/28/20,51150,3756,1534,197,59
Canada,4/29/20,52865,4000,1715,244,60
Canada,4/30/20,54457,4179,1592,179,61
Canada,5/1/20,56343,4381,1886,202,62
Canada,5/2/20,57926,4529,1583,148,63
Canada,5/3/20,60504,4669,2578,140,64
Canada,5/4/20,61957,4911,1453,242,65
Canada,5/5/20,63215,5081,1258,170,66
Canada,5/6/20,64694,5240,1479,159,67
Canada,5/7/20,66201,5387,1507,147,68
Canada,5/8/20,67674,5540,1473,153,69
Canada,5/9/20,68918,5704,1244,164,70
Canada,5/10/20,70091,5822,1173,118,71
Canada,5/11/20,71264,5956,1173,134,72
Canada,5/12/20,72419,6107,1155,151,73
Canada,5/13/20,73568,6210,1149,103,74
Canada,5/14/20,74781,6331,1213,121,75
Canada,5/15/20,75959,6452,1178,121,76
Canada,5/16/20,77206,6571,1247,119,77
Canada,5/17/20,78332,6661,1126,90,78
Canada,5/18/20,79411,6753,1079,92,79
