country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
China,1/22/20,548,17,0,0,1
China,1/23/20,643,18,95,1,2
China,1/24/20,920,26,277,8,3
China,1/25/20,1406,42,486,16,4
China,1/26/20,2075,56,669,14,5
China,1/27/20,2877,82,802,26,6
China,1/28/20,5509,131,2632,49,7
China,1/29/20,6087,133,578,2,8
China,1/30/20,8141,171,2054,38,9
China,1/31/20,9802,213,1661,42,10
China,2/1/20,11891,259,2089,46,11
China,2/2/20,16630,361,4739,102,12
China,2/3/20,19716,425,3086,64,13
China,2/4/20,23707,491,3991,66,14
China,2/5/20,27440,563,3733,72,15
China,2/6/20,30587,633,3147,70,16
China,2/7/20,34110,718,3523,85,17
China,2/8/20,36814,805,2704,87,18
China,2/9/20,39829,905,3015,100,19
China,2/10/20,42354,1012,2525,107,20
China,2/11/20,44386,1112,2032,100,21
China,2/12/20,44759,1117,373,5,22
China,2/13/20,59895,1369,15136,252,23
China,2/14/20,66358,1521,6463,152,24
China,2/15/20,68413,1663,2055,142,25
China,2/16/20,70513,1766,2100,103,26
China,2/17/20,72434,1864,1921,98,27
China,2/18/20,74211,2003,1777,139,28
China,2/19/20,74619,2116,408,113,29
China,2/20/20,75077,2238,458,122,30
China,2/21/20,75550,2238,473,0,31
China,2/22/20,77001,2443,1451,205,32
China,2/23/20,77022,2445,21,2,33
China,2/24/20,77241,2595,219,150,34
China,2/25/20,77754,2665,513,70,35
China,2/26/20,78166,2717,412,52,36
China,2/27/20,78600,2746,434,29,37
China,2/28/20,78928,2790,328,44,38
China,2/29/20,79356,2837,428,47,39
China,3/1/20,79932,2872,576,35,40
China,3/2/20,80136,2914,204,42,41
China,3/3/20,80261,2947,125,33,42
China,3/4/20,80386,2983,125,36,43
China,3/5/20,80537,3015,151,32,44
China,3/6/20,80690,3044,153,29,45
China,3/7/20,80770,3072,80,28,46
China,3/8/20,80823,3100,53,28,47
China,3/9/20,80860,3123,37,23,48
China,3/10/20,80887,3139,27,16,49
China,3/11/20,80921,3161,34,22,50
China,3/12/20,80932,3172,11,11,51
China,3/13/20,80945,3180,13,8,52
China,3/14/20,80977,3193,32,13,53
China,3/15/20,81003,3203,26,10,54
China,3/16/20,81033,3217,30,14,55
China,3/17/20,81058,3230,25,13,56
China,3/18/20,81102,3241,44,11,57
China,3/19/20,81156,3249,54,8,58
China,3/20/20,81250,3253,94,4,59
China,3/21/20,81305,3259,55,6,60
China,3/22/20,81435,3274,130,15,61
China,3/23/20,81498,3274,63,0,62
China,3/24/20,81591,3281,93,7,63
China,3/25/20,81661,3285,70,4,64
China,3/26/20,81782,3291,121,6,65
