country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Holy See,10/15/20,26,0,7,0,1
Holy See,10/16/20,26,0,0,0,2
Holy See,10/17/20,27,0,1,0,3
Holy See,10/18/20,27,0,0,0,4
Holy See,10/19/20,27,0,0,0,5
Holy See,10/20/20,27,0,0,0,6
Holy See,10/21/20,27,0,0,0,7
Holy See,10/22/20,27,0,0,0,8
Holy See,10/23/20,27,0,0,0,9
Holy See,10/24/20,27,0,0,0,10
Holy See,10/25/20,27,0,0,0,11
Holy See,10/26/20,27,0,0,0,12
Holy See,10/27/20,27,0,0,0,13
Holy See,10/28/20,27,0,0,0,14
Holy See,10/29/20,27,0,0,0,15
Holy See,10/30/20,27,0,0,0,16
Holy See,10/31/20,27,0,0,0,17
Holy See,11/1/20,27,0,0,0,18
Holy See,11/2/20,27,0,0,0,19
Holy See,11/3/20,27,0,0,0,20
Holy See,11/4/20,27,0,0,0,21
Holy See,11/5/20,27,0,0,0,22
Holy See,11/6/20,27,0,0,0,23
Holy See,11/7/20,27,0,0,0,24
Holy See,11/8/20,27,0,0,0,25
Holy See,11/9/20,27,0,0,0,26
Holy See,11/10/20,27,0,0,0,27
Holy See,11/11/20,27,0,0,0,28
Holy See,11/12/20,27,0,0,0,29
Holy See,11/13/20,27,0,0,0,30
Holy See,11/14/20,27,0,0,0,31
Holy See,11/15/20,27,0,0,0,32
Holy See,11/16/20,27,0,0,0,33
Holy See,11/17/20,27,0,0,0,34
Holy See,11/18/20,27,0,0,0,35
Holy See,11/19/20,27,0,0,0,36
Holy See,11/20/20,27,0,0,0,37
Holy See,11/21/20,27,0,0,0,38
Holy See,11/22/20,27,0,0,0,39
Holy See,11/23/20,27,0,0,0,40
Holy See,11/24/20,27,0,0,0,41
Holy See,11/25/20,27,0,0,0,42
Holy See,11/26/20,27,0,0,0,43
Holy See,11/27/20,27,0,0,0,44
Holy See,11/28/20,27,0,0,0,45
Holy See,11/29/20,27,0,0,0,46
Holy See,11/30/20,27,0,0,0,47
Holy See,12/1/20,27,0,0,0,48
Holy See,12/2/20,27,0,0,0,49
Holy See,12/3/20,27,0,0,0,50
Holy See,12/4/20,27,0,0,0,51
Holy See,12/5/20,27,0,0,0,52
Holy See,12/6/20,27,0,0,0,53
Holy See,12/7/20,27,0,0,0,54
Holy See,12/8/20,27,0,0,0,55
Holy See,12/9/20,27,0,0,0,56
Holy See,12/10/20,27,0,0,0,57
Holy See,12/11/20,27,0,0,0,58
Holy See,12/12/20,27,0,0,0,59
Holy See,12/13/20,27,0,0,0,60
Holy See,12/14/20,27,0,0,0,61
Holy See,12/15/20,27,0,0,0,62
Holy See,12/16/20,27,0,0,0,63
Holy See,12/17/20,27,0,0,0,64
Holy See,12/18/20,27,0,0,0,65
Holy See,12/19/20,27,0,0,0,66
Holy See,12/20/20,27,0,0,0,67
Holy See,12/21/20,27,0,0,0,68
Holy See,12/22/20,27,0,0,0,69
Holy See,12/23/20,27,0,0,0,70
Holy See,12/24/20,27,0,0,0,71
Holy See,12/25/20,27,0,0,0,72
Holy See,12/26/20,27,0,0,0,73
Holy See,12/27/20,27,0,0,0,74
Holy See,12/28/20,27,0,0,0,75
Holy See,12/29/20,27,0,0,0,76
Holy See,12/30/20,27,0,0,0,77
Holy See,12/31/20,27,0,0,0,78
Holy See,1/1/21,27,0,0,0,79
Holy See,1/2/21,27,0,0,0,80
Holy See,1/3/21,27,0,0,0,81
Holy See,1/4/21,27,0,0,0,82
Holy See,1/5/21,27,0,0,0,83
Holy See,1/6/21,27,0,0,0,84
Holy See,1/7/21,27,0,0,0,85
Holy See,1/8/21,27,0,0,0,86
Holy See,1/9/21,27,0,0,0,87
Holy See,1/10/21,27,0,0,0,88
Holy See,1/11/21,27,0,0,0,89
Holy See,1/12/21,27,0,0,0,90
Holy See,1/13/21,27,0,0,0,91
Holy See,1/14/21,27,0,0,0,92
Holy See,1/15/21,27,0,0,0,93
Holy See,1/16/21,27,0,0,0,94
Holy See,1/17/21,27,0,0,0,95
Holy See,1/18/21,27,0,0,0,96
Holy See,1/19/21,27,0,0,0,97
Holy See,1/20/21,27,0,0,0,98
Holy See,1/21/21,27,0,0,0,99
Holy See,1/22/21,27,0,0,0,100
Holy See,1/23/21,27,0,0,0,101
Holy See,1/24/21,27,0,0,0,102
Holy See,1/25/21,27,0,0,0,103
Holy See,1/26/21,27,0,0,0,104
Holy See,1/27/21,27,0,0,0,105
Holy See,1/28/21,27,0,0,0,106
Holy See,1/29/21,27,0,0,0,107
Holy See,1/30/21,27,0,0,0,108
Holy See,1/31/21,27,0,0,0,109
Holy See,2/1/21,27,0,0,0,110
Holy See,2/2/21,27,0,0,0,111
Holy See,2/3/21,27,0,0,0,112
Holy See,2/4/21,27,0,0,0,113
Holy See,2/5/21,27,0,0,0,114
Holy See,2/6/21,27,0,0,0,115
Holy See,2/7/21,27,0,0,0,116
Holy See,2/8/21,27,0,0,0,117
Holy See,2/9/21,27,0,0,0,118
Holy See,2/10/21,27,0,0,0,119
Holy See,2/11/21,27,0,0,0,120
Holy See,2/12/21,27,0,0,0,121
Holy See,2/13/21,27,0,0,0,122
Holy See,2/14/21,27,0,0,0,123
