country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Luxembourg,3/13/20,34,0,15,0,1
Luxembourg,3/14/20,51,1,17,1,2
Luxembourg,3/15/20,59,1,8,0,3
Luxembourg,3/16/20,77,1,18,0,4
Luxembourg,3/17/20,140,1,63,0,5
Luxembourg,3/18/20,203,2,63,1,6
Luxembourg,3/19/20,335,4,132,2,7
Luxembourg,3/20/20,484,4,149,0,8
Luxembourg,3/21/20,670,8,186,4,9
Luxembourg,3/22/20,798,8,128,0,10
Luxembourg,3/23/20,875,8,77,0,11
Luxembourg,3/24/20,1099,8,224,0,12
Luxembourg,3/25/20,1333,8,234,0,13
Luxembourg,3/26/20,1453,9,120,1,14
Luxembourg,3/27/20,1605,15,152,6,15
Luxembourg,3/28/20,1831,18,226,3,16
Luxembourg,3/29/20,1950,21,119,3,17
Luxembourg,3/30/20,1988,22,38,1,18
Luxembourg,3/31/20,2178,23,190,1,19
Luxembourg,4/1/20,2319,29,141,6,20
Luxembourg,4/2/20,2487,30,168,1,21
Luxembourg,4/3/20,2612,31,125,1,22
Luxembourg,4/4/20,2729,31,117,0,23
Luxembourg,4/5/20,2804,36,75,5,24
Luxembourg,4/6/20,2843,41,39,5,25
Luxembourg,4/7/20,2970,44,127,3,26
Luxembourg,4/8/20,3034,46,64,2,27
Luxembourg,4/9/20,3115,52,81,6,28
Luxembourg,4/10/20,3223,54,108,2,29
Luxembourg,4/11/20,3270,62,47,8,30
Luxembourg,4/12/20,3281,66,11,4,31
Luxembourg,4/13/20,3292,69,11,3,32
Luxembourg,4/14/20,3307,67,15,-2,33
Luxembourg,4/15/20,3373,69,66,2,34
Luxembourg,4/16/20,3444,69,71,0,35
Luxembourg,4/17/20,3480,72,36,3,36
Luxembourg,4/18/20,3537,72,57,0,37
Luxembourg,4/19/20,3550,73,13,1,38
Luxembourg,4/20/20,3558,75,8,2,39
Luxembourg,4/21/20,3618,78,60,3,40
Luxembourg,4/22/20,3654,80,36,2,41
Luxembourg,4/23/20,3665,83,11,3,42
Luxembourg,4/24/20,3695,85,30,2,43
Luxembourg,4/25/20,3711,85,16,0,44
Luxembourg,4/26/20,3723,88,12,3,45
Luxembourg,4/27/20,3729,88,6,0,46
Luxembourg,4/28/20,3741,89,12,1,47
Luxembourg,4/29/20,3769,89,28,0,48
Luxembourg,4/30/20,3784,90,15,1,49
Luxembourg,5/1/20,3802,92,18,2,50
Luxembourg,5/2/20,3812,92,10,0,51
Luxembourg,5/3/20,3824,96,12,4,52
Luxembourg,5/4/20,3828,96,4,0,53
Luxembourg,5/5/20,3840,96,12,0,54
Luxembourg,5/6/20,3851,98,11,2,55
Luxembourg,5/7/20,3859,100,8,2,56
Luxembourg,5/8/20,3871,100,12,0,57
Luxembourg,5/9/20,3877,101,6,1,58
Luxembourg,5/10/20,3886,101,9,0,59
Luxembourg,5/11/20,3888,101,2,0,60
Luxembourg,5/12/20,3894,102,6,1,61
Luxembourg,5/13/20,3904,103,10,1,62
Luxembourg,5/14/20,3915,103,11,0,63
Luxembourg,5/15/20,3923,104,8,1,64
Luxembourg,5/16/20,3930,104,7,0,65
Luxembourg,5/17/20,3945,107,15,3,66
Luxembourg,5/18/20,3947,107,2,0,67
Luxembourg,5/19/20,3958,109,11,2,68
Luxembourg,5/20/20,3971,109,13,0,69
Luxembourg,5/21/20,3980,109,9,0,70
Luxembourg,5/22/20,3981,109,1,0,71
Luxembourg,5/23/20,3990,109,9,0,72
Luxembourg,5/24/20,3992,110,2,1,73
Luxembourg,5/25/20,3993,110,1,0,74
Luxembourg,5/26/20,3995,110,2,0,75
Luxembourg,5/27/20,4001,110,6,0,76
Luxembourg,5/28/20,4008,110,7,0,77
Luxembourg,5/29/20,4012,110,4,0,78
Luxembourg,5/30/20,4016,110,4,0,79
Luxembourg,5/31/20,4018,110,2,0,80
Luxembourg,6/1/20,4019,110,1,0,81
Luxembourg,6/2/20,4020,110,1,0,82
Luxembourg,6/3/20,4024,110,4,0,83
Luxembourg,6/4/20,4027,110,3,0,84
Luxembourg,6/5/20,4032,110,5,0,85
Luxembourg,6/6/20,4035,110,3,0,86
Luxembourg,6/7/20,4039,110,4,0,87
Luxembourg,6/8/20,4040,110,1,0,88
Luxembourg,6/9/20,4046,110,6,0,89
Luxembourg,6/10/20,4049,110,3,0,90
Luxembourg,6/11/20,4052,110,3,0,91
Luxembourg,6/12/20,4055,110,3,0,92
Luxembourg,6/13/20,4063,110,8,0,93
Luxembourg,6/14/20,4070,110,7,0,94
Luxembourg,6/15/20,4072,110,2,0,95
Luxembourg,6/16/20,4075,110,3,0,96
Luxembourg,6/17/20,4085,110,10,0,97
Luxembourg,6/18/20,4091,110,6,0,98
Luxembourg,6/19/20,4099,110,8,0,99
Luxembourg,6/20/20,4105,110,6,0,100
Luxembourg,6/21/20,4120,110,15,0,101
Luxembourg,6/22/20,4121,110,1,0,102
Luxembourg,6/23/20,4133,110,12,0,103
Luxembourg,6/24/20,4140,110,7,0,104
Luxembourg,6/25/20,4151,110,11,0,105
Luxembourg,6/26/20,4173,110,22,0,106
Luxembourg,6/27/20,4217,110,44,0,107
Luxembourg,6/28/20,4242,110,25,0,108
Luxembourg,6/29/20,4256,110,14,0,109
Luxembourg,6/30/20,4299,110,43,0,110
Luxembourg,7/1/20,4345,110,46,0,111
Luxembourg,7/2/20,4395,110,50,0,112
Luxembourg,7/3/20,4447,110,52,0,113
Luxembourg,7/4/20,4476,110,29,0,114
Luxembourg,7/5/20,4522,110,46,0,115
Luxembourg,7/6/20,4542,110,20,0,116
Luxembourg,7/7/20,4603,110,61,0,117
Luxembourg,7/8/20,4650,110,47,0,118
Luxembourg,7/9/20,4719,110,69,0,119
Luxembourg,7/10/20,4777,110,58,0,120
Luxembourg,7/11/20,4842,110,65,0,121
Luxembourg,7/12/20,4925,111,83,1,122
Luxembourg,7/13/20,4956,111,31,0,123
Luxembourg,7/14/20,5056,111,100,0,124
Luxembourg,7/15/20,5122,111,66,0,125
Luxembourg,7/16/20,5285,111,163,0,126
Luxembourg,7/17/20,5409,111,124,0,127
Luxembourg,7/18/20,5483,111,74,0,128
Luxembourg,7/19/20,5605,111,122,0,129
Luxembourg,7/20/20,5639,111,34,0,130
Luxembourg,7/21/20,5725,111,86,0,131
Luxembourg,7/22/20,5854,111,129,0,132
Luxembourg,7/23/20,5952,112,98,1,133
Luxembourg,7/24/20,6056,112,104,0,134
Luxembourg,7/25/20,6189,112,133,0,135
Luxembourg,7/26/20,6272,112,83,0,136
Luxembourg,7/27/20,6321,112,49,0,137
Luxembourg,7/28/20,6375,113,54,1,138
Luxembourg,7/29/20,6533,114,158,1,139
Luxembourg,7/30/20,6616,114,83,0,140
Luxembourg,7/31/20,6695,114,79,0,141
Luxembourg,8/1/20,6793,116,98,2,142
Luxembourg,8/2/20,6855,117,62,1,143
Luxembourg,8/3/20,6864,118,9,1,144
Luxembourg,8/4/20,6917,118,53,0,145
Luxembourg,8/5/20,7007,118,90,0,146
Luxembourg,8/6/20,7073,119,66,1,147
Luxembourg,8/7/20,7113,119,40,0,148
Luxembourg,8/8/20,7169,120,56,1,149
Luxembourg,8/9/20,7205,120,36,0,150
Luxembourg,8/10/20,7216,121,11,1,151
Luxembourg,8/11/20,7242,122,26,1,152
Luxembourg,8/12/20,7300,122,58,0,153
Luxembourg,8/13/20,7368,122,68,0,154
Luxembourg,8/14/20,7405,122,37,0,155
Luxembourg,8/15/20,7439,123,34,1,156
Luxembourg,8/16/20,7458,123,19,0,157
Luxembourg,8/17/20,7469,124,11,1,158
Luxembourg,8/18/20,7499,124,30,0,159
Luxembourg,8/19/20,7566,124,67,0,160
Luxembourg,8/20/20,7637,124,71,0,161
Luxembourg,8/21/20,7704,124,67,0,162
Luxembourg,8/22/20,7762,124,58,0,163
Luxembourg,8/23/20,7775,124,13,0,164
Luxembourg,8/24/20,7794,124,19,0,165
Luxembourg,8/25/20,7838,124,44,0,166
Luxembourg,8/26/20,7928,124,90,0,167
Luxembourg,8/27/20,7928,124,0,0,168
Luxembourg,8/28/20,6580,124,-1348,0,169
Luxembourg,8/29/20,6625,124,45,0,170
Luxembourg,8/30/20,6625,124,0,0,171
Luxembourg,8/31/20,6625,124,0,0,172
Luxembourg,9/1/20,6625,124,0,0,173
Luxembourg,9/2/20,6745,124,120,0,174
Luxembourg,9/3/20,6811,124,66,0,175
Luxembourg,9/4/20,6854,124,43,0,176
Luxembourg,9/5/20,6896,124,42,0,177
Luxembourg,9/6/20,6950,124,54,0,178
Luxembourg,9/7/20,6960,124,10,0,179
Luxembourg,9/8/20,6974,124,14,0,180
Luxembourg,9/9/20,7023,124,49,0,181
Luxembourg,9/10/20,7088,124,65,0,182
Luxembourg,9/11/20,7088,124,0,0,183
Luxembourg,9/12/20,7159,124,71,0,184
Luxembourg,9/13/20,7159,124,0,0,185
Luxembourg,9/14/20,7244,124,85,0,186
Luxembourg,9/15/20,7284,124,40,0,187
Luxembourg,9/16/20,7394,124,110,0,188
Luxembourg,9/17/20,7541,124,147,0,189
Luxembourg,9/18/20,7718,124,177,0,190
Luxembourg,9/19/20,7718,124,0,0,191
Luxembourg,9/20/20,7718,124,0,0,192
Luxembourg,9/21/20,7916,124,198,0,193
Luxembourg,9/22/20,8016,124,100,0,194
Luxembourg,9/23/20,8090,124,74,0,195
Luxembourg,9/24/20,8158,124,68,0,196
Luxembourg,9/25/20,8233,124,75,0,197
Luxembourg,9/26/20,8233,124,0,0,198
Luxembourg,9/27/20,8233,124,0,0,199
Luxembourg,9/28/20,8376,124,143,0,200
Luxembourg,9/29/20,8431,124,55,0,201
Luxembourg,9/30/20,8509,124,78,0,202
Luxembourg,10/1/20,8595,125,86,1,203
Luxembourg,10/2/20,8709,125,114,0,204
Luxembourg,10/3/20,8709,125,0,0,205
Luxembourg,10/4/20,8709,125,0,0,206
Luxembourg,10/5/20,8925,127,216,2,207
Luxembourg,10/6/20,8979,128,54,1,208
Luxembourg,10/7/20,9119,128,140,0,209
Luxembourg,10/8/20,9219,129,100,1,210
Luxembourg,10/9/20,9360,130,141,1,211
Luxembourg,10/10/20,9514,131,154,1,212
Luxembourg,10/11/20,9722,132,208,1,213
Luxembourg,10/12/20,9731,133,9,1,214
Luxembourg,10/13/20,9840,133,109,0,215
Luxembourg,10/14/20,10030,133,190,0,216
Luxembourg,10/15/20,10244,133,214,0,217
Luxembourg,10/16/20,10471,133,227,0,218
Luxembourg,10/17/20,10471,133,0,0,219
Luxembourg,10/18/20,10888,133,417,0,220
Luxembourg,10/19/20,11010,135,122,2,221
Luxembourg,10/20/20,11241,136,231,1,222
Luxembourg,10/21/20,11671,138,430,2,223
Luxembourg,10/22/20,12333,140,662,2,224
Luxembourg,10/23/20,12851,141,518,1,225
Luxembourg,10/24/20,12851,141,0,0,226
Luxembourg,10/25/20,12851,141,0,0,227
Luxembourg,10/26/20,14399,147,1548,6,228
Luxembourg,10/27/20,14884,147,485,0,229
Luxembourg,10/28/20,15659,147,775,0,230
Luxembourg,10/29/20,16356,150,697,3,231
Luxembourg,10/30/20,17134,152,778,2,232
Luxembourg,10/31/20,17134,152,0,0,233
Luxembourg,11/1/20,17134,152,0,0,234
Luxembourg,11/2/20,19101,160,1967,8,235
Luxembourg,11/3/20,19634,167,533,7,236
Luxembourg,11/4/20,20344,171,710,4,237
Luxembourg,11/5/20,21147,177,803,6,238
Luxembourg,11/6/20,21806,180,659,3,239
Luxembourg,11/7/20,21806,180,0,0,240
Luxembourg,11/8/20,21806,180,0,0,241
Luxembourg,11/9/20,23227,193,1421,13,242
Luxembourg,11/10/20,23710,198,483,5,243
Luxembourg,11/11/20,23710,198,0,0,244
Luxembourg,11/12/20,25218,211,1508,13,245
Luxembourg,11/13/20,25931,219,713,8,246
Luxembourg,11/14/20,25931,219,0,0,247
Luxembourg,11/15/20,25931,219,0,0,248
Luxembourg,11/16/20,27256,236,1325,17,249
Luxembourg,11/17/20,27681,240,425,4,250
Luxembourg,11/18/20,28573,248,892,8,251
Luxembourg,11/19/20,29243,254,670,6,252
Luxembourg,11/20/20,29762,260,519,6,253
Luxembourg,11/21/20,29762,260,0,0,254
Luxembourg,11/22/20,29762,260,0,0,255
Luxembourg,11/23/20,31111,273,1349,13,256
Luxembourg,11/24/20,31484,283,373,10,257
Luxembourg,11/25/20,32100,288,616,5,258
Luxembourg,11/26/20,32873,294,773,6,259
Luxembourg,11/27/20,33409,300,536,6,260
Luxembourg,11/28/20,33409,300,0,0,261
Luxembourg,11/29/20,33409,300,0,0,262
Luxembourg,11/30/20,34678,321,1269,21,263
Luxembourg,12/1/20,35129,330,451,9,264
Luxembourg,12/2/20,35802,334,673,4,265
Luxembourg,12/3/20,36429,339,627,5,266
Luxembourg,12/4/20,37017,345,588,6,267
Luxembourg,12/5/20,37017,345,0,0,268
Luxembourg,12/6/20,37017,345,0,0,269
Luxembourg,12/7/20,38476,360,1459,15,270
Luxembourg,12/8/20,38476,360,0,0,271
Luxembourg,12/9/20,38476,360,0,0,272
Luxembourg,12/10/20,40037,384,1561,24,273
Luxembourg,12/11/20,40755,392,718,8,274
Luxembourg,12/12/20,40755,392,0,0,275
Luxembourg,12/13/20,40755,392,0,0,276
Luxembourg,12/14/20,41900,410,1145,18,277
Luxembourg,12/15/20,42250,418,350,8,278
Luxembourg,12/16/20,42845,421,595,3,279
Luxembourg,12/17/20,43279,428,434,7,280
Luxembourg,12/18/20,43728,434,449,6,281
Luxembourg,12/19/20,43728,434,0,0,282
Luxembourg,12/20/20,43728,434,0,0,283
Luxembourg,12/21/20,44582,450,854,16,284
Luxembourg,12/22/20,44809,453,227,3,285
Luxembourg,12/23/20,45209,458,400,5,286
Luxembourg,12/24/20,45209,458,0,0,287
Luxembourg,12/25/20,45209,458,0,0,288
Luxembourg,12/26/20,45209,458,0,0,289
Luxembourg,12/27/20,45209,458,0,0,290
Luxembourg,12/28/20,45849,487,640,29,291
Luxembourg,12/29/20,46088,489,239,2,292
Luxembourg,12/30/20,46415,495,327,6,293
Luxembourg,12/31/20,46415,495,0,0,294
Luxembourg,1/1/21,46415,495,0,0,295
Luxembourg,1/2/21,46415,495,0,0,296
Luxembourg,1/3/21,46415,495,0,0,297
Luxembourg,1/4/21,46986,508,571,13,298
Luxembourg,1/5/21,47149,514,163,6,299
Luxembourg,1/6/21,47430,517,281,3,300
Luxembourg,1/7/21,47592,521,162,4,301
Luxembourg,1/8/21,47744,527,152,6,302
Luxembourg,1/9/21,47744,527,0,0,303
Luxembourg,1/10/21,47744,527,0,0,304
Luxembourg,1/11/21,48027,535,283,8,305
Luxembourg,1/12/21,48181,538,154,3,306
Luxembourg,1/13/21,48372,542,191,4,307
Luxembourg,1/14/21,48486,545,114,3,308
Luxembourg,1/15/21,48630,549,144,4,309
Luxembourg,1/16/21,48630,549,0,0,310
Luxembourg,1/17/21,48630,549,0,0,311
Luxembourg,1/18/21,48890,557,260,8,312
Luxembourg,1/19/21,48975,560,85,3,313
Luxembourg,1/20/21,49204,562,229,2,314
Luxembourg,1/21/21,49319,562,115,0,315
Luxembourg,1/22/21,49438,562,119,0,316
Luxembourg,1/23/21,49438,562,0,0,317
Luxembourg,1/24/21,49438,562,0,0,318
Luxembourg,1/25/21,49733,566,295,4,319
Luxembourg,1/26/21,49852,570,119,4,320
Luxembourg,1/27/21,50089,571,237,1,321
Luxembourg,1/28/21,50228,574,139,3,322
Luxembourg,1/29/21,50388,577,160,3,323
Luxembourg,1/30/21,50388,577,0,0,324
Luxembourg,1/31/21,50388,577,0,0,325
Luxembourg,2/1/21,50733,584,345,7,326
Luxembourg,2/2/21,50923,586,190,2,327
Luxembourg,2/3/21,51128,587,205,1,328
Luxembourg,2/4/21,51330,588,202,1,329
Luxembourg,2/5/21,51512,590,182,2,330
Luxembourg,2/6/21,51512,590,0,0,331
Luxembourg,2/7/21,51512,590,0,0,332
Luxembourg,2/8/21,51879,597,367,7,333
Luxembourg,2/9/21,52022,600,143,3,334
Luxembourg,2/10/21,52247,602,225,2,335
Luxembourg,2/11/21,52392,604,145,2,336
Luxembourg,2/12/21,52539,606,147,2,337
Luxembourg,2/13/21,52539,606,0,0,338
Luxembourg,2/14/21,52539,606,0,0,339
