country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Saint Kitts and Nevis,11/24/20,22,0,2,0,1
Saint Kitts and Nevis,11/25/20,22,0,0,0,2
Saint Kitts and Nevis,11/26/20,22,0,0,0,3
Saint Kitts and Nevis,11/27/20,22,0,0,0,4
Saint Kitts and Nevis,11/28/20,22,0,0,0,5
Saint Kitts and Nevis,11/29/20,22,0,0,0,6
Saint Kitts and Nevis,11/30/20,22,0,0,0,7
Saint Kitts and Nevis,12/1/20,22,0,0,0,8
Saint Kitts and Nevis,12/2/20,22,0,0,0,9
Saint Kitts and Nevis,12/3/20,22,0,0,0,10
Saint Kitts and Nevis,12/4/20,22,0,0,0,11
Saint Kitts and Nevis,12/5/20,25,0,3,0,12
Saint Kitts and Nevis,12/6/20,25,0,0,0,13
Saint Kitts and Nevis,12/7/20,25,0,0,0,14
Saint Kitts and Nevis,12/8/20,25,0,0,0,15
Saint Kitts and Nevis,12/9/20,25,0,0,0,16
Saint Kitts and Nevis,12/10/20,26,0,1,0,17
Saint Kitts and Nevis,12/11/20,27,0,1,0,18
Saint Kitts and Nevis,12/12/20,27,0,0,0,19
Saint Kitts and Nevis,12/13/20,27,0,0,0,20
Saint Kitts and Nevis,12/14/20,28,0,1,0,21
Saint Kitts and Nevis,12/15/20,28,0,0,0,22
Saint Kitts and Nevis,12/16/20,28,0,0,0,23
Saint Kitts and Nevis,12/17/20,28,0,0,0,24
Saint Kitts and Nevis,12/18/20,30,0,2,0,25
Saint Kitts and Nevis,12/19/20,30,0,0,0,26
Saint Kitts and Nevis,12/20/20,30,0,0,0,27
Saint Kitts and Nevis,12/21/20,30,0,0,0,28
Saint Kitts and Nevis,12/22/20,30,0,0,0,29
Saint Kitts and Nevis,12/23/20,30,0,0,0,30
Saint Kitts and Nevis,12/24/20,30,0,0,0,31
Saint Kitts and Nevis,12/25/20,30,0,0,0,32
Saint Kitts and Nevis,12/26/20,30,0,0,0,33
Saint Kitts and Nevis,12/27/20,32,0,2,0,34
Saint Kitts and Nevis,12/28/20,32,0,0,0,35
Saint Kitts and Nevis,12/29/20,32,0,0,0,36
Saint Kitts and Nevis,12/30/20,32,0,0,0,37
Saint Kitts and Nevis,12/31/20,32,0,0,0,38
Saint Kitts and Nevis,1/1/21,32,0,0,0,39
Saint Kitts and Nevis,1/2/21,33,0,1,0,40
Saint Kitts and Nevis,1/3/21,33,0,0,0,41
Saint Kitts and Nevis,1/4/21,33,0,0,0,42
Saint Kitts and Nevis,1/5/21,33,0,0,0,43
Saint Kitts and Nevis,1/6/21,33,0,0,0,44
Saint Kitts and Nevis,1/7/21,33,0,0,0,45
Saint Kitts and Nevis,1/8/21,34,0,1,0,46
Saint Kitts and Nevis,1/9/21,34,0,0,0,47
Saint Kitts and Nevis,1/10/21,34,0,0,0,48
Saint Kitts and Nevis,1/11/21,34,0,0,0,49
Saint Kitts and Nevis,1/12/21,34,0,0,0,50
Saint Kitts and Nevis,1/13/21,34,0,0,0,51
Saint Kitts and Nevis,1/14/21,34,0,0,0,52
Saint Kitts and Nevis,1/15/21,34,0,0,0,53
Saint Kitts and Nevis,1/16/21,34,0,0,0,54
Saint Kitts and Nevis,1/17/21,34,0,0,0,55
Saint Kitts and Nevis,1/18/21,35,0,1,0,56
Saint Kitts and Nevis,1/19/21,35,0,0,0,57
Saint Kitts and Nevis,1/20/21,35,0,0,0,58
Saint Kitts and Nevis,1/21/21,35,0,0,0,59
Saint Kitts and Nevis,1/22/21,35,0,0,0,60
Saint Kitts and Nevis,1/23/21,35,0,0,0,61
Saint Kitts and Nevis,1/24/21,35,0,0,0,62
Saint Kitts and Nevis,1/25/21,35,0,0,0,63
Saint Kitts and Nevis,1/26/21,37,0,2,0,64
Saint Kitts and Nevis,1/27/21,37,0,0,0,65
Saint Kitts and Nevis,1/28/21,37,0,0,0,66
Saint Kitts and Nevis,1/29/21,37,0,0,0,67
Saint Kitts and Nevis,1/30/21,37,0,0,0,68
Saint Kitts and Nevis,1/31/21,37,0,0,0,69
Saint Kitts and Nevis,2/1/21,38,0,1,0,70
Saint Kitts and Nevis,2/2/21,39,0,1,0,71
Saint Kitts and Nevis,2/3/21,39,0,0,0,72
Saint Kitts and Nevis,2/4/21,39,0,0,0,73
Saint Kitts and Nevis,2/5/21,40,0,1,0,74
Saint Kitts and Nevis,2/6/21,40,0,0,0,75
Saint Kitts and Nevis,2/7/21,40,0,0,0,76
Saint Kitts and Nevis,2/8/21,40,0,0,0,77
Saint Kitts and Nevis,2/9/21,40,0,0,0,78
Saint Kitts and Nevis,2/10/21,40,0,0,0,79
Saint Kitts and Nevis,2/11/21,40,0,0,0,80
Saint Kitts and Nevis,2/12/21,40,0,0,0,81
Saint Kitts and Nevis,2/13/21,40,0,0,0,82
Saint Kitts and Nevis,2/14/21,41,0,1,0,83
