country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Guatemala,3/24/20,21,1,1,0,1
Guatemala,3/25/20,24,1,3,0,2
Guatemala,3/26/20,25,1,1,0,3
Guatemala,3/27/20,28,1,3,0,4
Guatemala,3/28/20,34,1,6,0,5
Guatemala,3/29/20,34,1,0,0,6
Guatemala,3/30/20,36,1,2,0,7
Guatemala,3/31/20,38,1,2,0,8
Guatemala,4/1/20,39,1,1,0,9
Guatemala,4/2/20,47,1,8,0,10
Guatemala,4/3/20,50,1,3,0,11
Guatemala,4/4/20,61,2,11,1,12
Guatemala,4/5/20,61,2,0,0,13
Guatemala,4/6/20,70,3,9,1,14
Guatemala,4/7/20,77,3,7,0,15
Guatemala,4/8/20,87,3,10,0,16
Guatemala,4/9/20,95,3,8,0,17
Guatemala,4/10/20,126,3,31,0,18
Guatemala,4/11/20,137,3,11,0,19
Guatemala,4/12/20,155,5,18,2,20
Guatemala,4/13/20,156,5,1,0,21
Guatemala,4/14/20,167,5,11,0,22
Guatemala,4/15/20,180,5,13,0,23
Guatemala,4/16/20,196,5,16,0,24
Guatemala,4/17/20,214,7,18,2,25
Guatemala,4/18/20,235,7,21,0,26
Guatemala,4/19/20,257,7,22,0,27
Guatemala,4/20/20,289,7,32,0,28
Guatemala,4/21/20,294,7,5,0,29
Guatemala,4/22/20,316,8,22,1,30
Guatemala,4/23/20,384,11,68,3,31
Guatemala,4/24/20,430,11,46,0,32
Guatemala,4/25/20,473,13,43,2,33
Guatemala,4/26/20,500,15,27,2,34
Guatemala,4/27/20,530,15,30,0,35
Guatemala,4/28/20,530,15,0,0,36
Guatemala,4/29/20,557,16,27,1,37
Guatemala,4/30/20,599,16,42,0,38
Guatemala,5/1/20,644,16,45,0,39
Guatemala,5/2/20,688,17,44,1,40
Guatemala,5/3/20,703,17,15,0,41
Guatemala,5/4/20,730,19,27,2,42
Guatemala,5/5/20,763,19,33,0,43
Guatemala,5/6/20,798,21,35,2,44
Guatemala,5/7/20,832,23,34,2,45
Guatemala,5/8/20,900,24,68,1,46
Guatemala,5/9/20,967,24,67,0,47
Guatemala,5/10/20,1052,26,85,2,48
Guatemala,5/11/20,1114,26,62,0,49
Guatemala,5/12/20,1199,27,85,1,50
Guatemala,5/13/20,1342,29,143,2,51
Guatemala,5/14/20,1518,29,176,0,52
Guatemala,5/15/20,1643,30,125,1,53
Guatemala,5/16/20,1763,33,120,3,54
Guatemala,5/17/20,1763,33,0,0,55
Guatemala,5/18/20,1912,35,149,2,56
Guatemala,5/19/20,2133,43,221,8,57
Guatemala,5/20/20,2265,45,132,2,58
Guatemala,5/21/20,2512,48,247,3,59
Guatemala,5/22/20,2743,51,231,3,60
Guatemala,5/23/20,3054,55,311,4,61
Guatemala,5/24/20,3424,58,370,3,62
Guatemala,5/25/20,3760,59,336,1,63
Guatemala,5/26/20,3954,63,194,4,64
Guatemala,5/27/20,4145,68,191,5,65
Guatemala,5/28/20,4348,80,203,12,66
Guatemala,5/29/20,4607,90,259,10,67
Guatemala,5/30/20,4739,102,132,12,68
Guatemala,5/31/20,5087,108,348,6,69
Guatemala,6/1/20,5336,116,249,8,70
Guatemala,6/2/20,5586,123,250,7,71
Guatemala,6/3/20,5760,143,174,20,72
Guatemala,6/4/20,6154,158,394,15,73
Guatemala,6/5/20,6485,216,331,58,74
Guatemala,6/6/20,6792,230,307,14,75
Guatemala,6/7/20,7055,252,263,22,76
Guatemala,6/8/20,7502,267,447,15,77
Guatemala,6/9/20,7866,289,364,22,78
Guatemala,6/10/20,8221,316,355,27,79
Guatemala,6/11/20,8561,334,340,18,80
Guatemala,6/12/20,8982,351,421,17,81
Guatemala,6/13/20,9491,367,509,16,82
Guatemala,6/14/20,9845,384,354,17,83
Guatemala,6/15/20,10272,399,427,15,84
Guatemala,6/16/20,10706,418,434,19,85
Guatemala,6/17/20,11251,432,545,14,86
Guatemala,6/18/20,11868,449,617,17,87
Guatemala,6/19/20,12509,483,641,34,88
Guatemala,6/20/20,12755,514,246,31,89
Guatemala,6/21/20,13145,531,390,17,90
Guatemala,6/22/20,13769,547,624,16,91
Guatemala,6/23/20,14540,582,771,35,92
Guatemala,6/24/20,14819,601,279,19,93
Guatemala,6/25/20,15619,623,800,22,94
Guatemala,6/26/20,15828,672,209,49,95
Guatemala,6/27/20,16397,706,569,34,96
Guatemala,6/28/20,16930,727,533,21,97
Guatemala,6/29/20,17409,746,479,19,98
Guatemala,6/30/20,18096,773,687,27,99
Guatemala,7/1/20,19011,817,915,44,100
Guatemala,7/2/20,20072,843,1061,26,101
Guatemala,7/3/20,21293,880,1221,37,102
Guatemala,7/4/20,22501,920,1208,40,103
Guatemala,7/5/20,23248,947,747,27,104
Guatemala,7/6/20,23972,981,724,34,105
Guatemala,7/7/20,24787,1004,815,23,106
Guatemala,7/8/20,25411,1053,624,49,107
Guatemala,7/9/20,26658,1092,1247,39,108
Guatemala,7/10/20,27619,1139,961,47,109
Guatemala,7/11/20,28598,1172,979,33,110
Guatemala,7/12/20,29355,1219,757,47,111
Guatemala,7/13/20,29742,1244,387,25,112
Guatemala,7/14/20,30872,1302,1130,58,113
Guatemala,7/15/20,32074,1350,1202,48,114
Guatemala,7/16/20,32939,1404,865,54,115
Guatemala,7/17/20,33809,1443,870,39,116
Guatemala,7/18/20,38042,1449,4233,6,117
Guatemala,7/19/20,38677,1485,635,36,118
Guatemala,7/20/20,39039,1502,362,17,119
Guatemala,7/21/20,40229,1531,1190,29,120
Guatemala,7/22/20,41135,1573,906,42,121
Guatemala,7/23/20,42192,1632,1057,59,122
Guatemala,7/24/20,43283,1669,1091,37,123
Guatemala,7/25/20,44492,1699,1209,30,124
Guatemala,7/26/20,45053,1734,561,35,125
Guatemala,7/27/20,45309,1761,256,27,126
Guatemala,7/28/20,46451,1782,1142,21,127
Guatemala,7/29/20,47605,1835,1154,53,128
Guatemala,7/30/20,48826,1867,1221,32,129
Guatemala,7/31/20,49789,1924,963,57,130
Guatemala,8/1/20,50979,1959,1190,35,131
Guatemala,8/2/20,51306,1995,327,36,132
Guatemala,8/3/20,51542,2013,236,18,133
Guatemala,8/4/20,52365,2037,823,24,134
Guatemala,8/5/20,53509,2072,1144,35,135
Guatemala,8/6/20,54339,2119,830,47,136
Guatemala,8/7/20,55270,2168,931,49,137
Guatemala,8/8/20,56189,2197,919,29,138
Guatemala,8/9/20,56605,2211,416,14,139
Guatemala,8/10/20,56987,2222,382,11,140
Guatemala,8/11/20,57966,2233,979,11,141
Guatemala,8/12/20,59089,2267,1123,34,142
Guatemala,8/13/20,60284,2296,1195,29,143
Guatemala,8/14/20,61428,2341,1144,45,144
Guatemala,8/15/20,62313,2355,885,14,145
Guatemala,8/16/20,62562,2379,249,24,146
Guatemala,8/17/20,62944,2389,382,10,147
Guatemala,8/18/20,63847,2419,903,30,148
Guatemala,8/19/20,64881,2467,1034,48,149
Guatemala,8/20/20,65983,2506,1102,39,150
Guatemala,8/21/20,66941,2532,958,26,151
Guatemala,8/22/20,67856,2580,915,48,152
Guatemala,8/23/20,68188,2594,332,14,153
Guatemala,8/24/20,68533,2611,345,17,154
Guatemala,8/25/20,69651,2630,1118,19,155
Guatemala,8/26/20,70714,2662,1063,32,156
Guatemala,8/27/20,71856,2685,1142,23,157
Guatemala,8/28/20,72921,2709,1065,24,158
Guatemala,8/29/20,73679,2728,758,19,159
Guatemala,8/30/20,73912,2740,233,12,160
Guatemala,8/31/20,74074,2760,162,20,161
Guatemala,9/1/20,74893,2778,819,18,162
Guatemala,9/2/20,75644,2790,751,12,163
Guatemala,9/3/20,76358,2804,714,14,164
Guatemala,9/4/20,77040,2825,682,21,165
Guatemala,9/5/20,77481,2845,441,20,166
Guatemala,9/6/20,77683,2852,202,7,167
Guatemala,9/7/20,77828,2862,145,10,168
Guatemala,9/8/20,78721,2890,893,28,169
Guatemala,9/9/20,79622,2897,901,7,170
Guatemala,9/10/20,80306,2918,684,21,171
Guatemala,9/11/20,81009,2929,703,11,172
Guatemala,9/12/20,81658,2949,649,20,173
Guatemala,9/13/20,81909,2957,251,8,174
Guatemala,9/14/20,82172,2972,263,15,175
Guatemala,9/15/20,82684,2984,512,12,176
Guatemala,9/16/20,82924,3009,240,25,177
Guatemala,9/17/20,83664,3036,740,27,178
Guatemala,9/18/20,84344,3076,680,40,179
Guatemala,9/19/20,85152,3105,808,29,180
