country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Kuwait,2/26/20,26,0,15,0,1
Kuwait,2/27/20,43,0,17,0,2
Kuwait,2/28/20,45,0,2,0,3
Kuwait,2/29/20,45,0,0,0,4
Kuwait,3/1/20,45,0,0,0,5
Kuwait,3/2/20,56,0,11,0,6
Kuwait,3/3/20,56,0,0,0,7
Kuwait,3/4/20,56,0,0,0,8
Kuwait,3/5/20,58,0,2,0,9
Kuwait,3/6/20,58,0,0,0,10
Kuwait,3/7/20,61,0,3,0,11
Kuwait,3/8/20,64,0,3,0,12
Kuwait,3/9/20,64,0,0,0,13
Kuwait,3/10/20,69,0,5,0,14
Kuwait,3/11/20,72,0,3,0,15
Kuwait,3/12/20,80,0,8,0,16
Kuwait,3/13/20,80,0,0,0,17
Kuwait,3/14/20,104,0,24,0,18
Kuwait,3/15/20,112,0,8,0,19
Kuwait,3/16/20,123,0,11,0,20
Kuwait,3/17/20,130,0,7,0,21
Kuwait,3/18/20,142,0,12,0,22
Kuwait,3/19/20,148,0,6,0,23
Kuwait,3/20/20,159,0,11,0,24
Kuwait,3/21/20,176,0,17,0,25
Kuwait,3/22/20,188,0,12,0,26
Kuwait,3/23/20,189,0,1,0,27
Kuwait,3/24/20,191,0,2,0,28
Kuwait,3/25/20,195,0,4,0,29
Kuwait,3/26/20,208,0,13,0,30
Kuwait,3/27/20,225,0,17,0,31
Kuwait,3/28/20,235,0,10,0,32
Kuwait,3/29/20,255,0,20,0,33
Kuwait,3/30/20,266,0,11,0,34
Kuwait,3/31/20,289,0,23,0,35
Kuwait,4/1/20,317,0,28,0,36
Kuwait,4/2/20,342,0,25,0,37
Kuwait,4/3/20,417,0,75,0,38
Kuwait,4/4/20,479,1,62,1,39
Kuwait,4/5/20,556,1,77,0,40
Kuwait,4/6/20,665,1,109,0,41
Kuwait,4/7/20,743,1,78,0,42
Kuwait,4/8/20,855,1,112,0,43
Kuwait,4/9/20,910,1,55,0,44
Kuwait,4/10/20,993,1,83,0,45
Kuwait,4/11/20,1154,1,161,0,46
Kuwait,4/12/20,1234,1,80,0,47
Kuwait,4/13/20,1300,2,66,1,48
Kuwait,4/14/20,1355,3,55,1,49
Kuwait,4/15/20,1405,3,50,0,50
Kuwait,4/16/20,1524,3,119,0,51
Kuwait,4/17/20,1658,5,134,2,52
Kuwait,4/18/20,1751,6,93,1,53
Kuwait,4/19/20,1915,7,164,1,54
Kuwait,4/20/20,1995,9,80,2,55
Kuwait,4/21/20,2080,11,85,2,56
Kuwait,4/22/20,2248,13,168,2,57
Kuwait,4/23/20,2399,14,151,1,58
Kuwait,4/24/20,2614,15,215,1,59
Kuwait,4/25/20,2892,19,278,4,60
Kuwait,4/26/20,3075,20,183,1,61
Kuwait,4/27/20,3288,22,213,2,62
Kuwait,4/28/20,3440,23,152,1,63
Kuwait,4/29/20,3740,24,300,1,64
Kuwait,4/30/20,4024,26,284,2,65
Kuwait,5/1/20,4377,30,353,4,66
Kuwait,5/2/20,4619,33,242,3,67
Kuwait,5/3/20,4983,38,364,5,68
Kuwait,5/4/20,5278,40,295,2,69
Kuwait,5/5/20,5804,40,526,0,70
Kuwait,5/6/20,6289,42,485,2,71
Kuwait,5/7/20,6567,44,278,2,72
Kuwait,5/8/20,7208,47,641,3,73
Kuwait,5/9/20,7623,49,415,2,74
Kuwait,5/10/20,8688,58,1065,9,75
Kuwait,5/11/20,9286,65,598,7,76
Kuwait,5/12/20,10277,75,991,10,77
Kuwait,5/13/20,11028,82,751,7,78
Kuwait,5/14/20,11975,88,947,6,79
Kuwait,5/15/20,12860,96,885,8,80
Kuwait,5/16/20,13802,107,942,11,81
Kuwait,5/17/20,14850,112,1048,5,82
Kuwait,5/18/20,15691,118,841,6,83
Kuwait,5/19/20,16764,121,1073,3,84
Kuwait,5/20/20,17568,124,804,3,85
Kuwait,5/21/20,18609,129,1041,5,86
Kuwait,5/22/20,19564,138,955,9,87
Kuwait,5/23/20,20464,148,900,10,88
Kuwait,5/24/20,21302,156,838,8,89
Kuwait,5/25/20,21967,165,665,9,90
Kuwait,5/26/20,22575,172,608,7,91
Kuwait,5/27/20,23267,175,692,3,92
Kuwait,5/28/20,24112,185,845,10,93
Kuwait,5/29/20,25184,194,1072,9,94
Kuwait,5/30/20,26192,205,1008,11,95
Kuwait,5/31/20,27043,212,851,7,96
Kuwait,6/1/20,27762,220,719,8,97
Kuwait,6/2/20,28649,226,887,6,98
Kuwait,6/3/20,29359,230,710,4,99
Kuwait,6/4/20,29921,236,562,6,100
Kuwait,6/5/20,30644,244,723,8,101
Kuwait,6/6/20,31131,254,487,10,102
Kuwait,6/7/20,31848,264,717,10,103
Kuwait,6/8/20,32510,269,662,5,104
Kuwait,6/9/20,33140,273,630,4,105
Kuwait,6/10/20,33823,275,683,2,106
Kuwait,6/11/20,34432,279,609,4,107
Kuwait,6/12/20,34952,285,520,6,108
Kuwait,6/13/20,35466,289,514,4,109
Kuwait,6/14/20,35920,296,454,7,110
Kuwait,6/15/20,36431,298,511,2,111
Kuwait,6/16/20,36958,303,527,5,112
Kuwait,6/17/20,37533,306,575,3,113
Kuwait,6/18/20,38074,308,541,2,114
Kuwait,6/19/20,38678,313,604,5,115
Kuwait,6/20/20,39145,319,467,6,116
Kuwait,6/21/20,39650,326,505,7,117
Kuwait,6/22/20,40291,330,641,4,118
Kuwait,6/23/20,41033,334,742,4,119
Kuwait,6/24/20,41879,337,846,3,120
Kuwait,6/25/20,42788,339,909,2,121
Kuwait,6/26/20,43703,341,915,2,122
Kuwait,6/27/20,44391,344,688,3,123
Kuwait,6/28/20,44942,348,551,4,124
Kuwait,6/29/20,45524,350,582,2,125
Kuwait,6/30/20,46195,354,671,4,126
Kuwait,7/1/20,46940,358,745,4,127
Kuwait,7/2/20,47859,359,919,1,128
Kuwait,7/3/20,48672,360,813,1,129
Kuwait,7/4/20,49303,365,631,5,130
Kuwait,7/5/20,49941,368,638,3,131
Kuwait,7/6/20,50644,373,703,5,132
Kuwait,7/7/20,51245,377,601,4,133
Kuwait,7/8/20,52007,379,762,2,134
Kuwait,7/9/20,52840,382,833,3,135
Kuwait,7/10/20,53580,383,740,1,136
Kuwait,7/11/20,54058,386,478,3,137
Kuwait,7/12/20,54894,390,836,4,138
Kuwait,7/13/20,55508,393,614,3,139
Kuwait,7/14/20,56174,396,666,3,140
Kuwait,7/15/20,56877,399,703,3,141
Kuwait,7/16/20,57668,402,791,3,142
Kuwait,7/17/20,58221,404,553,2,143
Kuwait,7/18/20,58904,407,683,3,144
Kuwait,7/19/20,59204,408,300,1,145
Kuwait,7/20/20,59763,408,559,0,146
Kuwait,7/21/20,60434,412,671,4,147
Kuwait,7/22/20,61185,417,751,5,148
Kuwait,7/23/20,61872,421,687,4,149
Kuwait,7/24/20,62625,425,753,4,150
Kuwait,7/25/20,63309,429,684,4,151
Kuwait,7/26/20,63773,433,464,4,152
Kuwait,7/27/20,64379,438,606,5,153
Kuwait,7/28/20,65149,442,770,4,154
Kuwait,7/29/20,65903,444,754,2,155
Kuwait,7/30/20,66529,445,626,1,156
Kuwait,7/31/20,66957,447,428,2,157
Kuwait,8/1/20,67448,453,491,6,158
Kuwait,8/2/20,67911,457,463,4,159
Kuwait,8/3/20,68299,461,388,4,160
Kuwait,8/4/20,68774,465,475,4,161
Kuwait,8/5/20,69425,468,651,3,162
Kuwait,8/6/20,70045,469,620,1,163
Kuwait,8/7/20,70727,471,682,2,164
Kuwait,8/8/20,71199,474,472,3,165
Kuwait,8/9/20,71713,478,514,4,166
Kuwait,8/10/20,72400,482,687,4,167
Kuwait,8/11/20,73068,486,668,4,168
Kuwait,8/12/20,73785,489,717,3,169
Kuwait,8/13/20,74486,489,701,0,170
Kuwait,8/14/20,75185,494,699,5,171
Kuwait,8/15/20,75697,498,512,4,172
Kuwait,8/16/20,76205,501,508,3,173
Kuwait,8/17/20,76827,502,622,1,174
Kuwait,8/18/20,77470,505,643,3,175
Kuwait,8/19/20,78145,507,675,2,176
Kuwait,8/20/20,78767,509,622,2,177
Kuwait,8/21/20,79269,511,502,2,178
Kuwait,8/22/20,79957,513,688,2,179
Kuwait,8/23/20,80528,515,571,2,180
Kuwait,8/24/20,80960,518,432,3,181
Kuwait,8/25/20,81573,519,613,1,182
Kuwait,8/26/20,82271,521,698,2,183
Kuwait,8/27/20,82945,522,674,1,184
Kuwait,8/28/20,83578,525,633,3,185
Kuwait,8/29/20,84224,528,646,3,186
Kuwait,8/30/20,84636,530,412,2,187
Kuwait,8/31/20,85109,531,473,1,188
Kuwait,9/1/20,85811,534,702,3,189
Kuwait,9/2/20,86478,535,667,1,190
Kuwait,9/3/20,87378,536,900,1,191
Kuwait,9/4/20,88243,537,865,1,192
Kuwait,9/5/20,88963,540,720,3,193
Kuwait,9/6/20,89582,544,619,4,194
Kuwait,9/7/20,90387,546,805,2,195
Kuwait,9/8/20,91244,548,857,2,196
Kuwait,9/9/20,92082,552,838,4,197
Kuwait,9/10/20,92822,556,740,4,198
Kuwait,9/11/20,93475,557,653,1,199
Kuwait,9/12/20,94211,558,736,1,200
Kuwait,9/13/20,94764,560,553,2,201
Kuwait,9/14/20,95472,563,708,3,202
Kuwait,9/15/20,96301,568,829,5,203
Kuwait,9/16/20,96999,571,698,3,204
Kuwait,9/17/20,97824,575,825,4,205
Kuwait,9/18/20,98528,580,704,5,206
