country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Russia,3/12/20,28,0,8,0,1
Russia,3/13/20,45,0,17,0,2
Russia,3/14/20,59,0,14,0,3
Russia,3/15/20,63,0,4,0,4
Russia,3/16/20,90,0,27,0,5
Russia,3/17/20,114,0,24,0,6
Russia,3/18/20,147,0,33,0,7
Russia,3/19/20,199,1,52,1,8
Russia,3/20/20,253,1,54,0,9
Russia,3/21/20,306,1,53,0,10
Russia,3/22/20,367,1,61,0,11
Russia,3/23/20,438,1,71,0,12
Russia,3/24/20,495,1,57,0,13
Russia,3/25/20,658,3,163,2,14
Russia,3/26/20,840,3,182,0,15
Russia,3/27/20,1036,4,196,1,16
Russia,3/28/20,1264,4,228,0,17
Russia,3/29/20,1534,8,270,4,18
Russia,3/30/20,1836,9,302,1,19
Russia,3/31/20,2337,17,501,8,20
Russia,4/1/20,2777,24,440,7,21
Russia,4/2/20,3548,30,771,6,22
Russia,4/3/20,4149,34,601,4,23
Russia,4/4/20,4731,43,582,9,24
Russia,4/5/20,5389,45,658,2,25
Russia,4/6/20,6343,47,954,2,26
Russia,4/7/20,7497,58,1154,11,27
Russia,4/8/20,8672,63,1175,5,28
Russia,4/9/20,10131,76,1459,13,29
Russia,4/10/20,11917,94,1786,18,30
Russia,4/11/20,13584,106,1667,12,31
Russia,4/12/20,15770,130,2186,24,32
Russia,4/13/20,18328,148,2558,18,33
Russia,4/14/20,21102,170,2774,22,34
Russia,4/15/20,24490,198,3388,28,35
Russia,4/16/20,27938,232,3448,34,36
Russia,4/17/20,32008,273,4070,41,37
Russia,4/18/20,36793,313,4785,40,38
Russia,4/19/20,42853,361,6060,48,39
Russia,4/20/20,47121,405,4268,44,40
Russia,4/21/20,52763,456,5642,51,41
Russia,4/22/20,57999,513,5236,57,42
Russia,4/23/20,62773,555,4774,42,43
Russia,4/24/20,68622,615,5849,60,44
Russia,4/25/20,74588,681,5966,66,45
Russia,4/26/20,80949,747,6361,66,46
Russia,4/27/20,87147,794,6198,47,47
Russia,4/28/20,93558,867,6411,73,48
Russia,4/29/20,99399,972,5841,105,49
Russia,4/30/20,106498,1073,7099,101,50
Russia,5/1/20,114431,1169,7933,96,51
Russia,5/2/20,124054,1222,9623,53,52
Russia,5/3/20,134687,1280,10633,58,53
Russia,5/4/20,145268,1356,10581,76,54
Russia,5/5/20,155370,1451,10102,95,55
Russia,5/6/20,165929,1537,10559,86,56
Russia,5/7/20,177160,1625,11231,88,57
Russia,5/8/20,187859,1723,10699,98,58
Russia,5/9/20,198676,1827,10817,104,59
Russia,5/10/20,209688,1915,11012,88,60
Russia,5/11/20,221344,2009,11656,94,61
Russia,5/12/20,232243,2116,10899,107,62
Russia,5/13/20,242271,2212,10028,96,63
Russia,5/14/20,252245,2305,9974,93,64
Russia,5/15/20,262843,2418,10598,113,65
Russia,5/16/20,272043,2537,9200,119,66
Russia,5/17/20,281752,2631,9709,94,67
Russia,5/18/20,290678,2722,8926,91,68
Russia,5/19/20,299941,2837,9263,115,69
Russia,5/20/20,308705,2972,8764,135,70
Russia,5/21/20,317554,3099,8849,127,71
Russia,5/22/20,326448,3249,8894,150,72
Russia,5/23/20,335882,3388,9434,139,73
Russia,5/24/20,344481,3541,8599,153,74
Russia,5/25/20,353427,3633,8946,92,75
Russia,5/26/20,362342,3807,8915,174,76
Russia,5/27/20,370680,3968,8338,161,77
Russia,5/28/20,379051,4142,8371,174,78
Russia,5/29/20,387623,4374,8572,232,79
Russia,5/30/20,396575,4555,8952,181,80
Russia,5/31/20,405843,4693,9268,138,81
Russia,6/1/20,414328,4849,8485,156,82
Russia,6/2/20,423186,5031,8858,182,83
Russia,6/3/20,431715,5208,8529,177,84
Russia,6/4/20,440538,5376,8823,168,85
Russia,6/5/20,449256,5520,8718,144,86
Russia,6/6/20,458102,5717,8846,197,87
Russia,6/7/20,467073,5851,8971,134,88
Russia,6/8/20,476043,5963,8970,112,89
Russia,6/9/20,484630,6134,8587,171,90
Russia,6/10/20,493023,6350,8393,216,91
Russia,6/11/20,501800,6522,8777,172,92
Russia,6/12/20,510761,6705,8961,183,93
Russia,6/13/20,519458,6819,8697,114,94
Russia,6/14/20,528267,6938,8809,119,95
Russia,6/15/20,536484,7081,8217,143,96
Russia,6/16/20,544725,7274,8241,193,97
Russia,6/17/20,552549,7468,7824,194,98
Russia,6/18/20,560321,7650,7772,182,99
Russia,6/19/20,568292,7831,7971,181,100
Russia,6/20/20,576162,7992,7870,161,101
Russia,6/21/20,583879,8101,7717,109,102
