country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
South Africa,3/13/20,24,0,7,0,1
South Africa,3/14/20,38,0,14,0,2
South Africa,3/15/20,51,0,13,0,3
South Africa,3/16/20,62,0,11,0,4
South Africa,3/17/20,62,0,0,0,5
South Africa,3/18/20,116,0,54,0,6
South Africa,3/19/20,150,0,34,0,7
South Africa,3/20/20,202,0,52,0,8
South Africa,3/21/20,240,0,38,0,9
South Africa,3/22/20,274,0,34,0,10
South Africa,3/23/20,402,0,128,0,11
South Africa,3/24/20,554,0,152,0,12
South Africa,3/25/20,709,0,155,0,13
South Africa,3/26/20,927,0,218,0,14
South Africa,3/27/20,1170,1,243,1,15
South Africa,3/28/20,1187,1,17,0,16
South Africa,3/29/20,1280,2,93,1,17
South Africa,3/30/20,1326,3,46,1,18
South Africa,3/31/20,1353,5,27,2,19
South Africa,4/1/20,1380,5,27,0,20
South Africa,4/2/20,1462,5,82,0,21
South Africa,4/3/20,1505,9,43,4,22
South Africa,4/4/20,1585,9,80,0,23
South Africa,4/5/20,1655,11,70,2,24
South Africa,4/6/20,1686,12,31,1,25
South Africa,4/7/20,1749,13,63,1,26
South Africa,4/8/20,1845,18,96,5,27
South Africa,4/9/20,1934,18,89,0,28
South Africa,4/10/20,2003,24,69,6,29
South Africa,4/11/20,2028,25,25,1,30
South Africa,4/12/20,2173,25,145,0,31
South Africa,4/13/20,2272,27,99,2,32
South Africa,4/14/20,2415,27,143,0,33
South Africa,4/15/20,2506,34,91,7,34
South Africa,4/16/20,2605,48,99,14,35
South Africa,4/17/20,2783,50,178,2,36
South Africa,4/18/20,3034,52,251,2,37
South Africa,4/19/20,3158,54,124,2,38
South Africa,4/20/20,3300,58,142,4,39
South Africa,4/21/20,3465,58,165,0,40
South Africa,4/22/20,3635,65,170,7,41
South Africa,4/23/20,3953,75,318,10,42
South Africa,4/24/20,4220,79,267,4,43
South Africa,4/25/20,4361,86,141,7,44
South Africa,4/26/20,4546,87,185,1,45
South Africa,4/27/20,4793,90,247,3,46
South Africa,4/28/20,4996,93,203,3,47
South Africa,4/29/20,5350,103,354,10,48
South Africa,4/30/20,5647,103,297,0,49
South Africa,5/1/20,5951,116,304,13,50
South Africa,5/2/20,6336,123,385,7,51
South Africa,5/3/20,6783,131,447,8,52
South Africa,5/4/20,7220,138,437,7,53
South Africa,5/5/20,7572,148,352,10,54
South Africa,5/6/20,7808,153,236,5,55
South Africa,5/7/20,8232,161,424,8,56
South Africa,5/8/20,8895,178,663,17,57
South Africa,5/9/20,9420,186,525,8,58
South Africa,5/10/20,10015,194,595,8,59
South Africa,5/11/20,10652,206,637,12,60
South Africa,5/12/20,11350,206,698,0,61
South Africa,5/13/20,12074,219,724,13,62
