country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Afghanistan,3/18/20,24,0,4,0,1
Afghanistan,3/19/20,25,0,1,0,2
Afghanistan,3/20/20,29,0,4,0,3
Afghanistan,3/21/20,30,0,1,0,4
Afghanistan,3/22/20,34,1,4,1,5
Afghanistan,3/23/20,41,1,7,0,6
Afghanistan,3/24/20,43,1,2,0,7
Afghanistan,3/25/20,76,2,33,1,8
Afghanistan,3/26/20,80,3,4,1,9
Afghanistan,3/27/20,91,3,11,0,10
Afghanistan,3/28/20,107,4,16,1,11
Afghanistan,3/29/20,118,4,11,0,12
Afghanistan,3/30/20,146,4,28,0,13
Afghanistan,3/31/20,175,4,29,0,14
Afghanistan,4/1/20,197,4,22,0,15
Afghanistan,4/2/20,240,4,43,0,16
Afghanistan,4/3/20,275,8,35,4,17
Afghanistan,4/4/20,300,10,25,2,18
Afghanistan,4/5/20,338,12,38,2,19
Afghanistan,4/6/20,368,15,30,3,20
Afghanistan,4/7/20,424,16,56,1,21
Afghanistan,4/8/20,445,16,21,0,22
Afghanistan,4/9/20,485,17,40,1,23
Afghanistan,4/10/20,532,18,47,1,24
Afghanistan,4/11/20,556,18,24,0,25
Afghanistan,4/12/20,608,19,52,1,26
Afghanistan,4/13/20,666,22,58,3,27
Afghanistan,4/14/20,715,23,49,1,28
Afghanistan,4/15/20,785,29,70,6,29
Afghanistan,4/16/20,841,30,56,1,30
Afghanistan,4/17/20,907,30,66,0,31
Afghanistan,4/18/20,934,30,27,0,32
Afghanistan,4/19/20,997,33,63,3,33
Afghanistan,4/20/20,1027,36,30,3,34
Afghanistan,4/21/20,1093,36,66,0,35
Afghanistan,4/22/20,1177,40,84,4,36
Afghanistan,4/23/20,1236,40,59,0,37
Afghanistan,4/24/20,1331,43,95,3,38
Afghanistan,4/25/20,1464,47,133,4,39
Afghanistan,4/26/20,1532,52,68,5,40
Afghanistan,4/27/20,1704,58,172,6,41
Afghanistan,4/28/20,1830,59,126,1,42
Afghanistan,4/29/20,1940,61,110,2,43
Afghanistan,4/30/20,2127,64,187,3,44
Afghanistan,5/1/20,2291,68,164,4,45
Afghanistan,5/2/20,2470,72,179,4,46
Afghanistan,5/3/20,2705,85,235,13,47
Afghanistan,5/4/20,2895,90,190,5,48
Afghanistan,5/5/20,3225,95,330,5,49
Afghanistan,5/6/20,3393,104,168,9,50
Afghanistan,5/7/20,3564,106,171,2,51
Afghanistan,5/8/20,3781,109,217,3,52
Afghanistan,5/9/20,4042,115,261,6,53
Afghanistan,5/10/20,4403,120,361,5,54
Afghanistan,5/11/20,4687,122,284,2,55
Afghanistan,5/12/20,4968,127,281,5,56
Afghanistan,5/13/20,5227,132,259,5,57
Afghanistan,5/14/20,5640,136,413,4,58
Afghanistan,5/15/20,6054,153,414,17,59
Afghanistan,5/16/20,6403,168,349,15,60
Afghanistan,5/17/20,6665,170,262,2,61
Afghanistan,5/18/20,7073,173,408,3,62
Afghanistan,5/19/20,7654,178,581,5,63
Afghanistan,5/20/20,8146,188,492,10,64
Afghanistan,5/21/20,8677,194,531,6,65
Afghanistan,5/22/20,9219,206,542,12,66
Afghanistan,5/23/20,10001,217,782,11,67
Afghanistan,5/24/20,10585,219,584,2,68
Afghanistan,5/25/20,11176,220,591,1,69
Afghanistan,5/26/20,11834,221,658,1,70
Afghanistan,5/27/20,12459,228,625,7,71
Afghanistan,5/28/20,13039,236,580,8,72
Afghanistan,5/29/20,13662,247,623,11,73
Afghanistan,5/30/20,14528,250,866,3,74
Afghanistan,5/31/20,15208,258,680,8,75
Afghanistan,6/1/20,15753,266,545,8,76
Afghanistan,6/2/20,16512,274,759,8,77
Afghanistan,6/3/20,17270,298,758,24,78
Afghanistan,6/4/20,18057,304,787,6,79
Afghanistan,6/5/20,18972,313,915,9,80
Afghanistan,6/6/20,19554,331,582,18,81
Afghanistan,6/7/20,20345,361,791,30,82
