country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Malta,3/15/20,21,0,3,0,1
Malta,3/16/20,30,0,9,0,2
Malta,3/17/20,38,0,8,0,3
Malta,3/18/20,38,0,0,0,4
Malta,3/19/20,53,0,15,0,5
Malta,3/20/20,64,0,11,0,6
Malta,3/21/20,73,0,9,0,7
Malta,3/22/20,90,0,17,0,8
Malta,3/23/20,107,0,17,0,9
Malta,3/24/20,110,0,3,0,10
Malta,3/25/20,129,0,19,0,11
Malta,3/26/20,134,0,5,0,12
Malta,3/27/20,139,0,5,0,13
Malta,3/28/20,149,0,10,0,14
Malta,3/29/20,151,0,2,0,15
Malta,3/30/20,156,0,5,0,16
Malta,3/31/20,169,0,13,0,17
Malta,4/1/20,188,0,19,0,18
Malta,4/2/20,196,0,8,0,19
Malta,4/3/20,202,0,6,0,20
Malta,4/4/20,213,0,11,0,21
Malta,4/5/20,227,0,14,0,22
Malta,4/6/20,241,0,14,0,23
Malta,4/7/20,293,0,52,0,24
Malta,4/8/20,299,1,6,1,25
Malta,4/9/20,337,2,38,1,26
Malta,4/10/20,350,2,13,0,27
Malta,4/11/20,370,3,20,1,28
Malta,4/12/20,378,3,8,0,29
Malta,4/13/20,384,3,6,0,30
Malta,4/14/20,393,3,9,0,31
Malta,4/15/20,399,3,6,0,32
Malta,4/16/20,412,3,13,0,33
Malta,4/17/20,422,3,10,0,34
Malta,4/18/20,426,3,4,0,35
Malta,4/19/20,427,3,1,0,36
Malta,4/20/20,431,3,4,0,37
Malta,4/21/20,443,3,12,0,38
Malta,4/22/20,444,3,1,0,39
Malta,4/23/20,445,3,1,0,40
Malta,4/24/20,447,3,2,0,41
Malta,4/25/20,448,4,1,1,42
Malta,4/26/20,448,4,0,0,43
Malta,4/27/20,450,4,2,0,44
Malta,4/28/20,458,4,8,0,45
Malta,4/29/20,463,4,5,0,46
Malta,4/30/20,465,4,2,0,47
Malta,5/1/20,467,4,2,0,48
Malta,5/2/20,468,4,1,0,49
Malta,5/3/20,477,4,9,0,50
Malta,5/4/20,480,4,3,0,51
Malta,5/5/20,482,5,2,1,52
Malta,5/6/20,484,5,2,0,53
Malta,5/7/20,486,5,2,0,54
Malta,5/8/20,489,5,3,0,55
Malta,5/9/20,490,5,1,0,56
Malta,5/10/20,496,5,6,0,57
Malta,5/11/20,503,5,7,0,58
Malta,5/12/20,506,5,3,0,59
Malta,5/13/20,508,6,2,1,60
Malta,5/14/20,522,6,14,0,61
Malta,5/15/20,532,6,10,0,62
Malta,5/16/20,546,6,14,0,63
Malta,5/17/20,553,6,7,0,64
Malta,5/18/20,558,6,5,0,65
Malta,5/19/20,569,6,11,0,66
Malta,5/20/20,584,6,15,0,67
Malta,5/21/20,599,6,15,0,68
Malta,5/22/20,600,6,1,0,69
Malta,5/23/20,609,6,9,0,70
Malta,5/24/20,610,6,1,0,71
Malta,5/25/20,611,6,1,0,72
Malta,5/26/20,611,6,0,0,73
Malta,5/27/20,612,7,1,1,74
Malta,5/28/20,616,7,4,0,75
Malta,5/29/20,616,9,0,2,76
Malta,5/30/20,618,9,2,0,77
Malta,5/31/20,618,9,0,0,78
Malta,6/1/20,619,9,1,0,79
Malta,6/2/20,620,9,1,0,80
Malta,6/3/20,622,9,2,0,81
Malta,6/4/20,622,9,0,0,82
Malta,6/5/20,625,9,3,0,83
Malta,6/6/20,627,9,2,0,84
Malta,6/7/20,629,9,2,0,85
Malta,6/8/20,630,9,1,0,86
Malta,6/9/20,632,9,2,0,87
Malta,6/10/20,635,9,3,0,88
Malta,6/11/20,640,9,5,0,89
Malta,6/12/20,645,9,5,0,90
Malta,6/13/20,646,9,1,0,91
Malta,6/14/20,649,9,3,0,92
Malta,6/15/20,650,9,1,0,93
Malta,6/16/20,656,9,6,0,94
Malta,6/17/20,662,9,6,0,95
Malta,6/18/20,663,9,1,0,96
Malta,6/19/20,663,9,0,0,97
Malta,6/20/20,664,9,1,0,98
Malta,6/21/20,665,9,1,0,99
Malta,6/22/20,665,9,0,0,100
Malta,6/23/20,665,9,0,0,101
Malta,6/24/20,665,9,0,0,102
Malta,6/25/20,668,9,3,0,103
Malta,6/26/20,670,9,2,0,104
Malta,6/27/20,670,9,0,0,105
Malta,6/28/20,670,9,0,0,106
Malta,6/29/20,670,9,0,0,107
Malta,6/30/20,670,9,0,0,108
Malta,7/1/20,671,9,1,0,109
Malta,7/2/20,671,9,0,0,110
Malta,7/3/20,672,9,1,0,111
Malta,7/4/20,672,9,0,0,112
Malta,7/5/20,672,9,0,0,113
Malta,7/6/20,672,9,0,0,114
Malta,7/7/20,673,9,1,0,115
Malta,7/8/20,673,9,0,0,116
Malta,7/9/20,674,9,1,0,117
Malta,7/10/20,674,9,0,0,118
Malta,7/11/20,674,9,0,0,119
Malta,7/12/20,674,9,0,0,120
Malta,7/13/20,674,9,0,0,121
Malta,7/14/20,674,9,0,0,122
Malta,7/15/20,674,9,0,0,123
Malta,7/16/20,674,9,0,0,124
Malta,7/17/20,674,9,0,0,125
Malta,7/18/20,675,9,1,0,126
Malta,7/19/20,677,9,2,0,127
Malta,7/20/20,677,9,0,0,128
Malta,7/21/20,677,9,0,0,129
Malta,7/22/20,679,9,2,0,130
Malta,7/23/20,680,9,1,0,131
Malta,7/24/20,686,9,6,0,132
Malta,7/25/20,686,9,0,0,133
Malta,7/26/20,700,9,14,0,134
Malta,7/27/20,701,9,1,0,135
Malta,7/28/20,708,9,7,0,136
Malta,7/29/20,720,9,12,0,137
Malta,7/30/20,814,9,94,0,138
Malta,7/31/20,824,9,10,0,139
Malta,8/1/20,845,9,21,0,140
Malta,8/2/20,860,9,15,0,141
Malta,8/3/20,874,9,14,0,142
Malta,8/4/20,890,9,16,0,143
Malta,8/5/20,926,9,36,0,144
Malta,8/6/20,946,9,20,0,145
Malta,8/7/20,995,9,49,0,146
Malta,8/8/20,1035,9,40,0,147
Malta,8/9/20,1089,9,54,0,148
Malta,8/10/20,1112,9,23,0,149
Malta,8/11/20,1141,9,29,0,150
Malta,8/12/20,1190,9,49,0,151
Malta,8/13/20,1245,9,55,0,152
Malta,8/14/20,1276,9,31,0,153
Malta,8/15/20,1348,9,72,0,154
Malta,8/16/20,1306,9,-42,0,155
Malta,8/17/20,1375,9,69,0,156
Malta,8/18/20,1423,9,48,0,157
Malta,8/19/20,1470,9,47,0,158
Malta,8/20/20,1510,9,40,0,159
Malta,8/21/20,1546,10,36,1,160
Malta,8/22/20,1577,10,31,0,161
Malta,8/23/20,1612,10,35,0,162
Malta,8/24/20,1667,10,55,0,163
Malta,8/25/20,1705,10,38,0,164
Malta,8/26/20,1751,10,46,0,165
Malta,8/27/20,1788,10,37,0,166
Malta,8/28/20,1820,10,32,0,167
Malta,8/29/20,1847,10,27,0,168
Malta,8/30/20,1862,12,15,2,169
Malta,8/31/20,1883,12,21,0,170
Malta,9/1/20,1909,12,26,0,171
Malta,9/2/20,1931,13,22,1,172
Malta,9/3/20,1965,13,34,0,173
Malta,9/4/20,1984,13,19,0,174
Malta,9/5/20,2014,14,30,1,175
Malta,9/6/20,2039,14,25,0,176
Malta,9/7/20,2076,14,37,0,177
