country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mauritius,3/22/20,28,2,14,1,1
Mauritius,3/23/20,36,2,8,0,2
Mauritius,3/24/20,42,2,6,0,3
Mauritius,3/25/20,48,2,6,0,4
Mauritius,3/26/20,81,2,33,0,5
Mauritius,3/27/20,94,2,13,0,6
Mauritius,3/28/20,102,2,8,0,7
Mauritius,3/29/20,107,3,5,1,8
Mauritius,3/30/20,128,3,21,0,9
Mauritius,3/31/20,143,5,15,2,10
Mauritius,4/1/20,161,6,18,1,11
Mauritius,4/2/20,169,7,8,1,12
Mauritius,4/3/20,186,7,17,0,13
Mauritius,4/4/20,196,7,10,0,14
Mauritius,4/5/20,227,7,31,0,15
Mauritius,4/6/20,244,7,17,0,16
Mauritius,4/7/20,268,7,24,0,17
Mauritius,4/8/20,273,7,5,0,18
Mauritius,4/9/20,314,7,41,0,19
Mauritius,4/10/20,318,9,4,2,20
Mauritius,4/11/20,319,9,1,0,21
Mauritius,4/12/20,324,9,5,0,22
Mauritius,4/13/20,324,9,0,0,23
Mauritius,4/14/20,324,9,0,0,24
Mauritius,4/15/20,324,9,0,0,25
Mauritius,4/16/20,324,9,0,0,26
Mauritius,4/17/20,324,9,0,0,27
Mauritius,4/18/20,325,9,1,0,28
Mauritius,4/19/20,328,9,3,0,29
Mauritius,4/20/20,328,9,0,0,30
Mauritius,4/21/20,328,9,0,0,31
Mauritius,4/22/20,329,9,1,0,32
Mauritius,4/23/20,331,9,2,0,33
Mauritius,4/24/20,331,9,0,0,34
Mauritius,4/25/20,331,9,0,0,35
Mauritius,4/26/20,332,9,1,0,36
Mauritius,4/27/20,334,10,2,1,37
Mauritius,4/28/20,334,10,0,0,38
Mauritius,4/29/20,332,10,-2,0,39
Mauritius,4/30/20,332,10,0,0,40
Mauritius,5/1/20,332,10,0,0,41
Mauritius,5/2/20,332,10,0,0,42
Mauritius,5/3/20,332,10,0,0,43
Mauritius,5/4/20,332,10,0,0,44
Mauritius,5/5/20,332,10,0,0,45
Mauritius,5/6/20,332,10,0,0,46
Mauritius,5/7/20,332,10,0,0,47
Mauritius,5/8/20,332,10,0,0,48
Mauritius,5/9/20,332,10,0,0,49
Mauritius,5/10/20,332,10,0,0,50
Mauritius,5/11/20,332,10,0,0,51
Mauritius,5/12/20,332,10,0,0,52
Mauritius,5/13/20,332,10,0,0,53
Mauritius,5/14/20,332,10,0,0,54
Mauritius,5/15/20,332,10,0,0,55
Mauritius,5/16/20,332,10,0,0,56
Mauritius,5/17/20,332,10,0,0,57
Mauritius,5/18/20,332,10,0,0,58
Mauritius,5/19/20,332,10,0,0,59
Mauritius,5/20/20,332,10,0,0,60
Mauritius,5/21/20,332,10,0,0,61
Mauritius,5/22/20,332,10,0,0,62
Mauritius,5/23/20,332,10,0,0,63
Mauritius,5/24/20,334,10,2,0,64
Mauritius,5/25/20,334,10,0,0,65
Mauritius,5/26/20,334,10,0,0,66
Mauritius,5/27/20,334,10,0,0,67
Mauritius,5/28/20,334,10,0,0,68
Mauritius,5/29/20,335,10,1,0,69
Mauritius,5/30/20,335,10,0,0,70
Mauritius,5/31/20,335,10,0,0,71
Mauritius,6/1/20,335,10,0,0,72
Mauritius,6/2/20,335,10,0,0,73
Mauritius,6/3/20,335,10,0,0,74
Mauritius,6/4/20,335,10,0,0,75
Mauritius,6/5/20,337,10,2,0,76
Mauritius,6/6/20,337,10,0,0,77
Mauritius,6/7/20,337,10,0,0,78
Mauritius,6/8/20,337,10,0,0,79
Mauritius,6/9/20,337,10,0,0,80
Mauritius,6/10/20,337,10,0,0,81
Mauritius,6/11/20,337,10,0,0,82
Mauritius,6/12/20,337,10,0,0,83
Mauritius,6/13/20,337,10,0,0,84
Mauritius,6/14/20,337,10,0,0,85
Mauritius,6/15/20,337,10,0,0,86
Mauritius,6/16/20,337,10,0,0,87
Mauritius,6/17/20,337,10,0,0,88
Mauritius,6/18/20,337,10,0,0,89
Mauritius,6/19/20,337,10,0,0,90
Mauritius,6/20/20,337,10,0,0,91
Mauritius,6/21/20,337,10,0,0,92
Mauritius,6/22/20,340,10,3,0,93
Mauritius,6/23/20,340,10,0,0,94
Mauritius,6/24/20,341,10,1,0,95
Mauritius,6/25/20,341,10,0,0,96
Mauritius,6/26/20,341,10,0,0,97
Mauritius,6/27/20,341,10,0,0,98
Mauritius,6/28/20,341,10,0,0,99
Mauritius,6/29/20,341,10,0,0,100
Mauritius,6/30/20,341,10,0,0,101
Mauritius,7/1/20,341,10,0,0,102
Mauritius,7/2/20,341,10,0,0,103
Mauritius,7/3/20,341,10,0,0,104
Mauritius,7/4/20,341,10,0,0,105
Mauritius,7/5/20,341,10,0,0,106
Mauritius,7/6/20,342,10,1,0,107
Mauritius,7/7/20,342,10,0,0,108
Mauritius,7/8/20,342,10,0,0,109
Mauritius,7/9/20,342,10,0,0,110
Mauritius,7/10/20,342,10,0,0,111
Mauritius,7/11/20,342,10,0,0,112
Mauritius,7/12/20,342,10,0,0,113
Mauritius,7/13/20,342,10,0,0,114
Mauritius,7/14/20,342,10,0,0,115
Mauritius,7/15/20,343,10,1,0,116
Mauritius,7/16/20,343,10,0,0,117
Mauritius,7/17/20,343,10,0,0,118
Mauritius,7/18/20,343,10,0,0,119
Mauritius,7/19/20,343,10,0,0,120
Mauritius,7/20/20,343,10,0,0,121
Mauritius,7/21/20,343,10,0,0,122
Mauritius,7/22/20,343,10,0,0,123
Mauritius,7/23/20,343,10,0,0,124
Mauritius,7/24/20,344,10,1,0,125
Mauritius,7/25/20,344,10,0,0,126
Mauritius,7/26/20,344,10,0,0,127
Mauritius,7/27/20,344,10,0,0,128
Mauritius,7/28/20,344,10,0,0,129
Mauritius,7/29/20,344,10,0,0,130
Mauritius,7/30/20,344,10,0,0,131
Mauritius,7/31/20,344,10,0,0,132
Mauritius,8/1/20,344,10,0,0,133
Mauritius,8/2/20,344,10,0,0,134
Mauritius,8/3/20,344,10,0,0,135
Mauritius,8/4/20,344,10,0,0,136
Mauritius,8/5/20,344,10,0,0,137
Mauritius,8/6/20,344,10,0,0,138
Mauritius,8/7/20,344,10,0,0,139
Mauritius,8/8/20,344,10,0,0,140
Mauritius,8/9/20,344,10,0,0,141
Mauritius,8/10/20,344,10,0,0,142
Mauritius,8/11/20,344,10,0,0,143
Mauritius,8/12/20,344,10,0,0,144
Mauritius,8/13/20,344,10,0,0,145
Mauritius,8/14/20,345,10,1,0,146
Mauritius,8/15/20,346,10,1,0,147
Mauritius,8/16/20,346,10,0,0,148
Mauritius,8/17/20,346,10,0,0,149
Mauritius,8/18/20,346,10,0,0,150
Mauritius,8/19/20,346,10,0,0,151
Mauritius,8/20/20,346,10,0,0,152
Mauritius,8/21/20,346,10,0,0,153
Mauritius,8/22/20,346,10,0,0,154
Mauritius,8/23/20,346,10,0,0,155
Mauritius,8/24/20,347,10,1,0,156
Mauritius,8/25/20,348,10,1,0,157
Mauritius,8/26/20,348,10,0,0,158
Mauritius,8/27/20,355,10,7,0,159
Mauritius,8/28/20,355,10,0,0,160
Mauritius,8/29/20,355,10,0,0,161
Mauritius,8/30/20,355,10,0,0,162
Mauritius,8/31/20,356,10,1,0,163
Mauritius,9/1/20,356,10,0,0,164
Mauritius,9/2/20,356,10,0,0,165
Mauritius,9/3/20,356,10,0,0,166
Mauritius,9/4/20,356,10,0,0,167
Mauritius,9/5/20,356,10,0,0,168
Mauritius,9/6/20,356,10,0,0,169
Mauritius,9/7/20,356,10,0,0,170
Mauritius,9/8/20,361,10,5,0,171
Mauritius,9/9/20,361,10,0,0,172
Mauritius,9/10/20,361,10,0,0,173
Mauritius,9/11/20,361,10,0,0,174
Mauritius,9/12/20,361,10,0,0,175
Mauritius,9/13/20,361,10,0,0,176
Mauritius,9/14/20,361,10,0,0,177
Mauritius,9/15/20,365,10,4,0,178
Mauritius,9/16/20,365,10,0,0,179
Mauritius,9/17/20,366,10,1,0,180
Mauritius,9/18/20,366,10,0,0,181
Mauritius,9/19/20,366,10,0,0,182
Mauritius,9/20/20,366,10,0,0,183
Mauritius,9/21/20,366,10,0,0,184
Mauritius,9/22/20,367,10,1,0,185
Mauritius,9/23/20,367,10,0,0,186
Mauritius,9/24/20,367,10,0,0,187
Mauritius,9/25/20,367,10,0,0,188
Mauritius,9/26/20,367,10,0,0,189
Mauritius,9/27/20,367,10,0,0,190
Mauritius,9/28/20,367,10,0,0,191
Mauritius,9/29/20,367,10,0,0,192
Mauritius,9/30/20,381,10,14,0,193
Mauritius,10/1/20,381,10,0,0,194
Mauritius,10/2/20,385,10,4,0,195
Mauritius,10/3/20,385,10,0,0,196
Mauritius,10/4/20,385,10,0,0,197
Mauritius,10/5/20,387,10,2,0,198
Mauritius,10/6/20,395,10,8,0,199
Mauritius,10/7/20,395,10,0,0,200
Mauritius,10/8/20,395,10,0,0,201
Mauritius,10/9/20,395,10,0,0,202
Mauritius,10/10/20,395,10,0,0,203
Mauritius,10/11/20,395,10,0,0,204
Mauritius,10/12/20,404,10,9,0,205
Mauritius,10/13/20,407,10,3,0,206
Mauritius,10/14/20,407,10,0,0,207
Mauritius,10/15/20,415,10,8,0,208
Mauritius,10/16/20,417,10,2,0,209
Mauritius,10/17/20,417,10,0,0,210
Mauritius,10/18/20,417,10,0,0,211
Mauritius,10/19/20,419,10,2,0,212
Mauritius,10/20/20,419,10,0,0,213
Mauritius,10/21/20,419,10,0,0,214
Mauritius,10/22/20,425,10,6,0,215
Mauritius,10/23/20,435,10,10,0,216
Mauritius,10/24/20,435,10,0,0,217
Mauritius,10/25/20,435,10,0,0,218
Mauritius,10/26/20,439,10,4,0,219
Mauritius,10/27/20,439,10,0,0,220
Mauritius,10/28/20,439,10,0,0,221
Mauritius,10/29/20,439,10,0,0,222
Mauritius,10/30/20,441,10,2,0,223
Mauritius,10/31/20,441,10,0,0,224
Mauritius,11/1/20,446,10,5,0,225
Mauritius,11/2/20,451,10,5,0,226
Mauritius,11/3/20,451,10,0,0,227
Mauritius,11/4/20,452,10,1,0,228
Mauritius,11/5/20,453,10,1,0,229
Mauritius,11/6/20,453,10,0,0,230
Mauritius,11/7/20,453,10,0,0,231
Mauritius,11/8/20,453,10,0,0,232
Mauritius,11/9/20,453,10,0,0,233
Mauritius,11/10/20,453,10,0,0,234
Mauritius,11/11/20,453,10,0,0,235
Mauritius,11/12/20,468,10,15,0,236
Mauritius,11/13/20,470,10,2,0,237
Mauritius,11/14/20,470,10,0,0,238
Mauritius,11/15/20,478,10,8,0,239
Mauritius,11/16/20,491,10,13,0,240
Mauritius,11/17/20,491,10,0,0,241
Mauritius,11/18/20,494,10,3,0,242
Mauritius,11/19/20,494,10,0,0,243
Mauritius,11/20/20,494,10,0,0,244
Mauritius,11/21/20,494,10,0,0,245
Mauritius,11/22/20,494,10,0,0,246
Mauritius,11/23/20,494,10,0,0,247
Mauritius,11/24/20,494,10,0,0,248
Mauritius,11/25/20,497,10,3,0,249
Mauritius,11/26/20,498,10,1,0,250
Mauritius,11/27/20,501,10,3,0,251
Mauritius,11/28/20,501,10,0,0,252
Mauritius,11/29/20,501,10,0,0,253
Mauritius,11/30/20,504,10,3,0,254
Mauritius,12/1/20,505,10,1,0,255
Mauritius,12/2/20,508,10,3,0,256
Mauritius,12/3/20,508,10,0,0,257
Mauritius,12/4/20,508,10,0,0,258
Mauritius,12/5/20,508,10,0,0,259
Mauritius,12/6/20,508,10,0,0,260
Mauritius,12/7/20,511,10,3,0,261
Mauritius,12/8/20,515,10,4,0,262
Mauritius,12/9/20,515,10,0,0,263
Mauritius,12/10/20,515,10,0,0,264
Mauritius,12/11/20,515,10,0,0,265
Mauritius,12/12/20,515,10,0,0,266
Mauritius,12/13/20,515,10,0,0,267
Mauritius,12/14/20,523,10,8,0,268
Mauritius,12/15/20,524,10,1,0,269
Mauritius,12/16/20,524,10,0,0,270
Mauritius,12/17/20,524,10,0,0,271
