country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Papua New Guinea,7/21/20,27,1,8,0,1
Papua New Guinea,7/22/20,30,0,3,-1,2
Papua New Guinea,7/23/20,31,0,1,0,3
Papua New Guinea,7/24/20,32,0,1,0,4
Papua New Guinea,7/25/20,39,0,7,0,5
Papua New Guinea,7/26/20,62,0,23,0,6
Papua New Guinea,7/27/20,62,0,0,0,7
Papua New Guinea,7/28/20,63,0,1,0,8
Papua New Guinea,7/29/20,63,1,0,1,9
Papua New Guinea,7/30/20,63,2,0,1,10
Papua New Guinea,7/31/20,72,2,9,0,11
Papua New Guinea,8/1/20,91,2,19,0,12
Papua New Guinea,8/2/20,110,2,19,0,13
Papua New Guinea,8/3/20,111,2,1,0,14
Papua New Guinea,8/4/20,114,2,3,0,15
Papua New Guinea,8/5/20,153,2,39,0,16
Papua New Guinea,8/6/20,163,3,10,1,17
Papua New Guinea,8/7/20,188,3,25,0,18
Papua New Guinea,8/8/20,188,3,0,0,19
Papua New Guinea,8/9/20,214,3,26,0,20
Papua New Guinea,8/10/20,214,3,0,0,21
Papua New Guinea,8/11/20,214,3,0,0,22
Papua New Guinea,8/12/20,287,3,73,0,23
Papua New Guinea,8/13/20,271,3,-16,0,24
Papua New Guinea,8/14/20,271,3,0,0,25
Papua New Guinea,8/15/20,271,3,0,0,26
Papua New Guinea,8/16/20,323,3,52,0,27
Papua New Guinea,8/17/20,333,3,10,0,28
Papua New Guinea,8/18/20,347,3,14,0,29
Papua New Guinea,8/19/20,347,3,0,0,30
Papua New Guinea,8/20/20,361,4,14,1,31
Papua New Guinea,8/21/20,361,4,0,0,32
Papua New Guinea,8/22/20,361,4,0,0,33
Papua New Guinea,8/23/20,401,4,40,0,34
Papua New Guinea,8/24/20,401,4,0,0,35
Papua New Guinea,8/25/20,419,4,18,0,36
Papua New Guinea,8/26/20,419,4,0,0,37
Papua New Guinea,8/27/20,424,4,5,0,38
Papua New Guinea,8/28/20,453,5,29,1,39
Papua New Guinea,8/29/20,453,5,0,0,40
Papua New Guinea,8/30/20,459,5,6,0,41
Papua New Guinea,8/31/20,459,5,0,0,42
Papua New Guinea,9/1/20,460,5,1,0,43
Papua New Guinea,9/2/20,471,5,11,0,44
Papua New Guinea,9/3/20,471,5,0,0,45
Papua New Guinea,9/4/20,479,5,8,0,46
Papua New Guinea,9/5/20,488,5,9,0,47
Papua New Guinea,9/6/20,497,5,9,0,48
Papua New Guinea,9/7/20,497,5,0,0,49
Papua New Guinea,9/8/20,503,5,6,0,50
Papua New Guinea,9/9/20,504,5,1,0,51
Papua New Guinea,9/10/20,507,5,3,0,52
Papua New Guinea,9/11/20,508,5,1,0,53
Papua New Guinea,9/12/20,508,5,0,0,54
Papua New Guinea,9/13/20,510,6,2,1,55
Papua New Guinea,9/14/20,511,6,1,0,56
Papua New Guinea,9/15/20,511,6,0,0,57
Papua New Guinea,9/16/20,516,6,5,0,58
Papua New Guinea,9/17/20,516,6,0,0,59
Papua New Guinea,9/18/20,516,6,0,0,60
Papua New Guinea,9/19/20,516,6,0,0,61
Papua New Guinea,9/20/20,517,7,1,1,62
Papua New Guinea,9/21/20,517,7,0,0,63
Papua New Guinea,9/22/20,527,7,10,0,64
Papua New Guinea,9/23/20,527,7,0,0,65
Papua New Guinea,9/24/20,531,7,4,0,66
Papua New Guinea,9/25/20,532,7,1,0,67
Papua New Guinea,9/26/20,532,7,0,0,68
Papua New Guinea,9/27/20,532,7,0,0,69
Papua New Guinea,9/28/20,532,7,0,0,70
Papua New Guinea,9/29/20,534,7,2,0,71
Papua New Guinea,9/30/20,534,7,0,0,72
Papua New Guinea,10/1/20,539,7,5,0,73
Papua New Guinea,10/2/20,539,7,0,0,74
Papua New Guinea,10/3/20,540,7,1,0,75
Papua New Guinea,10/4/20,540,7,0,0,76
Papua New Guinea,10/5/20,540,7,0,0,77
Papua New Guinea,10/6/20,541,7,1,0,78
Papua New Guinea,10/7/20,541,7,0,0,79
Papua New Guinea,10/8/20,549,7,8,0,80
Papua New Guinea,10/9/20,549,7,0,0,81
Papua New Guinea,10/10/20,549,7,0,0,82
Papua New Guinea,10/11/20,554,7,5,0,83
Papua New Guinea,10/12/20,565,7,11,0,84
Papua New Guinea,10/13/20,565,7,0,0,85
Papua New Guinea,10/14/20,578,7,13,0,86
Papua New Guinea,10/15/20,578,7,0,0,87
Papua New Guinea,10/16/20,578,7,0,0,88
Papua New Guinea,10/17/20,581,7,3,0,89
Papua New Guinea,10/18/20,581,7,0,0,90
Papua New Guinea,10/19/20,581,7,0,0,91
Papua New Guinea,10/20/20,581,7,0,0,92
Papua New Guinea,10/21/20,581,7,0,0,93
Papua New Guinea,10/22/20,583,7,2,0,94
Papua New Guinea,10/23/20,583,7,0,0,95
Papua New Guinea,10/24/20,583,7,0,0,96
Papua New Guinea,10/25/20,583,7,0,0,97
Papua New Guinea,10/26/20,588,7,5,0,98
Papua New Guinea,10/27/20,588,7,0,0,99
Papua New Guinea,10/28/20,588,7,0,0,100
Papua New Guinea,10/29/20,589,7,1,0,101
Papua New Guinea,10/30/20,589,7,0,0,102
Papua New Guinea,10/31/20,589,7,0,0,103
Papua New Guinea,11/1/20,589,7,0,0,104
Papua New Guinea,11/2/20,590,7,1,0,105
Papua New Guinea,11/3/20,597,7,7,0,106
Papua New Guinea,11/4/20,597,7,0,0,107
Papua New Guinea,11/5/20,597,7,0,0,108
Papua New Guinea,11/6/20,597,7,0,0,109
Papua New Guinea,11/7/20,597,7,0,0,110
Papua New Guinea,11/8/20,599,7,2,0,111
Papua New Guinea,11/9/20,599,7,0,0,112
Papua New Guinea,11/10/20,599,7,0,0,113
Papua New Guinea,11/11/20,599,7,0,0,114
Papua New Guinea,11/12/20,599,7,0,0,115
Papua New Guinea,11/13/20,600,7,1,0,116
Papua New Guinea,11/14/20,600,7,0,0,117
Papua New Guinea,11/15/20,602,7,2,0,118
Papua New Guinea,11/16/20,602,7,0,0,119
Papua New Guinea,11/17/20,602,7,0,0,120
Papua New Guinea,11/18/20,604,7,2,0,121
Papua New Guinea,11/19/20,604,7,0,0,122
Papua New Guinea,11/20/20,604,7,0,0,123
Papua New Guinea,11/21/20,604,7,0,0,124
Papua New Guinea,11/22/20,604,7,0,0,125
Papua New Guinea,11/23/20,630,7,26,0,126
Papua New Guinea,11/24/20,630,7,0,0,127
Papua New Guinea,11/25/20,645,7,15,0,128
Papua New Guinea,11/26/20,645,7,0,0,129
Papua New Guinea,11/27/20,645,7,0,0,130
Papua New Guinea,11/28/20,645,7,0,0,131
Papua New Guinea,11/29/20,645,7,0,0,132
Papua New Guinea,11/30/20,656,7,11,0,133
Papua New Guinea,12/1/20,669,7,13,0,134
Papua New Guinea,12/2/20,669,7,0,0,135
Papua New Guinea,12/3/20,671,7,2,0,136
Papua New Guinea,12/4/20,671,7,0,0,137
Papua New Guinea,12/5/20,671,7,0,0,138
Papua New Guinea,12/6/20,671,7,0,0,139
Papua New Guinea,12/7/20,671,7,0,0,140
Papua New Guinea,12/8/20,684,7,13,0,141
Papua New Guinea,12/9/20,684,7,0,0,142
Papua New Guinea,12/10/20,684,7,0,0,143
Papua New Guinea,12/11/20,720,8,36,1,144
Papua New Guinea,12/12/20,720,8,0,0,145
Papua New Guinea,12/13/20,725,8,5,0,146
Papua New Guinea,12/14/20,725,8,0,0,147
Papua New Guinea,12/15/20,729,8,4,0,148
Papua New Guinea,12/16/20,729,8,0,0,149
Papua New Guinea,12/17/20,760,8,31,0,150
Papua New Guinea,12/18/20,760,8,0,0,151
Papua New Guinea,12/19/20,760,8,0,0,152
Papua New Guinea,12/20/20,760,8,0,0,153
Papua New Guinea,12/21/20,761,9,1,1,154
Papua New Guinea,12/22/20,761,9,0,0,155
Papua New Guinea,12/23/20,761,9,0,0,156
Papua New Guinea,12/24/20,780,9,19,0,157
Papua New Guinea,12/25/20,780,9,0,0,158
Papua New Guinea,12/26/20,780,9,0,0,159
Papua New Guinea,12/27/20,780,9,0,0,160
Papua New Guinea,12/28/20,780,9,0,0,161
Papua New Guinea,12/29/20,780,9,0,0,162
Papua New Guinea,12/30/20,780,9,0,0,163
Papua New Guinea,12/31/20,780,9,0,0,164
Papua New Guinea,1/1/21,780,9,0,0,165
Papua New Guinea,1/2/21,780,9,0,0,166
Papua New Guinea,1/3/21,799,9,19,0,167
Papua New Guinea,1/4/21,799,9,0,0,168
Papua New Guinea,1/5/21,799,9,0,0,169
Papua New Guinea,1/6/21,799,9,0,0,170
Papua New Guinea,1/7/21,799,9,0,0,171
Papua New Guinea,1/8/21,811,9,12,0,172
Papua New Guinea,1/9/21,811,9,0,0,173
Papua New Guinea,1/10/21,811,9,0,0,174
Papua New Guinea,1/11/21,819,9,8,0,175
Papua New Guinea,1/12/21,823,9,4,0,176
Papua New Guinea,1/13/21,833,9,10,0,177
Papua New Guinea,1/14/21,834,9,1,0,178
Papua New Guinea,1/15/21,834,9,0,0,179
Papua New Guinea,1/16/21,834,9,0,0,180
Papua New Guinea,1/17/21,834,9,0,0,181
Papua New Guinea,1/18/21,834,9,0,0,182
Papua New Guinea,1/19/21,834,9,0,0,183
Papua New Guinea,1/20/21,835,9,1,0,184
Papua New Guinea,1/21/21,835,9,0,0,185
Papua New Guinea,1/22/21,835,9,0,0,186
Papua New Guinea,1/23/21,835,9,0,0,187
Papua New Guinea,1/24/21,835,9,0,0,188
Papua New Guinea,1/25/21,835,9,0,0,189
Papua New Guinea,1/26/21,850,9,15,0,190
Papua New Guinea,1/27/21,851,9,1,0,191
Papua New Guinea,1/28/21,851,9,0,0,192
Papua New Guinea,1/29/21,851,9,0,0,193
Papua New Guinea,1/30/21,851,9,0,0,194
Papua New Guinea,1/31/21,851,9,0,0,195
Papua New Guinea,2/1/21,867,9,16,0,196
